size,np,threads,time
25000,1,1,246.352321
25000,1,1,246.195009
25000,1,1,246.307950
25000,1,1,245.934059
25000,1,1,245.964218
25000,1,2,124.559648
25000,1,2,124.394272
25000,1,2,124.697816
25000,1,2,124.635577
25000,1,2,124.763445
25000,1,3,83.421765
25000,1,3,83.391074
25000,1,3,83.410332
25000,1,3,83.546680
25000,1,3,83.589216
25000,1,4,62.876483
25000,1,4,62.912447
25000,1,4,62.912553
25000,1,4,62.858611
25000,1,4,62.798606
25000,1,5,50.602215
25000,1,5,50.610344
25000,1,5,50.543735
25000,1,5,50.683076
25000,1,5,50.675998
25000,1,6,42.191108
25000,1,6,42.439831
25000,1,6,42.352993
25000,1,6,42.284722
25000,1,6,42.306824
25000,1,7,36.444630
25000,1,7,36.716105
25000,1,7,36.464589
25000,1,7,36.440435
25000,1,7,36.491991
25000,1,8,32.166293
25000,1,8,32.124485
25000,1,8,32.152511
25000,1,8,32.158112
25000,1,8,32.285919
25000,1,9,28.626971
25000,1,9,28.796285
25000,1,9,28.613295
25000,1,9,28.538275
25000,1,9,28.558240
25000,1,10,25.869482
25000,1,10,26.110746
25000,1,10,25.967244
25000,1,10,25.846743
25000,1,10,25.978810
25000,1,11,23.813958
25000,1,11,23.862340
25000,1,11,23.818731
25000,1,11,23.824281
25000,1,11,23.841863
25000,1,12,22.183208
25000,1,12,22.199110
25000,1,12,22.160457
25000,1,12,22.149679
25000,1,12,22.188517
25000,1,13,20.700570
25000,1,13,20.690597
25000,1,13,20.712049
25000,1,13,20.692147
25000,1,13,20.674902
25000,1,14,19.354163
25000,1,14,19.388204
25000,1,14,19.432959
25000,1,14,19.289107
25000,1,14,19.424676
25000,1,15,18.322759
25000,1,15,18.320642
25000,1,15,18.272446
25000,1,15,18.264114
25000,1,15,18.305769
25000,1,16,17.342023
25000,1,16,17.332841
25000,1,16,18.010381
25000,1,16,17.361035
25000,1,16,17.823574
25000,1,17,16.429375
25000,1,17,16.831787
25000,1,17,16.868399
25000,1,17,16.414389
25000,1,17,16.837239
25000,1,18,15.624746
25000,1,18,15.605958
25000,1,18,16.043307
25000,1,18,15.683307
25000,1,18,16.151761
25000,1,19,14.839919
25000,1,19,15.451006
25000,1,19,15.342965
25000,1,19,14.910768
25000,1,19,14.961363
25000,1,20,14.113437
25000,1,20,14.109669
25000,1,20,14.039631
25000,1,20,14.084298
25000,1,20,14.194498
25000,1,21,13.422762
25000,1,21,14.050426
25000,1,21,13.459054
25000,1,21,14.016866
25000,1,21,13.465560
25000,1,22,13.350916
25000,1,22,12.880040
25000,1,22,13.341823
25000,1,22,13.324861
25000,1,22,12.885340
25000,1,23,12.914023
25000,1,23,12.362530
25000,1,23,12.357565
25000,1,23,12.431613
25000,1,23,12.457496
25000,1,24,12.381864
25000,1,24,11.975054
25000,1,24,12.416808
25000,1,24,11.933270
25000,1,24,12.536009
25000,1,25,11.558212
25000,1,25,11.530770
25000,1,25,11.994028
25000,1,25,11.543155
25000,1,25,12.056799
25000,1,26,11.140048
25000,1,26,11.648392
25000,1,26,11.149039
25000,1,26,11.668403
25000,1,26,11.605223
