size,npi,threads,time
10000,2,1,18.880996
10000,2,1,18.911507
10000,2,1,18.913964
10000,2,1,19.215084
10000,2,1,18.868915
10000,2,2,9.682590
10000,2,2,9.651583
10000,2,2,9.668452
10000,2,2,9.644036
10000,2,2,9.641109
10000,2,3,6.568271
10000,2,3,6.567462
10000,2,3,6.580849
10000,2,3,6.582900
10000,2,3,6.569005
10000,2,4,4.987292
10000,2,4,4.986681
10000,2,4,4.972673
10000,2,4,4.978292
10000,2,4,4.983356
10000,2,5,4.032777
10000,2,5,4.035775
10000,2,5,4.027355
10000,2,5,4.029607
10000,2,5,4.028756
10000,2,6,3.400622
10000,2,6,3.408099
10000,2,6,3.410908
10000,2,6,3.405324
10000,2,6,3.402063
10000,2,7,2.953754
10000,2,7,3.034290
10000,2,7,2.975558
10000,2,7,2.957497
10000,2,7,2.956625
10000,2,8,2.632220
10000,2,8,2.654693
10000,2,8,2.635220
10000,2,8,2.638241
10000,2,8,2.636806
10000,2,9,2.347757
10000,2,9,2.356075
10000,2,9,2.355300
10000,2,9,2.353279
10000,2,9,2.351205
10000,2,10,2.158631
10000,2,10,2.160259
10000,2,10,2.152322
10000,2,10,2.149699
10000,2,10,2.162010
10000,2,11,2.004763
10000,2,11,2.013132
10000,2,11,2.004118
10000,2,11,2.002501
10000,2,11,1.999659
10000,2,12,1.878846
10000,2,12,2.022277
10000,2,12,1.880999
10000,2,12,1.880119
10000,2,12,1.875229
10000,2,13,1.752242
10000,2,13,1.743743
10000,2,13,1.753553
10000,2,13,1.746514
10000,2,13,1.750219
10000,2,14,1.640618
10000,2,14,1.667393
10000,2,14,1.639812
10000,2,14,1.646951
10000,2,14,1.646429
10000,2,15,1.557197
10000,2,15,1.561580
10000,2,15,1.560746
10000,2,15,1.560459
10000,2,15,1.577810
10000,2,16,1.487049
10000,2,16,1.499573
10000,2,16,1.487182
10000,2,16,1.489974
10000,2,16,1.601732
10000,2,17,1.399988
10000,2,17,1.404651
10000,2,17,1.399386
10000,2,17,1.404931
10000,2,17,1.409121
10000,2,18,1.326751
10000,2,18,1.321919
10000,2,18,1.330838
10000,2,18,1.330926
10000,2,18,1.324671
10000,2,19,1.264768
10000,2,19,1.252407
10000,2,19,1.390373
10000,2,19,1.247493
10000,2,19,1.250957
10000,2,20,1.185377
10000,2,20,1.192928
10000,2,20,1.302371
10000,2,20,1.183097
10000,2,20,1.194610
10000,2,21,1.248543
10000,2,21,1.138150
10000,2,21,1.127492
10000,2,21,1.237702
10000,2,21,1.142755
10000,2,22,1.096948
10000,2,22,1.087341
10000,2,22,1.085446
10000,2,22,1.090067
10000,2,22,1.086651
10000,2,23,1.047563
10000,2,23,1.049554
10000,2,23,1.056364
10000,2,23,1.045009
10000,2,23,1.044695
10000,2,24,1.017927
10000,2,24,1.013245
10000,2,24,1.012084
10000,2,24,1.013245
10000,2,24,1.023822
10000,2,25,0.977072
10000,2,25,1.008076
10000,2,25,0.988581
10000,2,25,0.993459
10000,2,25,0.978835
10000,2,26,0.950475
10000,2,26,0.950543
10000,2,26,0.950533
10000,2,26,0.957333
10000,2,26,0.969252
10000,2,27,0.923117
10000,2,27,0.929042
10000,2,27,0.929533
10000,2,27,0.921493
10000,2,27,0.920191
10000,2,28,0.898390
10000,2,28,0.901924
10000,2,28,0.903228
10000,2,28,0.898203
10000,2,28,0.897204
10000,2,29,0.873430
10000,2,29,0.872144
10000,2,29,0.985065
10000,2,29,0.877272
10000,2,29,0.874536
10000,2,30,0.854857
10000,2,30,0.858588
10000,2,30,0.866210
10000,2,30,0.854138
10000,2,30,0.851099
10000,2,31,0.849448
10000,2,31,0.830803
10000,2,31,0.832447
10000,2,31,0.836337
10000,2,31,0.831502
10000,2,32,0.819853
10000,2,32,0.812405
10000,2,32,0.812796
10000,2,32,0.819453
10000,2,32,0.813138
10000,2,33,0.800831
10000,2,33,0.802807
10000,2,33,0.795541
10000,2,33,0.794708
10000,2,33,0.807960
10000,2,34,0.781418
10000,2,34,0.778594
10000,2,34,0.779052
10000,2,34,0.783970
10000,2,34,0.784522
10000,2,35,0.764493
10000,2,35,0.763830
10000,2,35,0.765260
10000,2,35,0.758846
10000,2,35,0.769337
10000,2,36,0.752833
10000,2,36,0.753826
10000,2,36,0.874156
10000,2,36,0.753399
10000,2,36,0.745431
10000,2,37,0.737942
10000,2,37,0.737988
10000,2,37,0.736547
10000,2,37,0.732512
10000,2,37,0.734734
10000,2,38,0.729949
10000,2,38,0.721451
10000,2,38,0.738751
10000,2,38,0.730008
10000,2,38,0.721723
10000,2,39,0.715990
10000,2,39,0.711708
10000,2,39,0.713159
10000,2,39,0.711112
10000,2,39,0.715733
10000,2,40,0.708144
10000,2,40,0.703340
10000,2,40,0.706757
10000,2,40,0.700169
10000,2,40,0.707825
10000,2,41,0.700030
10000,2,41,0.691625
10000,2,41,0.688475
10000,2,41,0.692072
10000,2,41,0.693500
10000,2,42,0.694478
10000,2,42,0.685617
10000,2,42,0.683047
10000,2,42,0.683133
10000,2,42,0.758497
10000,2,43,0.671742
10000,2,43,0.665883
10000,2,43,0.675125
10000,2,43,0.667777
10000,2,43,0.674682
10000,2,44,0.668470
10000,2,44,0.663712
10000,2,44,0.675229
10000,2,44,0.666864
10000,2,44,0.668081
10000,2,45,0.657227
10000,2,45,0.651965
10000,2,45,0.652109
10000,2,45,0.653162
10000,2,45,0.655315
10000,2,46,0.641360
10000,2,46,0.646971
10000,2,46,0.653528
10000,2,46,0.647204
10000,2,46,0.649400
10000,2,47,0.639449
10000,2,47,0.658699
10000,2,47,0.636729
10000,2,47,0.641012
10000,2,47,0.645832
10000,2,48,0.639318
10000,2,48,0.637492
10000,2,48,0.639068
10000,2,48,0.639986
10000,2,48,0.640737
10000,2,49,0.632665
10000,2,49,0.635708
10000,2,49,0.627953
10000,2,49,0.634049
10000,2,49,0.636695
10000,2,50,0.627657
10000,2,50,0.623633
10000,2,50,0.626608
10000,2,50,0.625673
10000,2,50,0.625979
10000,2,51,0.617849
10000,2,51,0.618005
10000,2,51,0.616857
10000,2,51,0.628207
10000,2,51,0.613313
10000,2,52,0.616553
10000,2,52,0.618295
10000,2,52,0.612962
10000,2,52,0.627892
10000,2,52,0.612164
10000,2,53,0.606589
10000,2,53,0.609364
10000,2,53,0.610652
10000,2,53,0.609000
10000,2,53,0.603076
10000,2,54,0.605150
10000,2,54,0.598075
10000,2,54,0.597834
10000,2,54,0.599137
10000,2,54,0.604145
10000,2,55,0.594144
10000,2,55,0.596565
10000,2,55,0.700456
10000,2,55,0.609415
10000,2,55,0.592862
10000,2,56,0.593193
10000,2,56,0.583270
10000,2,56,0.597005
10000,2,56,0.584614
10000,2,56,0.587873
10000,2,57,0.683184
10000,2,57,0.595656
10000,2,57,0.582181
10000,2,57,0.580297
10000,2,57,0.584433
10000,2,58,0.583511
10000,2,58,0.577042
10000,2,58,0.580770
10000,2,58,0.696738
10000,2,58,0.578457
10000,2,59,0.574004
10000,2,59,0.577141
10000,2,59,0.580781
10000,2,59,0.576699
10000,2,59,0.578893
10000,2,60,0.574651
10000,2,60,0.706034
10000,2,60,0.572313
10000,2,60,0.576297
10000,2,60,0.573200
10000,2,61,0.566975
10000,2,61,0.568280
10000,2,61,0.570817
10000,2,61,0.566513
10000,2,61,0.567315
10000,2,62,0.564880
10000,2,62,0.577865
10000,2,62,0.568045
10000,2,62,0.568812
10000,2,62,0.564785
10000,2,63,0.561375
10000,2,63,0.562846
10000,2,63,0.557885
10000,2,63,0.562693
10000,2,63,0.559778
10000,2,64,0.558421
10000,2,64,0.558025
10000,2,64,0.555872
10000,2,64,0.559446
10000,2,64,0.561791
