size,mpi,threads,time
10000,1,1,4.042859
10000,1,1,3.624812
10000,1,1,3.627562
10000,1,1,3.625617
10000,1,1,3.632671
10000,2,1,3.694131
10000,2,1,3.704513
10000,2,1,3.692457
10000,2,1,3.692010
10000,2,1,3.692563
10000,3,1,3.682747
10000,3,1,3.882241
10000,3,1,3.683805
10000,3,1,3.682934
10000,3,1,3.682319
10000,4,1,3.680478
10000,4,1,3.681012
10000,4,1,3.684196
10000,4,1,3.679886
10000,4,1,3.681150
10000,5,1,3.693432
10000,5,1,3.693280
10000,5,1,3.705826
10000,5,1,3.692823
10000,5,1,3.695504
10000,6,1,3.690097
10000,6,1,3.694856
10000,6,1,3.688788
10000,6,1,3.690936
10000,6,1,3.688871
10000,7,1,3.694222
10000,7,1,3.704361
10000,7,1,3.694019
10000,7,1,3.694664
10000,7,1,3.691979
10000,8,1,3.720378
10000,8,1,3.728959
10000,8,1,3.714946
10000,8,1,3.730157
10000,8,1,3.724565
10000,9,1,3.700967
10000,9,1,3.695610
10000,9,1,3.688612
10000,9,1,3.690496
10000,9,1,3.690458
10000,10,1,3.697101
10000,10,1,3.690412
10000,10,1,3.697022
10000,10,1,3.694571
10000,10,1,3.697023
10000,11,1,3.694453
10000,11,1,3.698464
10000,11,1,3.699694
10000,11,1,3.694353
10000,11,1,3.698487
10000,12,1,3.806710
10000,12,1,3.701324
10000,12,1,3.704487
10000,12,1,3.699955
10000,12,1,3.695186
10000,13,1,3.702746
10000,13,1,3.698849
10000,13,1,3.700166
10000,13,1,3.701323
10000,13,1,3.698618
10000,14,1,3.694680
10000,14,1,3.701793
10000,14,1,3.687793
10000,14,1,3.700323
10000,14,1,3.694597
10000,15,1,3.693166
10000,15,1,3.691718
10000,15,1,3.698727
10000,15,1,3.695872
10000,15,1,3.704873
10000,16,1,3.695843
10000,16,1,3.738917
10000,16,1,3.694071
10000,16,1,3.695025
10000,16,1,3.691435
10000,17,1,3.722432
10000,17,1,3.700032
10000,17,1,3.701808
10000,17,1,3.702106
10000,17,1,3.699704
10000,18,1,3.709586
10000,18,1,3.706780
10000,18,1,3.691730
10000,18,1,3.694628
10000,18,1,3.703848
10000,19,1,3.700099
10000,19,1,3.691059
10000,19,1,3.696588
10000,19,1,3.693874
10000,19,1,3.723782
10000,20,1,3.693853
10000,20,1,3.697371
10000,20,1,3.693640
10000,20,1,3.700188
10000,20,1,3.698028
10000,21,1,3.695180
10000,21,1,3.691724
10000,21,1,3.708809
10000,21,1,3.694693
10000,21,1,3.700932
10000,22,1,3.801007
10000,22,1,3.694240
10000,22,1,3.691658
10000,22,1,3.694649
10000,22,1,3.692936
10000,23,1,3.717925
10000,23,1,3.699347
10000,23,1,3.691631
10000,23,1,3.700980
10000,23,1,3.695687
10000,24,1,3.699134
10000,24,1,3.701340
10000,24,1,3.701832
10000,24,1,3.697160
10000,24,1,3.699176
10000,25,1,3.700751
10000,25,1,3.699131
10000,25,1,3.694886
10000,25,1,3.697207
10000,25,1,3.695507
10000,26,1,3.695367
10000,26,1,3.695249
10000,26,1,3.701337
10000,26,1,3.697911
10000,26,1,3.699275
10000,27,1,3.693106
10000,27,1,3.696409
10000,27,1,3.696128
10000,27,1,3.698687
10000,27,1,3.695066
10000,28,1,3.700014
10000,28,1,3.696241
10000,28,1,3.696801
10000,28,1,3.699861
10000,28,1,3.696454
10000,29,1,3.804205
10000,29,1,3.702568
10000,29,1,3.695892
10000,29,1,3.752504
10000,29,1,3.699279
10000,30,1,3.697076
10000,30,1,3.691797
10000,30,1,3.694639
10000,30,1,3.764992
10000,30,1,3.695842
10000,31,1,3.699815
10000,31,1,3.698299
10000,31,1,3.697247
10000,31,1,3.716329
10000,31,1,3.696087
10000,32,1,3.707836
10000,32,1,3.710941
10000,32,1,3.699581
10000,32,1,3.680953
10000,32,1,3.697977
10000,33,1,3.689659
10000,33,1,3.696961
10000,33,1,3.694736
10000,33,1,3.695408
10000,33,1,3.806305
10000,34,1,3.690583
10000,34,1,3.698530
10000,34,1,3.700648
10000,34,1,3.689348
10000,34,1,3.692026
10000,35,1,3.697786
10000,35,1,3.685999
10000,35,1,3.686474
10000,35,1,3.698453
10000,35,1,3.694278
10000,36,1,3.685545
10000,36,1,3.711458
10000,36,1,3.685540
10000,36,1,3.683885
10000,36,1,3.680052
10000,37,1,3.689340
10000,37,1,3.693304
10000,37,1,3.685509
10000,37,1,3.696420
10000,37,1,3.687993
10000,38,1,3.711201
10000,38,1,3.698112
10000,38,1,3.705560
10000,38,1,3.716333
10000,38,1,3.689984
10000,39,1,3.715093
10000,39,1,3.699284
10000,39,1,3.688323
10000,39,1,3.687760
10000,39,1,3.699300
10000,40,1,3.711593
10000,40,1,3.714244
10000,40,1,3.716539
10000,40,1,3.726562
10000,40,1,3.719656
10000,41,1,3.729569
10000,41,1,3.731656
10000,41,1,3.730100
10000,41,1,3.726257
10000,41,1,3.736699
10000,42,1,3.746691
10000,42,1,3.770405
10000,42,1,3.743762
10000,42,1,3.732799
10000,42,1,3.738065
10000,43,1,3.752607
10000,43,1,3.755647
10000,43,1,3.766119
10000,43,1,3.763099
10000,43,1,3.760961
10000,44,1,3.783914
10000,44,1,3.791762
10000,44,1,3.807952
10000,44,1,3.792411
10000,44,1,3.790048
10000,45,1,3.811263
10000,45,1,3.817892
10000,45,1,3.828442
10000,45,1,3.825917
10000,45,1,3.824258
10000,46,1,3.833311
10000,46,1,3.851005
10000,46,1,3.835205
10000,46,1,3.838196
10000,46,1,3.835352
10000,47,1,3.855115
10000,47,1,3.851766
10000,47,1,3.862978
10000,47,1,3.855621
10000,47,1,3.851132
10000,48,1,3.859408
10000,48,1,3.860311
10000,48,1,3.863416
10000,48,1,3.860167
10000,48,1,3.876043
10000,49,1,3.866146
10000,49,1,3.870485
10000,49,1,3.883133
10000,49,1,3.871736
10000,49,1,3.872448
10000,50,1,3.897382
10000,50,1,3.921275
10000,50,1,3.888257
10000,50,1,3.909228
10000,50,1,3.887821
10000,51,1,3.908921
10000,51,1,3.929237
10000,51,1,3.941309
10000,51,1,3.921473
10000,51,1,3.918176
10000,52,1,3.932772
10000,52,1,3.935346
10000,52,1,3.954035
10000,52,1,3.935441
10000,52,1,3.943120
10000,53,1,3.952822
10000,53,1,3.957405
10000,53,1,3.952536
10000,53,1,3.983198
10000,53,1,3.951712
10000,54,1,3.980340
10000,54,1,3.972963
10000,54,1,4.002048
10000,54,1,3.971181
10000,54,1,3.977729
10000,55,1,3.994524
10000,55,1,4.007444
10000,55,1,3.980911
10000,55,1,3.984795
10000,55,1,3.994222
10000,56,1,4.009649
10000,56,1,3.995572
10000,56,1,4.000721
10000,56,1,3.994455
10000,56,1,4.003917
10000,57,1,4.047380
10000,57,1,4.023568
10000,57,1,4.021462
10000,57,1,4.023506
10000,57,1,4.019719
10000,58,1,4.029392
10000,58,1,4.034279
10000,58,1,4.017369
10000,58,1,4.017268
10000,58,1,4.021215
10000,59,1,4.017400
10000,59,1,4.007830
10000,59,1,4.008965
10000,59,1,4.011258
10000,59,1,4.029563
10000,60,1,4.035895
10000,60,1,4.058824
10000,60,1,4.042324
10000,60,1,4.044541
10000,60,1,4.047569
10000,61,1,4.094980
10000,61,1,4.094039
10000,61,1,4.069800
10000,61,1,4.087166
10000,61,1,4.075361
10000,62,1,4.102978
10000,62,1,4.099603
10000,62,1,4.197802
10000,62,1,4.087616
10000,62,1,4.102778
10000,63,1,4.129723
10000,63,1,4.108598
10000,63,1,4.108490
10000,63,1,4.114310
10000,63,1,4.114463
10000,64,1,4.099706
