size,np,threads,time
25000,1,1,245.174515
25000,1,1,244.863749
25000,1,1,245.208462
25000,1,1,244.042103
25000,1,1,243.983402
25000,2,1,121.045719
25000,2,1,121.181741
25000,2,1,121.161580
25000,2,1,121.142132
25000,2,1,121.172437
25000,3,1,80.810134
25000,3,1,80.710955
25000,3,1,80.767239
25000,3,1,80.776024
25000,3,1,80.864133
25000,4,1,60.425597
25000,4,1,60.456094
25000,4,1,60.482139
25000,4,1,60.569448
25000,4,1,60.534155
25000,5,1,48.449563
25000,5,1,48.512488
25000,5,1,48.467256
25000,5,1,48.523706
25000,5,1,48.490152
25000,6,1,40.468493
25000,6,1,40.444572
25000,6,1,40.537831
25000,6,1,40.517087
25000,6,1,40.460012
25000,7,1,34.683970
25000,7,1,34.678480
25000,7,1,34.736836
25000,7,1,34.713279
25000,7,1,34.709750
25000,8,1,30.390873
25000,8,1,30.396432
25000,8,1,30.407094
25000,8,1,30.443185
25000,8,1,30.465854
