size,np,threads,time
10000,1,64,1.130152
10000,1,64,1.126844
10000,1,64,1.133761
10000,1,64,1.143572
10000,1,64,1.125266
14142,2,64,1.153571
14142,2,64,1.105925
14142,2,64,1.102221
14142,2,64,1.104020
14142,2,64,1.105264
17321,3,64,1.209519
17321,3,64,1.203567
17321,3,64,1.164326
17321,3,64,1.164376
17321,3,64,1.165762
20000,4,64,1.321308
20000,4,64,1.317156
20000,4,64,1.320457
20000,4,64,1.297119
20000,4,64,1.313259
22361,5,64,1.450900
22361,5,64,1.487924
22361,5,64,1.505816
22361,5,64,1.479315
22361,5,64,1.482330
24495,6,64,1.457875
24495,6,64,1.657026
24495,6,64,1.634938
24495,6,64,1.642953
24495,6,64,1.653331
26458,7,64,1.869656
26458,7,64,1.826546
26458,7,64,1.779650
26458,7,64,1.801091
26458,7,64,1.805881
28284,8,64,1.943203
28284,8,64,1.974447
28284,8,64,1.954667
28284,8,64,1.969631
28284,8,64,1.959497
