size,mpi,threads,time
10000,3,1,16.603836
10000,3,1,16.446786
10000,3,1,16.187544
10000,3,1,16.189621
10000,3,1,16.189560
10000,3,2,8.382438
10000,3,2,8.399869
10000,3,2,8.393749
10000,3,2,8.384729
10000,3,2,8.372958
10000,3,3,5.775525
10000,3,3,5.798412
10000,3,3,5.744384
10000,3,3,5.770466
10000,3,3,5.806267
10000,3,4,4.438660
10000,3,4,4.448196
10000,3,4,4.437158
10000,3,4,4.477737
10000,3,4,4.493949
10000,3,5,3.689854
10000,3,5,3.659835
10000,3,5,3.692917
10000,3,5,3.451767
10000,3,5,3.649607
10000,3,6,3.154432
10000,3,6,3.167369
10000,3,6,3.173209
10000,3,6,3.140811
10000,3,6,3.139265
10000,3,7,2.865752
10000,3,7,2.777533
10000,3,7,2.784508
10000,3,7,2.812306
10000,3,7,2.951623
10000,3,8,2.497992
10000,3,8,2.511743
10000,3,8,2.508129
10000,3,8,3.003484
10000,3,8,2.493849
10000,3,9,2.279330
10000,3,9,3.149722
10000,3,9,2.283666
10000,3,9,2.280050
10000,3,9,3.045938
10000,3,10,2.099538
10000,3,10,2.112355
10000,3,10,2.103061
10000,3,10,2.756366
10000,3,10,2.090671
10000,3,11,1.940840
10000,3,11,2.087561
10000,3,11,1.972912
10000,3,11,1.951496
10000,3,11,1.958094
10000,3,12,2.038642
10000,3,12,1.818508
10000,3,12,1.842529
10000,3,12,1.839796
10000,3,12,1.828363
