size,np,threads,time
10000,5,1,10.014247
10000,5,1,9.694078
10000,5,1,9.735879
10000,5,1,9.735790
10000,5,1,9.757869
10000,5,2,5.066044
10000,5,2,5.058437
10000,5,2,5.053316
10000,5,2,5.078263
10000,5,2,5.081990
10000,5,3,3.511304
10000,5,3,3.529295
10000,5,3,3.513160
10000,5,3,3.507779
10000,5,3,3.731403
10000,5,4,2.707325
10000,5,4,2.727767
10000,5,4,2.744821
10000,5,4,2.707146
10000,5,4,2.773175
10000,5,5,2.252952
10000,5,5,2.259964
10000,5,5,2.248391
10000,5,5,2.352509
10000,5,5,2.279413
10000,5,6,1.969115
10000,5,6,1.947559
10000,5,6,1.948165
10000,5,6,1.935024
10000,5,6,1.950916
10000,5,7,1.711495
10000,5,7,1.713666
10000,5,7,1.708340
10000,5,7,1.740363
10000,5,7,1.717549
10000,5,8,1.550143
10000,5,8,1.554577
10000,5,8,1.558306
10000,5,8,1.551319
10000,5,8,1.580738
10000,5,9,1.410353
10000,5,9,1.415516
10000,5,9,1.420761
10000,5,9,1.425286
10000,5,9,1.459221
10000,5,10,1.548320
10000,5,10,1.320111
10000,5,10,1.347681
10000,5,10,1.326542
10000,5,10,1.337687
10000,5,11,1.232387
10000,5,11,1.238578
10000,5,11,1.243055
10000,5,11,1.223822
10000,5,11,1.232683
10000,5,12,1.162815
10000,5,12,1.156255
10000,5,12,1.147248
10000,5,12,1.162862
10000,5,12,1.171837
