size,mpi,threads,time
10000,1,1,17.308620
10000,1,1,17.331262
10000,1,1,17.343155
10000,1,1,17.329911
10000,1,1,17.333745
10000,2,1,17.395302
10000,2,1,17.418209
10000,2,1,17.416406
10000,2,1,17.425468
10000,2,1,17.409499
10000,3,1,17.341647
10000,3,1,17.345205
10000,3,1,17.331679
10000,3,1,17.317953
10000,3,1,17.353570
10000,4,1,17.297202
10000,4,1,17.334153
10000,4,1,17.332169
10000,4,1,17.309516
10000,4,1,17.332898
10000,5,1,17.296953
10000,5,1,17.314765
10000,5,1,17.311355
10000,5,1,17.290497
10000,5,1,17.289823
10000,6,1,17.283913
10000,6,1,17.299850
10000,6,1,17.303434
10000,6,1,17.323087
10000,6,1,17.308674
10000,7,1,17.302439
10000,7,1,17.288791
10000,7,1,17.303713
10000,7,1,17.299189
10000,7,1,17.298643
10000,8,1,17.300916
10000,8,1,17.309671
10000,8,1,17.297969
10000,8,1,17.305277
10000,8,1,17.298263
10000,9,1,17.285672
10000,9,1,17.308803
10000,9,1,17.300277
10000,9,1,17.282942
10000,9,1,17.290955
10000,10,1,17.301279
10000,10,1,17.272631
10000,10,1,17.285475
10000,10,1,17.302892
10000,10,1,17.288444
10000,11,1,17.279074
10000,11,1,17.289393
10000,11,1,17.289710
10000,11,1,17.264512
10000,11,1,17.294868
10000,12,1,17.282258
10000,12,1,17.286335
10000,12,1,17.297259
10000,12,1,17.273765
10000,12,1,17.278605
10000,13,1,17.277259
10000,13,1,17.264098
10000,13,1,17.256946
10000,13,1,17.303587
10000,13,1,17.269290
10000,14,1,17.274864
10000,14,1,17.267464
10000,14,1,17.653473
10000,14,1,17.265374
10000,14,1,17.260054
10000,15,1,17.256320
10000,15,1,17.278702
10000,15,1,17.267663
10000,15,1,17.260931
10000,15,1,17.288075
10000,16,1,17.266702
10000,16,1,17.263872
10000,16,1,17.273811
10000,16,1,17.272137
10000,16,1,17.275725
10000,17,1,17.281143
10000,17,1,17.285164
10000,17,1,17.268784
10000,17,1,17.248516
10000,17,1,17.268243
10000,18,1,17.277253
10000,18,1,17.267594
10000,18,1,17.263179
10000,18,1,17.263517
10000,18,1,17.260825
10000,19,1,17.277205
10000,19,1,17.267875
10000,19,1,17.252823
10000,19,1,17.259438
10000,19,1,17.277443
10000,20,1,17.698728
10000,20,1,17.257475
10000,20,1,17.264461
10000,20,1,17.273091
10000,20,1,17.273261
10000,21,1,17.257041
10000,21,1,17.271169
10000,21,1,17.604406
10000,21,1,17.253771
10000,21,1,17.272531
10000,22,1,17.269899
10000,22,1,17.281539
10000,22,1,17.290491
10000,22,1,17.291437
10000,22,1,17.270693
10000,23,1,17.280054
10000,23,1,17.339638
10000,23,1,17.345329
10000,23,1,17.282978
10000,23,1,17.291847
10000,24,1,17.273146
10000,24,1,17.275519
10000,24,1,17.272884
10000,24,1,17.268856
10000,24,1,17.356918
