size,mpi,threads,time
10000,1,1,52.412602
10000,1,1,51.795581
10000,1,1,51.854399
10000,1,1,49.861017
10000,1,1,49.933959
10000,2,1,24.714929
10000,2,1,26.336462
10000,2,1,24.140068
10000,2,1,25.942117
10000,2,1,25.620234
10000,3,1,16.597144
10000,3,1,16.201296
10000,3,1,16.113833
10000,3,1,17.816876
10000,3,1,16.169937
10000,4,1,12.125449
10000,4,1,12.105674
10000,4,1,12.115980
10000,4,1,12.136792
10000,4,1,12.106049
10000,5,1,10.014247
10000,5,1,9.694078
10000,5,1,9.735879
10000,5,1,9.735790
10000,5,1,9.757869
10000,6,1,9.268188
10000,6,1,7.673677
10000,6,1,7.637640
10000,6,1,7.651647
10000,6,1,7.670341
10000,7,1,7.251969
10000,7,1,6.598156
10000,7,1,7.152242
10000,7,1,6.584984
10000,7,1,6.605193
10000,8,1,5.773239
10000,8,1,5.792103
10000,8,1,5.777485
10000,8,1,5.796919
10000,8,1,5.783430
