size,np,threads,time
10000,1,12,5.988106
10000,1,12,5.903732
10000,1,12,6.197919
10000,1,12,6.155112
10000,1,12,6.759634
14142,2,12,6.247963
14142,2,12,6.244996
14142,2,12,6.380543
14142,2,12,6.370434
14142,2,12,6.396202
17321,3,12,6.151271
17321,3,12,5.987683
17321,3,12,6.303356
17321,3,12,6.278638
17321,3,12,6.01329
20000,4,12,6.586894
20000,4,12,5.996850
20000,4,12,5.926747
20000,4,12,6.029323
20000,4,12,5.902216
22361,5,12,6.098079
22361,5,12,6.063763
22361,5,12,6.042504
22361,5,12,6.088765
22361,5,12,6.037862
24495,6,12,6.307325
24495,6,12,6.334072
24495,6,12,6.264646
24495,6,12,6.206415
24495,6,12,6.514198
26458,7,12,6.115479
26458,7,12,6.397267
26458,7,12,6.522480
26458,7,12,6.414075
26458,7,12,6.403161
28284,8,12,6.561465
28284,8,12,6.483317
28284,8,12,6.695621
28284,8,12,6.666022
28284,8,12,6.944162
