Cores, Execution Time, GFLOPs
1, 41.559783, 48.123447
1, 41.481259, 48.214544
1, 42.567559, 46.984137
1, 42.180578, 47.415187
1, 42.043369, 47.569927
2, 21.602919, 92.580082
2, 21.560821, 92.760847
2, 21.841382, 91.569298
2, 21.354831, 93.655623
2, 21.537636, 92.860704
3, 14.726565, 135.808992
3, 15.092082, 132.519819
3, 14.845367, 134.722165
3, 14.741490, 135.671500
3, 14.788820, 135.237295
4, 11.695891, 171.000230
4, 11.699506, 170.947395
4, 11.667084, 171.422432
4, 11.691447, 171.065219
4, 11.664907, 171.454433
5, 9.391320, 212.962618
5, 9.462814, 211.353622
5, 9.383892, 213.131187
5, 9.457797, 211.465728
5, 9.417816, 212.363462
6, 8.024404, 249.239703
6, 8.008006, 249.750066
6, 8.039461, 248.772897
6, 7.997998, 250.062566
6, 8.036606, 248.861269
7, 6.461542, 309.523646
7, 6.381482, 313.406806
7, 6.426321, 311.220078
7, 6.474773, 308.891127
7, 6.633229, 301.512288
8, 5.812243, 344.101247
8, 5.732789, 348.870358
8, 5.796403, 345.041590
8, 5.747696, 347.965526
8, 5.747981, 347.948248
9, 5.520383, 362.293677
9, 5.502454, 363.474208
9, 5.499310, 363.682004
9, 5.495391, 363.941335
9, 5.503304, 363.418022
10, 5.037621, 397.012828
10, 5.077556, 393.890289
10, 5.037148, 397.050070
10, 5.011290, 399.098852
10, 5.072296, 394.298767
11, 4.001647, 499.794232
11, 4.017833, 497.780793
11, 4.023645, 497.061721
11, 4.009113, 498.863408
11, 4.003496, 499.563426
12, 3.883912, 514.944695
12, 3.960749, 504.954961
12, 3.924623, 509.603076
12, 3.940772, 507.514759
12, 3.939461, 507.683713
13, 3.909681, 511.550749
13, 3.907075, 511.891906
13, 3.913343, 511.071929
13, 3.903752, 512.327565
13, 3.879540, 515.525058
14, 3.736805, 535.216554
14, 3.746192, 533.875464
14, 3.746251, 533.867033
14, 3.742261, 534.436235
14, 3.746289, 533.861631
15, 3.614984, 553.252734
15, 3.629423, 551.051761
15, 3.621261, 552.293809
15, 3.599362, 555.654015
15, 3.602137, 555.225948
16, 2.897921, 690.149853
16, 2.893213, 691.273018
16, 2.942504, 679.693295
16, 2.867873, 697.380910
16, 2.910104, 687.260756
17, 2.888739, 692.343608
17, 2.889074, 692.263355
17, 2.870876, 696.651391
17, 2.876318, 695.333507
17, 2.892420, 691.462417
18, 3.052160, 655.273747
18, 3.008634, 664.753406
18, 3.040542, 657.777511
18, 3.028054, 660.490275
18, 3.044976, 656.819609
19, 3.017231, 662.859400
19, 3.038747, 658.166100
19, 3.049143, 655.921967
19, 3.058065, 654.008342
19, 3.057736, 654.078797
20, 2.447416, 817.188500
20, 2.447700, 817.093670
20, 2.480649, 806.240733
20, 2.456517, 814.160987
20, 2.468368, 810.251893
21, 2.851388, 701.412881
21, 2.839586, 704.328033
21, 2.829365, 706.872513
21, 2.838378, 704.627733
21, 2.840446, 704.114895
22, 2.759434, 724.786420
22, 2.762798, 723.903899
22, 2.753761, 726.279550
22, 2.758621, 724.999986
22, 2.761557, 724.229110
23, 2.759271, 724.829040
23, 2.766833, 722.848194
23, 2.758549, 725.018947
23, 2.766207, 723.011781
23, 2.753690, 726.298244
24, 2.458370, 813.547148
24, 2.467092, 810.670979
24, 2.455876, 814.373310
24, 2.460276, 812.916781
24, 2.431189, 822.642845
25, 2.358972, 847.826778
25, 2.396214, 834.649843
25, 2.385307, 838.466513
25, 2.363024, 846.373293
25, 2.361417, 846.949272
26, 2.594366, 770.901202
26, 2.603166, 768.295097
26, 2.598363, 769.715534
26, 2.594483, 770.866425
26, 2.589134, 772.458987
27, 2.267992, 881.837377
27, 2.275927, 878.762990
27, 2.264716, 883.113002
27, 2.274607, 879.272671
27, 2.279505, 877.383657
28, 2.227003, 898.068066
28, 2.252980, 887.713204
28, 2.234270, 895.147081
28, 2.249465, 889.100122
28, 2.233430, 895.483726
29, 2.234655, 894.992860
29, 2.228977, 897.272792
29, 2.137544, 935.653039
29, 2.251354, 888.354480
29, 2.221045, 900.476989
30, 2.232459, 895.873167
30, 2.223399, 899.523703
30, 2.210382, 904.820790
30, 2.232989, 895.660539
30, 2.220413, 900.733222
31, 2.224560, 899.054379
31, 2.228372, 897.516075
31, 2.225872, 898.524227
31, 2.219615, 901.057246
31, 2.239613, 893.011251
32, 2.295309, 871.342399
32, 2.268988, 881.450176
32, 2.266332, 882.483133
32, 2.262273, 884.066407
32, 2.261356, 884.425186
33, 2.334762, 856.618184
33, 2.336092, 856.130680
33, 2.360405, 847.312339
33, 2.370032, 843.870494
33, 2.319407, 862.289469
34, 2.383268, 839.184000
34, 2.362908, 846.414502
34, 2.344891, 852.918086
34, 2.359815, 847.523957
34, 2.364134, 845.975880
35, 2.202096, 908.225444
35, 2.222382, 899.935441
35, 2.198957, 909.522277
35, 2.231097, 896.420006
35, 2.211519, 904.355853
36, 2.200442, 908.908204
36, 2.192611, 912.154684
36, 2.189355, 913.511075
36, 2.201098, 908.637538
36, 2.186880, 914.544982
37, 2.201766, 908.361594
37, 2.201403, 908.511590
37, 2.216180, 902.453738
37, 2.216151, 902.465625
37, 2.192785, 912.082173
38, 2.234171, 895.186481
38, 2.235358, 894.711450
38, 2.241192, 892.382422
38, 2.232465, 895.870714
38, 2.223120, 899.636465
39, 2.422610, 825.555881
39, 2.426232, 824.323593
39, 2.421920, 825.791185
39, 2.434806, 821.420518
39, 2.434224, 821.617213
40, 2.270352, 880.920482
40, 2.282045, 876.406774
40, 2.289908, 873.397524
40, 2.268701, 881.561797
40, 2.268152, 881.774970
41, 2.268467, 881.652784
41, 2.180848, 917.074460
41, 2.292790, 872.299666
41, 2.278520, 877.762678
41, 2.281253, 876.711350
42, 2.251006, 888.491590
42, 2.236654, 894.192657
42, 2.222998, 899.686076
42, 2.244742, 890.970853
42, 2.243302, 891.542750
43, 2.253495, 887.510210
43, 2.249439, 889.110385
43, 2.252493, 887.904921
43, 2.246766, 890.168510
43, 2.268289, 881.721713
44, 2.449403, 816.525613
44, 2.457587, 813.806531
44, 2.490612, 803.015403
44, 2.449412, 816.522443
44, 2.445663, 817.774108
45, 2.533456, 789.435327
45, 2.522293, 792.929218
45, 2.543011, 786.469342
45, 2.514951, 795.243992
45, 2.588253, 772.721938
46, 2.185277, 915.215756
46, 2.170158, 921.591843
46, 2.147910, 931.137620
46, 2.174872, 919.594335
46, 2.147296, 931.403785
47, 2.183130, 916.115689
47, 2.163329, 924.500948
47, 2.167981, 922.517417
47, 2.150939, 929.826438
47, 2.154867, 928.131686
48, 2.197945, 909.940814
48, 2.188487, 913.873256
48, 2.198530, 909.698567
48, 2.201057, 908.654537
48, 2.212089, 904.122622
49, 2.274584, 879.281725
49, 2.246013, 890.466915
49, 2.264259, 883.291229
49, 2.266209, 882.531298
49, 2.270103, 881.017365
50, 2.377407, 841.252770
50, 2.382161, 839.573756
50, 2.373567, 842.613521
50, 2.366430, 845.155091
50, 2.427620, 823.852331
51, 2.286103, 874.851260
51, 2.268967, 881.458274
51, 2.293678, 871.962124
51, 2.278818, 877.647991
51, 2.288105, 874.085615
52, 2.629663, 760.553596
52, 2.563605, 780.151499
52, 2.572994, 777.304723
52, 2.645458, 756.012815
52, 2.609431, 766.450472
53, 2.717202, 736.051367
53, 2.621540, 762.910322
53, 2.677978, 746.831999
53, 2.524658, 792.186646
53, 2.667460, 749.777041
54, 2.276607, 878.500471
54, 2.162406, 924.895742
54, 2.276948, 878.368787
54, 2.261620, 884.321990
54, 2.408898, 830.255045
55, 2.255236, 886.825029
55, 2.259546, 885.133426
55, 2.254965, 886.931689
55, 2.257236, 886.039520
55, 2.275715, 878.844679
56, 2.451734, 815.749033
56, 2.404270, 831.853300
56, 2.370448, 843.722239
56, 2.512057, 796.160257
56, 2.416186, 827.750843
57, 2.186871, 914.548846
57, 2.207530, 905.989753
57, 2.204162, 907.374527
57, 2.188000, 914.076791
57, 2.219657, 901.040206
58, 2.205903, 906.658061
58, 2.212893, 903.794241
58, 2.207294, 906.086835
58, 2.211288, 904.450336
58, 2.185976, 914.923162
59, 2.203734, 907.550574
59, 2.224368, 899.131937
59, 2.211500, 904.363440
59, 2.224735, 898.983485
59, 2.216240, 902.429328
60, 2.303502, 868.243160
60, 2.291337, 872.852800
60, 2.294916, 871.491509
60, 2.276445, 878.562921
60, 2.260724, 884.672412
61, 2.254035, 887.297710
61, 2.276967, 878.361571
61, 2.282110, 876.381905
61, 2.250213, 888.804757
61, 2.291856, 872.655165
62, 2.085415, 959.041533
62, 2.048656, 976.249930
62, 2.097128, 953.685416
62, 2.093433, 955.368468
62, 2.118510, 944.059870
63, 2.791869, 716.366031
63, 2.838871, 704.505519
63, 2.933022, 681.890614
63, 2.826431, 707.606233
63, 2.778346, 719.852626
64, 2.535545, 788.784931
64, 2.516441, 794.773170
64, 2.482730, 805.564839
64, 2.514417, 795.413151
64, 2.544449, 786.024915
65, 2.297885, 870.365581
65, 2.325519, 860.022941
65, 2.354717, 849.359141
65, 2.345786, 852.592811
65, 2.289082, 873.712781
66, 2.556792, 782.230354
66, 2.560366, 781.138409
66, 2.780319, 719.341936
66, 2.704275, 739.569686
66, 2.565924, 779.446234
67, 2.650793, 754.491100
67, 2.646380, 755.749264
67, 2.616096, 764.497842
67, 2.701025, 740.459602
67, 2.575493, 776.550488
68, 2.847974, 702.253592
68, 2.876059, 695.396109
68, 2.806918, 712.525204
68, 2.790713, 716.662774
68, 2.889434, 692.177125
69, 2.149671, 930.375062
69, 2.167359, 922.781985
69, 2.142155, 933.639174
69, 2.132125, 938.031415
69, 2.128722, 939.530742
70, 2.322246, 861.235248
70, 2.310906, 865.461570
70, 2.329817, 858.436379
70, 2.346939, 852.173743
70, 2.336122, 856.119800
71, 2.357136, 848.487472
71, 2.343430, 853.449999
71, 2.329315, 858.621503
71, 2.348201, 851.715943
71, 2.334767, 856.616584
72, 2.558147, 781.815790
72, 2.532672, 789.679888
72, 2.555189, 782.721022
72, 2.576653, 776.200656
72, 2.520595, 793.463374
73, 2.521928, 793.044172
73, 2.521159, 793.285963
73, 2.523676, 792.494676
73, 2.564044, 780.017756
73, 2.537667, 788.125559
74, 1.974908, 1012.705539
74, 2.009314, 995.364726
74, 1.979561, 1010.325033
74, 2.030167, 985.140547
74, 2.006552, 996.734620
75, 2.600162, 769.182838
75, 2.569195, 778.453844
75, 2.586090, 773.368349
75, 2.640507, 757.430195
75, 2.635819, 758.777378
76, 2.779891, 719.452765
76, 2.822885, 708.495039
76, 2.826185, 707.667852
76, 2.823678, 708.295935
76, 2.804562, 713.123840
77, 2.286545, 874.681986
77, 2.308198, 866.476684
77, 2.324108, 860.545094
77, 2.317211, 863.106663
77, 2.307003, 866.925639
78, 2.539999, 787.401738
78, 2.623649, 762.297117
78, 2.590933, 771.922707
78, 2.590763, 771.973492
78, 2.562068, 780.619391
79, 2.583561, 774.125449
79, 2.586836, 773.145134
79, 2.559587, 781.376048
79, 2.620725, 763.147682
79, 2.556419, 782.344242
80, 2.437198, 820.614557
80, 2.445911, 817.691099
80, 2.438561, 820.155910
80, 2.454900, 814.697146
80, 2.443422, 818.524328
81, 2.364716, 845.767577
81, 2.365808, 845.377043
81, 2.360979, 847.106228
81, 2.357614, 848.315330
81, 2.350519, 850.876020
82, 2.026588, 986.880335
82, 1.961705, 1019.521489
82, 1.986487, 1006.802398
82, 1.954315, 1023.376735
82, 1.992380, 1003.824339
83, 1.954614, 1023.219819
83, 1.983641, 1008.246903
83, 1.954630, 1023.211543
83, 1.969129, 1015.677269
83, 1.990050, 1004.999794
84, 2.487641, 803.974500
84, 2.536164, 788.592588
84, 2.492562, 802.387132
84, 2.504101, 798.689880
84, 2.508257, 797.366415
85, 2.174122, 919.911402
85, 2.171959, 920.827489
85, 2.182601, 916.337814
85, 2.168020, 922.500825
85, 2.181241, 916.909033
86, 1.953059, 1024.034777
86, 1.959959, 1020.429424
86, 1.944353, 1028.619844
86, 1.968358, 1016.075311
86, 1.964974, 1017.825380
87, 2.155603, 927.814437
87, 2.157260, 927.101954
87, 2.165567, 923.545628
87, 2.182502, 916.379603
87, 2.152258, 929.256601
88, 2.315608, 863.704087
88, 2.310966, 865.439125
88, 2.317960, 862.827506
88, 2.312968, 864.689736
88, 2.315650, 863.688241
89, 2.319464, 862.268129
89, 2.317757, 862.903177
89, 2.321094, 861.662489
89, 2.320220, 861.987339
89, 2.321489, 861.515972
90, 2.238086, 893.620880
90, 2.252195, 888.022590
90, 2.260263, 884.852742
90, 2.252951, 887.724438
90, 2.249248, 889.185970
91, 2.288806, 873.818080
91, 2.285767, 874.980009
91, 2.286558, 874.676991
91, 2.296125, 871.032654
91, 2.295475, 871.279301
92, 3.228723, 619.440023
92, 3.223577, 620.428756
92, 3.191092, 626.744728
92, 3.134911, 637.976576
92, 3.159401, 633.031432
93, 2.140295, 934.450617
93, 2.134557, 936.962584
93, 2.158709, 926.479801
93, 2.143071, 933.240300
93, 2.156286, 927.520835
94, 1.964424, 1018.110224
94, 1.973526, 1013.414694
94, 1.986570, 1006.760444
94, 1.969173, 1015.654841
94, 1.962449, 1019.134897
95, 2.213173, 903.680093
95, 2.229731, 896.969303
95, 2.216388, 902.369097
95, 2.211617, 904.315576
95, 2.216459, 902.340085
96, 2.369161, 844.180757
96, 2.376772, 841.477442
96, 2.363263, 846.287451
96, 2.382982, 839.284554
96, 2.365747, 845.398860
97, 2.362638, 846.511399
97, 2.367072, 844.925620
97, 2.383413, 839.132774
97, 2.367698, 844.702373
97, 2.371304, 843.417724
98, 2.687116, 744.292492
98, 2.679295, 746.465041
98, 2.685002, 744.878476
98, 2.705466, 739.244155
98, 2.473727, 808.496611
99, 3.673144, 544.492601
99, 3.812545, 524.583906
99, 3.677860, 543.794416
99, 3.722875, 537.219234
99, 3.691933, 541.721645
100, 2.487257, 804.098525
100, 2.488461, 803.709722
100, 2.479011, 806.773461
100, 2.486899, 804.214528
100, 2.489045, 803.521022
101, 2.486283, 804.413720
101, 2.488769, 803.610128
101, 2.483263, 805.391909
101, 2.482721, 805.567757
101, 2.486109, 804.469893
102, 2.922013, 684.459572
102, 2.892630, 691.412309
102, 2.900484, 689.540154
102, 2.921063, 684.682148
102, 2.949355, 678.114351
103, 2.977843, 671.627089
103, 2.918196, 685.354940
103, 2.893117, 691.295837
103, 2.924417, 683.896938
103, 2.912341, 686.732725
104, 2.412480, 829.022360
104, 2.408199, 830.496284
104, 2.399076, 833.654166
104, 2.409807, 829.941964
104, 2.400491, 833.163026
105, 3.178461, 629.235395
105, 3.164734, 631.964736
105, 3.171646, 630.587487
105, 3.175420, 629.837889
105, 3.202015, 624.606785
106, 2.009135, 995.453464
106, 2.049494, 975.850616
106, 1.963383, 1018.649942
106, 2.004009, 997.999476
106, 2.020834, 989.690152
107, 1.986875, 1006.605681
107, 2.002476, 998.763572
107, 1.979773, 1010.216576
107, 1.999398, 1000.301122
107, 1.975830, 1012.232970
108, 2.457844, 813.721158
108, 2.434334, 821.579825
108, 2.459271, 813.249214
108, 2.443443, 818.517141
108, 2.451316, 815.888234
109, 2.455174, 814.606252
109, 2.461317, 812.573151
109, 2.451681, 815.766686
109, 2.491778, 802.639809
109, 2.472560, 808.878381
110, 2.616014, 764.521824
110, 2.659291, 752.080036
110, 2.582487, 774.447276
110, 2.603269, 768.264930
110, 2.625669, 761.710520
111, 2.202719, 907.968739
111, 2.202257, 908.159361
111, 2.217013, 902.114852
111, 2.207563, 905.976466
111, 2.202744, 907.958240
112, 2.799466, 714.422066
112, 2.792901, 716.101296
112, 2.909860, 687.318299
112, 2.808246, 712.188325
112, 3.010736, 664.289372
113, 2.843332, 703.400166
113, 2.853211, 700.964627
113, 2.761191, 724.325174
113, 2.767595, 722.649111
113, 2.804999, 713.012711
114, 3.150111, 634.898328
114, 3.129095, 639.162515
114, 3.168513, 631.210994
114, 3.156027, 633.708095
114, 3.153611, 634.193593
115, 2.265023, 882.993392
115, 2.267247, 882.127247
115, 2.257733, 885.844228
115, 2.262619, 883.931284
115, 2.261114, 884.519817
