Cores, Execution Time, GFLOPs
1, 41.761540, 47.890954
1, 42.378265, 47.194004
1, 42.470226, 47.091814
1, 42.048493, 47.564130
1, 42.291327, 47.291020
2, 22.518292, 88.816683
2, 22.818911, 87.646602
2, 22.530913, 88.766930
2, 22.679984, 88.183484
2, 22.737933, 87.958744
3, 15.825125, 126.381307
3, 15.392218, 129.935794
3, 15.420482, 129.697630
3, 15.360904, 130.200672
3, 15.493855, 129.083435
4, 11.435196, 174.898621
4, 11.433022, 174.931875
4, 11.440583, 174.816273
4, 11.471283, 174.348411
4, 11.387790, 175.626707
5, 8.696919, 229.966489
5, 8.717649, 229.419661
5, 8.706684, 229.708584
5, 8.718922, 229.386152
5, 8.792603, 227.463928
6, 7.828966, 255.461589
6, 7.941483, 251.842120
6, 7.878454, 253.856903
6, 7.856622, 254.562345
6, 7.915276, 252.675977
7, 6.295251, 317.699808
7, 6.307208, 317.097530
7, 6.323531, 316.279012
7, 6.543370, 305.652897
7, 6.305510, 317.182889
8, 5.567128, 359.251639
8, 5.630032, 355.237754
8, 5.607790, 356.646750
8, 5.605107, 356.817470
8, 5.574527, 358.774843
9, 5.014276, 398.861182
9, 5.031102, 397.527182
9, 5.021450, 398.291322
9, 5.022439, 398.212906
9, 5.022308, 398.223290
10, 4.653218, 429.810113
10, 4.634925, 431.506468
10, 4.651991, 429.923408
10, 4.633057, 431.680399
10, 4.635394, 431.462742
11, 4.165100, 480.180509
11, 4.163922, 480.316410
11, 4.244587, 471.188315
11, 4.243246, 471.337252
11, 4.233002, 472.477879
12, 3.823498, 523.081262
12, 3.809724, 524.972408
12, 3.816552, 524.033244
12, 3.824796, 522.903709
12, 3.835171, 521.489099
13, 3.828876, 522.346541
13, 3.826501, 522.670694
13, 3.873739, 516.296983
13, 3.824995, 522.876449
13, 3.819168, 523.674205
14, 3.325382, 601.434600
14, 3.328185, 600.928211
14, 3.336580, 599.416196
14, 3.330464, 600.516936
14, 3.335159, 599.671574
15, 3.115021, 642.050145
15, 3.141106, 636.718501
15, 3.109519, 643.186359
15, 3.123432, 640.321230
15, 3.103686, 644.395091
16, 2.897027, 690.362842
16, 2.880407, 694.346295
16, 2.896290, 690.538469
16, 2.893424, 691.222632
16, 2.897109, 690.343438
17, 2.891828, 691.604104
17, 2.885247, 693.181532
17, 2.931939, 682.142410
17, 2.887990, 692.523223
17, 2.901073, 689.399989
18, 2.690052, 743.480164
18, 2.683675, 745.246736
18, 2.669078, 749.322408
18, 2.692314, 742.855513
18, 2.684955, 744.891526
19, 2.660613, 751.706377
19, 2.677105, 747.075682
19, 2.679555, 746.392538
19, 2.686374, 744.497890
19, 2.671064, 748.765192
20, 2.554369, 782.972340
20, 2.562016, 780.635209
20, 2.556274, 782.388799
20, 2.547045, 785.223649
20, 2.561951, 780.654989
21, 2.457801, 813.735595
21, 2.454580, 814.803284
21, 2.462921, 812.043991
21, 2.482232, 805.726558
21, 2.460594, 812.811919
22, 2.379980, 840.343022
22, 2.372241, 843.084832
22, 2.381273, 839.886822
22, 2.363934, 846.047134
22, 2.354748, 849.347864
23, 2.371270, 843.429958
23, 2.372058, 843.149820
23, 2.364633, 845.797076
23, 2.381264, 839.890157
23, 2.368873, 844.283193
24, 2.455563, 814.477332
24, 2.438706, 820.106923
24, 2.424488, 824.916410
24, 2.458096, 813.637947
24, 2.454871, 814.706861
25, 2.481377, 806.004232
25, 2.480554, 806.271433
25, 2.465957, 811.044084
25, 2.462371, 812.225392
25, 2.461968, 812.358281
26, 2.326568, 859.635421
26, 2.325907, 859.879467
26, 2.315250, 863.837753
26, 2.325775, 859.928238
26, 2.326283, 859.740544
27, 2.690031, 743.485828
27, 2.699787, 740.799292
27, 2.726929, 733.425845
27, 2.692753, 742.734354
27, 2.710446, 737.885986
28, 2.614387, 764.997571
28, 2.614672, 764.914413
28, 2.637819, 758.202133
28, 2.603626, 768.159531
28, 2.613860, 765.151880
29, 2.603087, 768.318601
29, 2.622282, 762.694558
29, 2.610783, 766.053662
29, 2.603042, 768.331714
29, 2.603707, 768.135588
30, 2.442512, 818.829279
30, 2.453031, 815.317922
30, 2.453109, 815.292103
30, 2.438111, 820.307103
30, 2.443383, 818.537083
31, 2.446442, 817.513642
31, 2.451979, 815.667556
31, 2.456113, 814.294827
31, 2.450429, 816.183757
31, 2.439781, 819.745587
32, 2.648307, 755.199487
32, 2.674610, 747.772693
32, 2.668061, 749.607982
32, 2.656758, 752.797238
32, 2.643895, 756.459739
33, 2.281501, 876.615746
33, 2.268440, 881.663312
33, 2.275944, 878.756115
33, 2.289278, 873.638008
33, 2.287098, 874.470783
34, 2.229928, 896.889919
34, 2.176008, 919.114346
34, 2.233553, 895.434427
34, 2.188017, 914.069775
34, 2.268493, 881.642402
35, 2.421526, 825.925461
35, 2.429254, 823.297853
35, 2.444235, 818.252044
35, 2.419228, 826.710138
35, 2.450336, 816.214522
36, 2.470479, 809.559763
36, 2.463774, 811.762704
36, 2.483235, 805.400949
36, 2.476551, 807.574636
36, 2.482717, 805.569020
37, 2.475174, 808.023898
37, 2.480491, 806.291971
37, 2.486595, 804.312684
37, 2.460420, 812.869334
37, 2.462310, 812.245412
38, 2.352512, 850.155131
38, 2.377518, 841.213430
38, 2.367028, 844.941286
38, 2.376617, 841.532338
38, 2.338299, 855.322732
39, 2.246481, 890.281337
39, 2.269718, 881.166718
39, 2.269443, 881.273320
39, 2.270888, 880.712571
39, 2.234397, 895.096099
40, 2.583322, 774.196997
40, 2.587796, 772.858510
40, 2.602825, 768.395852
40, 2.589143, 772.456477
40, 2.587749, 772.872479
41, 2.583808, 774.051386
41, 2.582974, 774.301201
41, 2.579819, 775.248136
41, 2.578089, 775.768439
41, 2.603122, 768.308343
42, 2.442920, 818.692381
42, 2.444111, 818.293278
42, 2.438390, 820.213436
42, 2.432642, 822.151429
42, 2.448209, 816.923787
43, 2.442438, 818.853830
43, 2.458542, 813.490311
43, 2.436249, 820.934285
43, 2.439735, 819.761126
43, 2.436037, 821.005592
44, 2.689207, 743.713691
44, 2.695076, 742.094131
44, 2.696859, 741.603420
44, 2.689313, 743.684254
44, 2.688298, 743.965212
45, 3.011681, 664.081041
45, 2.987114, 669.542677
45, 2.985400, 669.926888
45, 3.079474, 649.461528
45, 2.983273, 670.404528
46, 2.045288, 977.857507
46, 2.054027, 973.697147
46, 2.057798, 971.912465
46, 2.058634, 971.517969
46, 2.020376, 989.914597
47, 2.073557, 964.526399
47, 2.051559, 974.868580
47, 2.049167, 976.006287
47, 2.048175, 976.479106
47, 2.060814, 970.490417
48, 2.298974, 869.953293
48, 2.296522, 870.882272
48, 2.293922, 871.869304
48, 2.295112, 871.417323
48, 2.290628, 873.122832
49, 2.396785, 834.451046
49, 2.402789, 832.365979
49, 2.405316, 831.491653
49, 2.401346, 832.866330
49, 2.397673, 834.141977
50, 2.667057, 749.890305
50, 2.662700, 751.117228
50, 2.648059, 755.270271
50, 2.648284, 755.206044
50, 2.645563, 755.982850
51, 2.250612, 888.647349
51, 2.246359, 890.329554
51, 2.261945, 884.194949
51, 2.255352, 886.779533
51, 2.242792, 891.745481
52, 2.895333, 690.766788
52, 2.896145, 690.573162
52, 2.894164, 691.045928
52, 2.894527, 690.959069
52, 2.919774, 684.984447
53, 2.889126, 692.250800
53, 2.921300, 684.626797
53, 2.927095, 683.271185
53, 2.895904, 690.630579
53, 2.907357, 687.910113
54, 2.379179, 840.625940
54, 2.340658, 854.460411
54, 2.351826, 850.403071
54, 2.383816, 838.990882
54, 2.378109, 841.004475
55, 2.281635, 876.564315
55, 2.284559, 875.442517
55, 2.287550, 874.298018
55, 2.400040, 833.319508
55, 2.318781, 862.522050
56, 2.465846, 811.080741
56, 2.474781, 808.152460
56, 2.465445, 811.212684
56, 2.547615, 785.047849
56, 2.517477, 794.446072
57, 2.232926, 895.685930
57, 2.230693, 896.582494
57, 2.235559, 894.630836
57, 2.222779, 899.774526
57, 2.240877, 892.507854
58, 2.127102, 940.246528
58, 2.176322, 918.981732
58, 2.156790, 927.303982
58, 2.155955, 927.663051
58, 2.149194, 930.581467
59, 2.142558, 933.463820
59, 2.134177, 937.129369
59, 2.125528, 940.942751
59, 2.140788, 934.235482
59, 2.122526, 942.273433
60, 2.341232, 854.251181
60, 2.347799, 851.861666
60, 2.342429, 853.814666
60, 2.535749, 788.721700
60, 2.383043, 839.263084
61, 2.336150, 856.109258
61, 2.338834, 855.127132
61, 2.372046, 843.153904
61, 2.338093, 855.397812
61, 2.364333, 845.904419
62, 2.152298, 929.239298
62, 2.171281, 921.115426
62, 2.115594, 945.361118
62, 2.173171, 920.313987
62, 2.178198, 918.190358
63, 3.606442, 554.563264
63, 3.557315, 562.221714
63, 3.559032, 561.950540
63, 3.556128, 562.409426
63, 3.559944, 561.806597
64, 2.510522, 796.647030
64, 2.500644, 799.793917
64, 2.473725, 808.497318
64, 2.534934, 788.975222
64, 2.576232, 776.327554
65, 2.290754, 873.075132
65, 2.297484, 870.517359
65, 2.305222, 867.595242
65, 2.296764, 870.790405
65, 2.282095, 876.387788
66, 2.693359, 742.567210
66, 2.705048, 739.358317
66, 2.685679, 744.690583
66, 2.693781, 742.450849
66, 2.712347, 737.368714
67, 2.685375, 744.774845
67, 2.692580, 742.782138
67, 2.678962, 746.557727
67, 2.698500, 741.152622
67, 2.905266, 688.405032
68, 3.260121, 613.474192
68, 3.242518, 616.804579
68, 3.172109, 630.495297
68, 3.212669, 622.535440
68, 3.254392, 614.554122
69, 2.209139, 905.329996
69, 2.219378, 901.153231
69, 2.227094, 898.031281
69, 2.220654, 900.635442
69, 2.223549, 899.462779
70, 2.463377, 811.893710
70, 2.464312, 811.585401
70, 2.469457, 809.894645
70, 2.460353, 812.891499
70, 2.468793, 810.112338
71, 2.482482, 805.645469
71, 2.487061, 804.162080
71, 2.196646, 910.479086
71, 2.482931, 805.499749
71, 2.457603, 813.801053
72, 2.858407, 699.690460
72, 2.849758, 701.814095
72, 2.824984, 707.968635
72, 2.782408, 718.801773
72, 2.827148, 707.426807
73, 2.822766, 708.524787
73, 2.810232, 711.684891
73, 2.842693, 703.558119
73, 2.808852, 712.034574
73, 2.840911, 703.999451
74, 2.034590, 982.999002
74, 2.094793, 954.748126
74, 2.024875, 987.715375
74, 2.068710, 966.785955
74, 2.097396, 953.563512
75, 3.039308, 658.044524
75, 3.051866, 655.336805
75, 3.117706, 641.497229
75, 3.089182, 647.420538
75, 3.085674, 648.156610
76, 3.593208, 556.605729
76, 3.474101, 575.688496
76, 3.483680, 574.105521
76, 3.399482, 588.324997
76, 3.566405, 560.788795
77, 2.435919, 821.045282
77, 2.437041, 820.667523
77, 2.416624, 827.600864
77, 2.416609, 827.605790
77, 2.424055, 825.063754
78, 2.902606, 689.036084
78, 2.902855, 688.976897
78, 2.914586, 686.203731
78, 2.896983, 690.373464
78, 2.869616, 696.957454
79, 2.973440, 672.621540
79, 2.892702, 691.395101
79, 2.930771, 682.414243
79, 2.933395, 681.803846
79, 2.930292, 682.525775
80, 2.660361, 751.777546
80, 2.662953, 751.046017
80, 2.650548, 754.561071
80, 2.619007, 763.648320
80, 2.617434, 764.107145
81, 2.548091, 784.901401
81, 2.549582, 784.442270
81, 2.554494, 782.933775
81, 2.548503, 784.774496
81, 2.543981, 786.169431
82, 2.024155, 988.066573
82, 2.051479, 974.906255
82, 2.023079, 988.591981
82, 2.077532, 962.680627
82, 2.017533, 991.309569
83, 2.022428, 988.910470
83, 2.018882, 990.647516
83, 2.065214, 968.422811
83, 2.038407, 981.158193
83, 2.024229, 988.030584
84, 2.786903, 717.642489
84, 2.808251, 712.187028
84, 2.802038, 713.766281
84, 2.795745, 715.372763
84, 2.804426, 713.158309
85, 2.352364, 850.208539
85, 2.349258, 851.332673
85, 2.347796, 851.862819
85, 2.355216, 849.178948
85, 2.347859, 851.839992
86, 2.095197, 954.564386
86, 2.066264, 967.930307
86, 2.026398, 986.973180
86, 2.066543, 967.799762
86, 2.074883, 963.909672
87, 2.273882, 879.552994
87, 2.279614, 877.341425
87, 2.254263, 887.207823
87, 2.271520, 880.467734
87, 2.264871, 883.052511
88, 2.512561, 796.000461
88, 2.519604, 793.775587
88, 2.531742, 789.969932
88, 2.534280, 789.178625
88, 2.538817, 787.768395
89, 2.526189, 791.706553
89, 2.528699, 790.920490
89, 2.230411, 896.695547
89, 2.269320, 881.321144
89, 2.528810, 790.885858
90, 2.400187, 833.268453
90, 2.387430, 837.721061
90, 2.396315, 834.614708
90, 2.387819, 837.584328
90, 2.397680, 834.139584
91, 2.476962, 807.440574
91, 2.471460, 809.238330
91, 2.481702, 805.898628
91, 2.477023, 807.420795
91, 2.480054, 806.434071
92, 3.901959, 512.563004
92, 3.782621, 528.733890
92, 3.763807, 531.376926
92, 3.799493, 526.385978
92, 3.748770, 533.508321
93, 2.263301, 883.665023
93, 2.274544, 879.296957
93, 2.281042, 876.792235
93, 2.264547, 883.178739
93, 2.274025, 879.497988
94, 2.106851, 949.284098
94, 2.124120, 941.566592
94, 2.094771, 954.758441
94, 2.112252, 946.856736
94, 2.094891, 954.703771
95, 2.323496, 860.771698
