Cores, Execution Time, GFLOPs
1, 43.220550, 46.274284
1, 43.466493, 46.012454
1, 43.578929, 45.893739
1, 43.563169, 45.910342
1, 43.533166, 45.941984
2, 22.299240, 89.689153
2, 22.253267, 89.874443
2, 22.252124, 89.879062
2, 22.202023, 90.081880
2, 22.281150, 89.761972
3, 14.848303, 134.695526
3, 14.919236, 134.055121
3, 14.897682, 134.249077
3, 14.769198, 135.416965
3, 14.768388, 135.424399
4, 11.383710, 175.689649
4, 11.393876, 175.532889
4, 11.428139, 175.006619
4, 11.456942, 174.566644
4, 11.407037, 175.330375
5, 8.909017, 224.491671
5, 8.905131, 224.589627
5, 8.895745, 224.826580
5, 8.887026, 225.047173
5, 8.906873, 224.545690
6, 7.502714, 266.570213
6, 7.502421, 266.580632
6, 7.491227, 266.978977
6, 7.516842, 266.069194
6, 7.507432, 266.402693
7, 6.486390, 308.337937
7, 6.451105, 310.024386
7, 6.458454, 309.671626
7, 6.454526, 309.860106
7, 6.458199, 309.683848
8, 5.876947, 340.312753
8, 5.916399, 338.043454
8, 5.912404, 338.271874
8, 5.895566, 339.237975
8, 5.881884, 340.027103
9, 5.285864, 378.367656
9, 5.263823, 379.951962
9, 5.273887, 379.226919
9, 5.274959, 379.149859
9, 5.291664, 377.952912
10, 4.882229, 409.648938
10, 4.882834, 409.598158
10, 4.873847, 410.353470
10, 4.875190, 410.240457
10, 4.876648, 410.117773
11, 4.545020, 440.042042
11, 4.545594, 439.986524
11, 4.554591, 439.117397
11, 4.524133, 442.073651
11, 4.525588, 441.931478
12, 4.266541, 468.763805
12, 4.276118, 467.713898
12, 4.263103, 469.141882
12, 4.254310, 470.111535
12, 4.248018, 470.807773
13, 4.066480, 491.825831
13, 4.074045, 490.912639
13, 4.061862, 492.384988
13, 4.085399, 489.548289
13, 4.066112, 491.870400
14, 3.882885, 515.080882
14, 3.888467, 514.341457
14, 3.892865, 513.760438
14, 3.882015, 515.196374
14, 3.881915, 515.209590
15, 3.762360, 531.581308
15, 3.767807, 530.812724
15, 3.770362, 530.453014
15, 3.748288, 533.576941
15, 3.750414, 533.274486
16, 3.933262, 508.483824
16, 3.914368, 510.938220
16, 3.923948, 509.690770
16, 3.924901, 509.567029
16, 3.921341, 510.029545
17, 3.557561, 562.182885
17, 3.610181, 553.988799
17, 3.626711, 551.463919
17, 3.619993, 552.487212
17, 3.564127, 561.147199
18, 3.668049, 545.248927
18, 3.652976, 547.498784
18, 3.665410, 545.641614
18, 3.660272, 546.407518
18, 3.665624, 545.609662
19, 3.374475, 592.684810
19, 3.380037, 591.709517
19, 3.373277, 592.895280
19, 3.372301, 593.066810
19, 3.379819, 591.747742
20, 3.713765, 538.537057
20, 3.723105, 537.186042
20, 3.698587, 540.747106
20, 3.712668, 538.696141
20, 3.703508, 540.028528
21, 3.280998, 609.570682
21, 3.275512, 610.591576
21, 3.330723, 600.470281
21, 3.274048, 610.864660
21, 3.262129, 613.096561
22, 3.531150, 566.387735
22, 3.542623, 564.553461
22, 3.510008, 569.799228
22, 3.534024, 565.927172
22, 3.554545, 562.659957
23, 3.178136, 629.299604
23, 3.191139, 626.735525
23, 3.250553, 615.279856
23, 3.207662, 623.507166
23, 3.191649, 626.635254
24, 3.622777, 552.062627
24, 3.636487, 549.981374
24, 3.613101, 553.541162
24, 3.632226, 550.626495
24, 3.629933, 550.974300
25, 3.150411, 634.837878
25, 3.156273, 633.658765
25, 3.154670, 633.980763
25, 3.155840, 633.745668
25, 3.113816, 642.298661
26, 3.418226, 585.098858
26, 3.433164, 582.552951
26, 3.423612, 584.178409
26, 3.433210, 582.545179
26, 3.422978, 584.286571
27, 2.980512, 671.025635
27, 2.994619, 667.864513
27, 3.068538, 651.776270
27, 2.962981, 674.995864
27, 3.030667, 659.920747
28, 3.554986, 562.590103
28, 3.550444, 563.309756
28, 3.542552, 564.564800
28, 3.547186, 563.827231
28, 3.552727, 562.947776
29, 2.993394, 668.137915
29, 2.968680, 673.700033
29, 2.988588, 669.212438
29, 3.015350, 663.272911
29, 3.113409, 642.382575
30, 3.306393, 604.888827
30, 3.326070, 601.310179
30, 3.335049, 599.691309
30, 3.313078, 603.668303
30, 3.316871, 602.977963
31, 2.947022, 678.651146
31, 2.938465, 680.627564
31, 2.979462, 671.262136
31, 2.973493, 672.609711
31, 2.921141, 684.664012
32, 3.467469, 576.789615
32, 3.486902, 573.575022
32, 3.471522, 576.116234
32, 3.460840, 577.894443
32, 3.469521, 576.448473
33, 2.924474, 683.883714
33, 2.935713, 681.265501
33, 2.969334, 673.551782
33, 2.988678, 669.192109
33, 2.913852, 686.376764
34, 3.289084, 608.072026
34, 3.261149, 613.280791
34, 3.266581, 612.260964
34, 3.276774, 610.356461
34, 3.294609, 607.052278
35, 2.889715, 692.109762
35, 2.900756, 689.475511
35, 2.889753, 692.100628
35, 2.882470, 693.849284
35, 2.965585, 674.403198
36, 3.423582, 584.183449
36, 3.424426, 584.039441
36, 3.441704, 581.107449
36, 3.436192, 582.039596
36, 3.448350, 579.987533
37, 2.938704, 680.572033
37, 2.908357, 687.673589
37, 2.949289, 678.129541
37, 2.892043, 691.552716
37, 2.979643, 671.221270
38, 3.225218, 620.113041
38, 3.275505, 610.592963
38, 3.245359, 616.264657
38, 3.217540, 621.592954
38, 3.215617, 621.964577
39, 2.939214, 680.454132
39, 2.952833, 677.315705
39, 2.942153, 679.774379
39, 2.901778, 689.232696
39, 2.895548, 690.715486
40, 3.413010, 585.993006
40, 3.418155, 585.111037
40, 3.416150, 585.454415
40, 3.411887, 586.185800
40, 3.406122, 587.178095
41, 2.930338, 682.515214
41, 2.895815, 690.651968
41, 2.914425, 686.241767
41, 2.891589, 691.661204
41, 2.931410, 682.265425
42, 3.208998, 623.247591
42, 3.196209, 625.741286
42, 3.211308, 622.799200
42, 3.205027, 624.019652
42, 3.201880, 624.633065
43, 2.888342, 692.438708
43, 2.955461, 676.713344
43, 2.945788, 678.935395
43, 2.944794, 679.164763
43, 2.930757, 682.417445
44, 3.426052, 583.762347
44, 3.429647, 583.150453
44, 3.418163, 585.109589
44, 3.413321, 585.939536
44, 3.405410, 587.300811
45, 2.961503, 675.332663
45, 2.911393, 686.956314
45, 2.913044, 686.566937
45, 2.916705, 685.705193
45, 2.925513, 683.640873
46, 3.194248, 626.125510
46, 3.206091, 623.812612
46, 3.171939, 630.529155
46, 3.173014, 630.315513
46, 3.159683, 632.974978
47, 2.970775, 673.224913
47, 2.945365, 679.033084
47, 2.926942, 683.307073
47, 2.927724, 683.124423
47, 2.943866, 679.378730
48, 3.440598, 581.294234
48, 3.428519, 583.342304
48, 3.439927, 581.407736
48, 3.442205, 581.022983
48, 3.417059, 585.298677
49, 2.949386, 678.107194
49, 2.963961, 674.772657
49, 3.006975, 665.120238
49, 2.983793, 670.287798
49, 2.920075, 684.913818
50, 3.166492, 631.613833
50, 3.176648, 629.594524
50, 3.225091, 620.137567
50, 3.174316, 630.056925
50, 3.183492, 628.240953
51, 2.970725, 673.236369
51, 3.053997, 654.879550
51, 3.025261, 661.099970
51, 2.979706, 671.207118
51, 2.994716, 667.842854
52, 3.570649, 560.122288
52, 3.549396, 563.476221
52, 3.510405, 569.734864
52, 3.530422, 566.504449
52, 3.549020, 563.535809
53, 3.128492, 639.285635
53, 3.132974, 638.371150
53, 3.053127, 655.066194
53, 3.056675, 654.305671
53, 3.065688, 652.382032
54, 3.245324, 616.271289
54, 3.201772, 624.654187
54, 3.203797, 624.259285
54, 3.226444, 619.877425
54, 3.187814, 627.389113
55, 3.160773, 632.756564
55, 3.105472, 644.024449
55, 3.139415, 637.061450
55, 3.119325, 641.164417
55, 3.109629, 643.163522
56, 3.735169, 535.451051
56, 3.611897, 553.725587
56, 3.545357, 564.118090
56, 3.642483, 549.076023
56, 3.721723, 537.385439
57, 3.161867, 632.537660
57, 3.066594, 652.189315
57, 3.148625, 635.197853
57, 3.096209, 645.951254
57, 3.113171, 642.431885
58, 3.190462, 626.868380
58, 3.179327, 629.063927
58, 3.150581, 634.803459
58, 3.198599, 625.273817
58, 3.197474, 625.493834
59, 3.084509, 648.401384
59, 3.195438, 625.892229
59, 3.147606, 635.403534
59, 3.110887, 642.903511
59, 3.095172, 646.167626
60, 3.727446, 536.560446
60, 3.654990, 547.197049
60, 3.636898, 549.919137
60, 3.686940, 542.455218
60, 3.674238, 544.330536
61, 3.141753, 636.587246
61, 3.078758, 649.612696
61, 3.128309, 639.323099
61, 3.111443, 642.788544
