Cores, Execution Time, GFLOPs
1, 43.104444, 46.398928
1, 43.045196, 46.462793
1, 43.328741, 46.158738
1, 43.223390, 46.271243
1, 43.272612, 46.218611
2, 23.972322, 83.429550
2, 24.146315, 82.828374
2, 23.941657, 83.536407
2, 23.833336, 83.916073
2, 23.979371, 83.405022
3, 15.538819, 128.709909
3, 15.475110, 129.239791
3, 15.422272, 129.682577
3, 15.457118, 129.390227
3, 15.489781, 129.117382
4, 12.212423, 163.767663
4, 12.297290, 162.637463
4, 12.206937, 163.841267
4, 12.292294, 162.703554
4, 12.342585, 162.040609
5, 9.442103, 211.817217
5, 9.405507, 212.641384
5, 9.333053, 214.292150
5, 9.339715, 214.139305
5, 9.424523, 212.212340
6, 7.991557, 250.264121
6, 7.996704, 250.103037
6, 7.966836, 251.040704
6, 7.968511, 250.987905
6, 7.981273, 250.586594
7, 6.627006, 301.795401
7, 6.624047, 301.930217
7, 6.676289, 299.567621
7, 6.614448, 302.368397
7, 6.621563, 302.043485
8, 6.059241, 330.074368
8, 6.105904, 327.551848
8, 6.142229, 325.614672
8, 6.099875, 327.875562
8, 6.143413, 325.551917
9, 5.170766, 386.789876
9, 5.196229, 384.894529
9, 5.191048, 385.278678
9, 5.202179, 384.454280
9, 5.223762, 382.865854
10, 4.739746, 421.963541
10, 4.801838, 416.507193
10, 4.757804, 420.361962
10, 4.806360, 416.115331
10, 4.783247, 418.126017
11, 4.254598, 470.079691
11, 4.308067, 464.245331
11, 4.242265, 471.446280
11, 4.250868, 470.492104
11, 4.311968, 463.825339
12, 4.200043, 476.185590
12, 4.200887, 476.089951
12, 4.181233, 478.327796
12, 4.188956, 477.445941
12, 4.191572, 477.147943
13, 3.715035, 538.352889
13, 3.732198, 535.877272
13, 3.765116, 531.192073
13, 3.777475, 529.454146
13, 3.772353, 530.173099
14, 3.467764, 576.740577
14, 3.483498, 574.135563
14, 3.487302, 573.509317
14, 3.408262, 586.809398
14, 3.494046, 572.402249
15, 3.378906, 591.907614
15, 3.324680, 601.561567
15, 3.296976, 606.616497
15, 3.399814, 588.267448
15, 3.372972, 592.948869
16, 3.452697, 579.257240
16, 3.456690, 578.588223
16, 3.474341, 575.648751
16, 3.488840, 573.256406
16, 3.471743, 576.079476
17, 3.409475, 586.600521
17, 3.369444, 593.569775
17, 3.367726, 593.872593
17, 3.428211, 583.394589
17, 3.369928, 593.484500
18, 3.346230, 597.687542
18, 3.374779, 592.631327
18, 3.341492, 598.535067
18, 3.353124, 596.458761
18, 3.358217, 595.554211
19, 3.238825, 617.507868
19, 3.226631, 619.841656
19, 3.238430, 617.583282
19, 3.248679, 615.634830
19, 3.268163, 611.964633
20, 3.602330, 555.196147
20, 3.605246, 554.747164
20, 3.609267, 554.129079
20, 3.636296, 550.010299
20, 3.646597, 548.456559
21, 3.559200, 561.924088
21, 3.570160, 560.198971
21, 3.536184, 565.581434
21, 3.587957, 557.420253
21, 3.562351, 561.426985
22, 3.485172, 573.859781
22, 3.448040, 580.039717
22, 3.438023, 581.729688
22, 3.465852, 577.058669
22, 3.412724, 586.042043
23, 3.485684, 573.775478
23, 3.527718, 566.938689
23, 3.527609, 566.956329
23, 3.519300, 568.294752
23, 3.503890, 570.794197
24, 3.467502, 576.784056
24, 3.491344, 572.845366
24, 3.535097, 565.755325
24, 3.533946, 565.939587
24, 3.590576, 557.013741
25, 3.590760, 556.985074
25, 3.581733, 558.388950
25, 3.534939, 565.780675
25, 3.571864, 559.931780
25, 3.571203, 560.035305
26, 3.489492, 573.149274
26, 3.443069, 580.877156
26, 3.431953, 582.758612
26, 3.452673, 579.261353
26, 3.510349, 569.743986
27, 3.595213, 556.295255
27, 3.601016, 555.398882
27, 3.606114, 554.613656
27, 3.591828, 556.819537
27, 3.577731, 559.013496
