Cores, Execution Time, GFLOPs
1, 42.420742, 47.146747
1, 42.582289, 46.967884
1, 42.540083, 47.014483
1, 42.539766, 47.014833
1, 42.562831, 46.989356
2, 21.879145, 91.411250
2, 21.683156, 92.237497
2, 21.591108, 92.630727
2, 21.819155, 91.662576
2, 21.678320, 92.258071
3, 14.380897, 139.073382
3, 14.444916, 138.457018
3, 14.518211, 137.758016
3, 14.506768, 137.866680
3, 14.509996, 137.836017
4, 10.750040, 186.045824
4, 10.814303, 184.940263
4, 10.750161, 186.043727
4, 10.808682, 185.036434
4, 10.821461, 184.817923
5, 8.524199, 234.626148
5, 8.518355, 234.787120
5, 8.549991, 233.918380
5, 8.530180, 234.461653
5, 8.508988, 235.045576
6, 7.216731, 277.133787
6, 7.242315, 276.154801
6, 7.203213, 277.653867
6, 7.238324, 276.307042
6, 7.210706, 277.365365
7, 6.218074, 321.642985
7, 6.205453, 322.297181
7, 6.190303, 323.085981
7, 6.190882, 323.055740
7, 6.190959, 323.051751
8, 5.446276, 367.223371
8, 5.442507, 367.477692
8, 5.437567, 367.811526
8, 5.464816, 365.977571
8, 5.454860, 366.645523
9, 4.898640, 408.276547
9, 4.882220, 409.649697
9, 4.892482, 408.790470
9, 4.893284, 408.723467
9, 4.905089, 407.739761
10, 4.346767, 460.112091
10, 4.354598, 459.284652
10, 4.343585, 460.449135
10, 4.362163, 458.488192
10, 4.356252, 459.110313
11, 4.081894, 489.968665
11, 4.077642, 490.479530
11, 4.090657, 488.918962
11, 4.083544, 489.770699
11, 4.075480, 490.739784
12, 3.681754, 543.219361
12, 3.684645, 542.793137
12, 3.686605, 542.504619
12, 3.693327, 541.517151
12, 3.684191, 542.860002
13, 3.438560, 581.638857
13, 3.429518, 583.172363
13, 3.431943, 582.760227
13, 3.436106, 582.054194
13, 3.432648, 582.640525
14, 3.325217, 601.464570
14, 3.330405, 600.527625
14, 3.338909, 598.998023
14, 3.318172, 602.741432
14, 3.330338, 600.539555
15, 3.149034, 635.115476
15, 3.135645, 637.827366
15, 3.160896, 632.731898
15, 3.152623, 634.392462
15, 3.167983, 631.316588
16, 2.901362, 689.331444
16, 2.877277, 695.101645
16, 2.887986, 692.524126
16, 2.893826, 691.126529
16, 2.882822, 693.764700
17, 2.870190, 696.818051
17, 2.860576, 699.159889
17, 2.872222, 696.324955
17, 2.876067, 695.394084
17, 2.864797, 698.129644
18, 2.760502, 724.506001
18, 2.754654, 726.043942
18, 2.768167, 722.499747
18, 2.759575, 724.749152
18, 2.758757, 724.964211
19, 2.704889, 739.401822
19, 2.712604, 737.298999
19, 2.706320, 739.011030
19, 2.771788, 721.555871
19, 2.711109, 737.705465
20, 2.408890, 830.257931
20, 2.416961, 827.485342
20, 2.402999, 832.293421
20, 2.405049, 831.583905
20, 2.402951, 832.310071
21, 2.417589, 827.270530
21, 2.412857, 828.893002
21, 2.428235, 823.643365
21, 2.436505, 820.847746
21, 2.434034, 821.681050
22, 2.366354, 845.182255
22, 2.373107, 842.777100
22, 2.370206, 843.808588
22, 2.374342, 842.338632
22, 2.371554, 843.328774
23, 2.295089, 871.426037
23, 2.290797, 873.058478
23, 2.289304, 873.628129
23, 2.298744, 870.040270
23, 2.298851, 869.999895
24, 2.269291, 881.332507
24, 2.261863, 884.226796
24, 2.259077, 885.317283
24, 2.260537, 884.745689
24, 2.264636, 883.144268
25, 2.264860, 883.056952
25, 2.270452, 880.881944
25, 2.259575, 885.122326
25, 2.256420, 886.359825
25, 2.258117, 885.693668
26, 2.258215, 885.655204
26, 2.259664, 885.087145
26, 2.255925, 886.554206
26, 2.267697, 881.951948
26, 2.248530, 889.470043
27, 2.250396, 888.732286
27, 2.265146, 882.945381
27, 2.252891, 887.748138
27, 2.250070, 888.861351
27, 2.250257, 888.787528
28, 2.234867, 894.907688
28, 2.228899, 897.304163
28, 2.215079, 902.902368
28, 2.241642, 892.203069
28, 2.213925, 903.373013
29, 2.249547, 889.067772
29, 2.168765, 922.183901
29, 2.242984, 891.669372
29, 2.263750, 883.489661
29, 2.263017, 883.776091
30, 2.283781, 875.740690
30, 2.291659, 872.730216
30, 2.207414, 906.037455
30, 2.195659, 910.888432
30, 2.206748, 906.311132
31, 2.184758, 915.433251
31, 2.246953, 890.094424
31, 2.217039, 902.104206
31, 2.238626, 893.405284
31, 2.242894, 891.705127
32, 2.249524, 889.077035
32, 2.253183, 887.633010
32, 2.250235, 888.796013
32, 2.244544, 891.049652
32, 2.255582, 886.688948
33, 2.269676, 881.182865
33, 2.271932, 880.308189
33, 2.251478, 888.305210
33, 2.269125, 881.397062
33, 2.262622, 883.930420
34, 2.282229, 876.336086
34, 2.251812, 888.173473
34, 2.277459, 878.171832
34, 2.279988, 877.197452
34, 2.252639, 887.847576
35, 2.307743, 866.647489
35, 2.272880, 879.940818
35, 2.271374, 880.524459
35, 2.307311, 866.809785
35, 2.266294, 882.498112
