Cores, Execution Time, GFLOPs
1, 42.266321, 47.318998
1, 42.513287, 47.044116
1, 42.535917, 47.019088
1, 42.475960, 47.085457
1, 42.293933, 47.288106
2, 22.571310, 88.608060
2, 22.794452, 87.740647
2, 22.772444, 87.825446
2, 22.699035, 88.109473
2, 22.379688, 89.366752
3, 15.377197, 130.062719
3, 15.344487, 130.339973
3, 15.260206, 131.059826
3, 15.278126, 130.906110
3, 15.083993, 132.590890
4, 11.148313, 179.399339
4, 11.187515, 178.770718
4, 11.184815, 178.813858
4, 11.222156, 178.218870
4, 11.218287, 178.280340
5, 8.975648, 222.825134
5, 8.906808, 224.547339
5, 8.961091, 223.187102
5, 8.984159, 222.614060
5, 8.892589, 224.906376
6, 7.567002, 264.305479
6, 7.576671, 263.968178
6, 7.555909, 264.693514
6, 7.561766, 264.488489
6, 7.597955, 263.228714
7, 6.501982, 307.598495
7, 6.491491, 308.095628
7, 6.498103, 307.782148
7, 6.483892, 308.456720
7, 6.508308, 307.299512
8, 5.670511, 352.701875
8, 5.674494, 352.454358
8, 5.666558, 352.947968
8, 5.658765, 353.433989
8, 5.665179, 353.033878
9, 5.147556, 388.533896
9, 5.142019, 388.952280
9, 5.141697, 388.976657
9, 5.153092, 388.116510
9, 5.143845, 388.814197
10, 4.573854, 437.267978
10, 4.575400, 437.120242
10, 4.570760, 437.563972
10, 4.573336, 437.317564
10, 4.565451, 438.072855
11, 4.279967, 467.293355
11, 4.271013, 468.272970
11, 4.269166, 468.475597
11, 4.271998, 468.165001
11, 4.280113, 467.277363
12, 3.855068, 518.797606
12, 3.843310, 520.384743
12, 3.853880, 518.957539
12, 3.846932, 519.894862
12, 3.844192, 520.265331
13, 3.613386, 553.497492
13, 3.625609, 551.631448
13, 3.596395, 556.112415
13, 3.581522, 558.421750
13, 3.582564, 558.259389
14, 3.475246, 575.498844
14, 3.460031, 578.029514
14, 3.488590, 573.297489
14, 3.474959, 575.546296
14, 3.472026, 576.032528
15, 3.271873, 611.270750
15, 3.314837, 603.347963
15, 3.333398, 599.988358
15, 3.312815, 603.716215
15, 3.328194, 600.926530
16, 2.982525, 670.572780
16, 3.023803, 661.418676
16, 3.048338, 656.095313
16, 3.039846, 657.928006
16, 2.990666, 668.747279
17, 3.000781, 666.493214
17, 3.006646, 665.193059
17, 2.995876, 667.584324
17, 3.006571, 665.209651
17, 2.965023, 674.530926
18, 2.987446, 669.468211
18, 2.945193, 679.072696
18, 2.930430, 682.493630
18, 2.946476, 678.777023
18, 2.941644, 679.891813
19, 2.879242, 694.627301
19, 2.891106, 691.776842
19, 2.883005, 693.720707
19, 2.895794, 690.656972
19, 2.827972, 707.220679
20, 2.659671, 751.972713
20, 2.668222, 749.562704
20, 2.652328, 754.054425
20, 2.656680, 752.819346
20, 2.675635, 747.486093
21, 2.670414, 748.947453
