Size, Execution Time, GFLOPs
2000, 0.025731, 621.817001
2000, 0.024601, 650.388024
2000, 0.024659, 648.841925
2000, 0.024736, 646.826268
2000, 0.025553, 626.161628
2500, 0.037923, 824.042659
2500, 0.037941, 823.655122
2500, 0.038037, 821.579121
2500, 0.038265, 816.670255
2500, 0.039041, 800.431644
3000, 0.056202, 960.822601
3000, 0.056416, 957.167652
3000, 0.056595, 954.144959
3000, 0.055111, 979.833147
3000, 0.055466, 973.570938
3500, 0.080707, 1062.488933
3500, 0.080028, 1071.502840
3500, 0.080327, 1067.509566
3500, 0.082931, 1033.987850
3500, 0.082286, 1042.100647
4000, 0.130753, 978.945034
4000, 0.131152, 975.966296
4000, 0.131652, 972.258082
4000, 0.128653, 994.927711
4000, 0.128802, 993.774685
4500, 0.222091, 820.607859
4500, 0.218659, 833.489242
4500, 0.223326, 816.072373
4500, 0.220872, 825.137825
4500, 0.221759, 821.839656
5000, 0.334335, 747.753628
5000, 0.336872, 742.122373
5000, 0.333156, 750.398395
5000, 0.333806, 748.937028
5000, 0.325616, 767.775431
5500, 0.456928, 728.232318
5500, 0.461674, 720.746455
5500, 0.465031, 715.544123
5500, 0.465672, 714.558240
5500, 0.466129, 713.858754
6000, 0.580313, 744.426485
6000, 0.598692, 721.573132
6000, 0.587336, 735.524449
6000, 0.600084, 719.899693
6000, 0.586308, 736.813795
6500, 0.738184, 744.055495
6500, 0.744128, 738.112735
6500, 0.756799, 725.754040
6500, 0.743649, 738.587402
6500, 0.756302, 726.230616
7000, 0.896499, 765.199045
7000, 0.894208, 767.159215
7000, 0.896788, 764.952295
7000, 0.894690, 766.746241
7000, 0.887035, 773.362880
7500, 1.067043, 790.736278
7500, 1.064010, 792.990331
7500, 1.060419, 795.676224
7500, 1.068255, 789.839680
7500, 1.066203, 791.359578
8000, 1.285813, 796.383590
8000, 1.277155, 801.782154
8000, 1.278985, 800.634808
8000, 1.287136, 795.564726
8000, 1.275259, 802.974175
8500, 1.540651, 797.228128
8500, 1.542091, 796.483252
8500, 1.542698, 796.170132
8500, 1.543860, 795.570605
8500, 1.556497, 789.111740
9000, 1.796605, 811.530755
9000, 1.797013, 811.346463
9000, 1.770250, 823.612453
9000, 1.772732, 822.459417
9000, 1.779105, 819.513278
9500, 2.070626, 828.131048
9500, 2.097281, 817.606364
9500, 2.108393, 813.297250
9500, 2.078754, 824.893138
9500, 2.096751, 817.812736
10000, 2.378170, 840.982722
10000, 2.434084, 821.664436
10000, 2.420366, 826.321170
10000, 2.405693, 831.361124
10000, 2.411538, 829.346198
10500, 2.782528, 832.067018
10500, 2.806760, 824.883543
10500, 2.765912, 837.065667
10500, 2.773943, 834.642334
10500, 2.746773, 842.898164
11000, 3.746636, 710.504037
11000, 3.744189, 710.968354
11000, 3.940943, 675.472894
11000, 3.797011, 701.077809
11000, 3.745536, 710.712662
11500, 2.988102, 1017.953822
11500, 3.647423, 833.944967
11500, 3.609202, 842.776268
11500, 3.648930, 833.600495
11500, 3.535019, 860.462018
12000, 3.993249, 865.460596
12000, 3.939394, 877.292293
12000, 3.909170, 884.075136
12000, 3.942070, 876.696796
12000, 3.990662, 866.021675
12500, 4.478404, 872.241567
12500, 4.467294, 874.410689
12500, 4.463936, 875.068465
12500, 4.437587, 880.264455
12500, 4.386791, 890.457233
13000, 4.798603, 915.683188
13000, 4.898390, 897.029494
13000, 4.980594, 882.224098
13000, 4.353644, 1009.269452
13000, 4.926706, 891.873783
13500, 5.576354, 882.431499
13500, 5.497504, 895.088060
13500, 5.501570, 894.426548
13500, 5.620530, 875.495756
13500, 5.499080, 894.831475
14000, 6.038642, 908.813590
14000, 6.058850, 905.782472
14000, 6.221547, 882.095749
14000, 6.214850, 883.046251
14000, 6.061088, 905.447965
14500, 6.904781, 883.047500
14500, 6.452864, 944.890502
14500, 6.857888, 889.085703
14500, 6.874166, 886.980303
14500, 6.874468, 886.941389
15000, 7.567266, 891.999798
15000, 6.496706, 1038.988116
15000, 7.557110, 893.198578
15000, 7.535229, 895.792267
15000, 7.530562, 896.347465
15500, 8.098049, 919.696798
15500, 7.211725, 1032.727970
15500, 7.217994, 1031.830978
15500, 7.204650, 1033.742145
15500, 7.227597, 1030.460054
16000, 7.705991, 1063.068960
16000, 8.842953, 926.387342
16000, 7.699668, 1063.941912
16000, 7.681769, 1066.420980
16000, 7.707163, 1062.907290
16500, 8.332515, 1078.215873
16500, 8.323015, 1079.446535
16500, 9.765018, 920.044374
16500, 9.628765, 933.063574
16500, 8.299344, 1082.525290
17000, 8.938473, 1099.292960
17000, 10.154350, 967.664137
17000, 10.906871, 900.899999
17000, 10.086888, 974.135907
17000, 8.692977, 1130.337737
17500, 10.483284, 1022.461102
17500, 11.660787, 919.213286
17500, 10.472218, 1023.541572
17500, 10.494220, 1021.395588
17500, 10.522007, 1018.698243
18000, 11.013888, 1059.026546
18000, 12.527599, 931.064305
18000, 12.524270, 931.311758
18000, 12.561007, 928.587967
18000, 11.053811, 1055.201694
18500, 13.565020, 933.522405
18500, 10.575580, 1197.404779
18500, 13.523167, 936.411567
18500, 13.716936, 923.183565
18500, 13.574078, 932.899473
19000, 14.674860, 934.795998
19000, 15.065612, 910.550477
19000, 14.699636, 933.220376
19000, 12.692772, 1080.772586
19000, 14.092087, 973.454078
19500, 16.193991, 915.756318
19500, 16.206083, 915.073044
19500, 16.100940, 921.048687
19500, 14.369013, 1032.064634
19500, 15.012863, 987.802895
20000, 15.990563, 1000.590178
20000, 16.034154, 997.869914
20000, 17.332336, 923.130013
20000, 17.447262, 917.049343
20000, 16.657190, 960.546172
