Size, Execution Time, GFLOPs
2000, 0.033328, 480.074277
2000, 0.036624, 436.868645
2000, 0.036302, 440.747722
2000, 0.036183, 442.190941
2000, 0.036449, 438.974336
2500, 0.051996, 601.004487
2500, 0.052343, 597.020104
2500, 0.055399, 564.086051
2500, 0.053171, 587.722524
2500, 0.053483, 584.293630
3000, 0.075913, 711.344840
3000, 0.077022, 701.101300
3000, 0.074721, 722.684600
3000, 0.075209, 717.999577
3000, 0.079004, 683.509436
3500, 0.100966, 849.298940
3500, 0.105869, 809.962201
3500, 0.103781, 826.255718
3500, 0.107370, 798.642723
3500, 0.104709, 818.939192
4000, 0.135367, 945.574672
4000, 0.134208, 953.742455
4000, 0.127442, 1004.376027
4000, 0.130779, 978.751481
4000, 0.131733, 971.658778
4500, 0.181667, 1003.207550
4500, 0.168723, 1080.175427
4500, 0.177609, 1026.131819
4500, 0.169752, 1073.627368
4500, 0.178502, 1020.994550
5000, 0.219387, 1139.539762
5000, 0.227594, 1098.444928
5000, 0.225009, 1111.066199
5000, 0.232245, 1076.450301
5000, 0.220797, 1132.263079
5500, 0.327437, 1016.225538
5500, 0.327208, 1016.938566
5500, 0.327522, 1015.962370
5500, 0.333073, 999.029952
5500, 0.335017, 993.232631
6000, 0.444393, 972.112535
6000, 0.431505, 1001.147220
6000, 0.434751, 993.671424
6000, 0.435496, 991.973504
6000, 0.437262, 987.966893
6500, 0.631146, 870.242786
6500, 0.621534, 883.700609
6500, 0.623984, 880.231520
6500, 0.614066, 894.448386
6500, 0.635987, 863.618353
7000, 0.858322, 799.233921
7000, 0.857742, 799.773933
7000, 0.846009, 810.866212
7000, 0.847444, 809.493488
7000, 0.852305, 804.876416
7500, 1.089287, 774.589358
7500, 1.103141, 764.861084
7500, 1.098979, 767.757877
7500, 1.090033, 774.059149
7500, 1.093004, 771.955140
8000, 1.361669, 752.018354
8000, 1.355540, 755.418559
8000, 1.359715, 753.099077
8000, 1.369460, 747.740065
8000, 1.364299, 750.568544
8500, 1.633986, 751.689526
8500, 1.629124, 753.932644
8500, 1.630993, 753.068948
8500, 1.630358, 753.362153
8500, 1.635518, 750.985134
9000, 1.897716, 768.291791
9000, 1.910761, 763.046768
9000, 1.908060, 764.127113
9000, 1.908108, 764.107839
9000, 1.903010, 766.154589
9500, 2.199546, 779.592862
9500, 2.195967, 780.863281
9500, 2.197214, 780.420216
9500, 2.193238, 781.835062
9500, 2.198036, 780.128134
10000, 2.511417, 796.363079
10000, 2.508813, 797.189830
10000, 2.508363, 797.332783
10000, 2.511063, 796.475478
10000, 2.513116, 795.824647
10500, 2.856294, 810.578400
10500, 2.873466, 805.734355
10500, 2.872503, 806.004416
10500, 2.867100, 807.523178
10500, 2.849041, 812.641771
11000, 4.341669, 613.128261
11000, 4.340647, 613.272639
11000, 4.315471, 616.850457
11000, 4.280316, 621.916747
11000, 4.299347, 619.163820
11500, 3.603386, 844.136596
11500, 3.621166, 839.991822
11500, 3.609938, 842.604544
11500, 3.625800, 838.918373
11500, 3.621670, 839.874911
12000, 4.031300, 857.291620
12000, 4.022250, 859.220575
12000, 4.033246, 856.878008
12000, 4.025828, 858.456962
12000, 4.019487, 859.811247
12500, 4.492927, 869.422056
12500, 4.492011, 869.599408
12500, 4.507585, 866.594887
12500, 4.507334, 866.643097
12500, 4.498113, 868.419731
13000, 4.933954, 890.563577
13000, 4.921390, 892.837256
13000, 4.933343, 890.673958
13000, 4.940998, 889.294024
13000, 4.943616, 888.823160
13500, 5.747702, 856.124824
13500, 5.573219, 882.927858
13500, 5.967647, 824.571259
13500, 5.600756, 878.586761
13500, 5.639280, 872.584766
14000, 6.345119, 864.916813
14000, 6.203190, 884.706136
14000, 6.371039, 861.397924
14000, 6.231081, 880.746118
14000, 6.199619, 885.215691
14500, 7.070973, 862.292986
14500, 7.031167, 867.174683
14500, 7.038973, 866.213056
14500, 7.040082, 866.076549
14500, 7.052010, 864.611686
15000, 7.734137, 872.754126
15000, 7.776787, 867.967670
15000, 7.738181, 872.297976
15000, 7.743993, 871.643323
15000, 7.749788, 870.991616
15500, 8.342794, 892.716484
15500, 7.021669, 1060.680890
15500, 7.029338, 1059.523728
15500, 7.409316, 1005.187261
15500, 7.039511, 1057.992456
16000, 7.878735, 1039.760776
16000, 7.959951, 1029.152100
16000, 7.165134, 1143.314318
16000, 7.172172, 1142.192308
16000, 7.505239, 1091.504185
16500, 8.828719, 1017.616490
16500, 9.996182, 898.768180
16500, 10.022538, 896.404651
16500, 10.033750, 895.403055
16500, 10.046303, 894.284224
17000, 8.703059, 1129.028336
17000, 8.646744, 1136.381468
17000, 8.750588, 1122.896008
17000, 8.731024, 1125.412137
17000, 8.419394, 1167.067312
17500, 10.819166, 990.718686
17500, 10.840321, 988.785337
17500, 10.902185, 983.174511
17500, 10.966169, 977.437993
17500, 12.041113, 890.179308
18000, 11.534861, 1011.195550
18000, 13.102512, 890.211005
18000, 11.568482, 1008.256725
18000, 11.543949, 1010.399439
18000, 13.102449, 890.215286
18500, 13.934164, 908.791534
18500, 11.299584, 1120.682827
18500, 13.979886, 905.819234
18500, 13.965937, 906.723975
18500, 13.921668, 909.607246
19000, 15.003523, 914.318588
19000, 15.126503, 906.885102
19000, 15.015584, 913.584190
19000, 15.002191, 914.399785
19000, 15.001817, 914.422571
19500, 16.245944, 912.827864
19500, 16.538286, 896.692079
19500, 16.472569, 900.269405
19500, 16.550935, 896.006756
19500, 16.476627, 900.047664
20000, 17.701835, 903.861119
20000, 17.133469, 933.844729
20000, 16.492308, 970.149212
20000, 17.022303, 939.943319
20000, 17.703466, 903.777828
