Size, Execution Time, GFLOPs
2000, 0.037975, 421.325029
2000, 0.036202, 441.969672
2000, 0.038119, 419.739267
2000, 0.035615, 449.246805
2000, 0.036999, 432.446949
2500, 0.053926, 579.502398
2500, 0.053029, 589.303417
2500, 0.053466, 584.480514
2500, 0.053197, 587.436513
2500, 0.052931, 590.390059
3000, 0.073109, 738.623899
3000, 0.077112, 700.276307
3000, 0.073590, 733.799650
3000, 0.078475, 688.118401
3000, 0.075734, 713.022956
3500, 0.118500, 723.627556
3500, 0.118594, 723.053123
3500, 0.117446, 730.123072
3500, 0.116525, 735.891981
3500, 0.112295, 763.611622
4000, 0.215167, 594.886046
4000, 0.204335, 626.421638
4000, 0.194191, 659.144275
4000, 0.197505, 648.083677
4000, 0.209386, 611.310475
4500, 0.290480, 627.410681
4500, 0.291700, 624.786081
4500, 0.282699, 644.678057
4500, 0.305036, 597.470382
4500, 0.290871, 626.566216
5000, 0.428645, 583.233297
5000, 0.427960, 584.166229
5000, 0.425128, 588.058633
5000, 0.424207, 589.335557
5000, 0.425066, 588.143737
5500, 0.588620, 565.305736
5500, 0.586512, 567.336937
5500, 0.585651, 568.170786
5500, 0.584700, 569.094862
5500, 0.584980, 568.822402
6000, 0.762429, 566.609837
6000, 0.775035, 557.393834
6000, 0.777340, 555.741615
6000, 0.760417, 568.109658
6000, 0.771879, 559.673442
6500, 0.968804, 566.936386
6500, 0.984989, 557.620346
6500, 0.972489, 564.787755
6500, 0.971044, 565.628137
6500, 0.984482, 557.907346
7000, 1.228685, 558.320262
7000, 1.228246, 558.519831
7000, 1.226176, 559.462990
7000, 1.228498, 558.405478
7000, 1.224782, 560.099615
7500, 1.510603, 558.551888
7500, 1.490878, 565.941795
7500, 1.498235, 563.162763
7500, 1.492170, 565.451807
7500, 1.497776, 563.335102
8000, 1.797828, 569.576278
8000, 1.795570, 570.292307
8000, 1.789318, 572.284994
8000, 1.796983, 569.843937
8000, 1.797006, 569.836753
8500, 2.060556, 596.076939
8500, 2.058273, 596.738111
8500, 2.148242, 571.746546
8500, 2.057577, 596.940005
8500, 2.039023, 602.371933
9000, 2.525826, 577.236929
9000, 2.533768, 575.427668
9000, 2.552220, 571.267352
9000, 2.542252, 573.507261
9000, 2.513018, 580.178791
9500, 3.000110, 571.562388
9500, 2.991828, 573.144575
9500, 2.989836, 573.526454
9500, 3.012519, 569.208027
9500, 2.995760, 572.392330
10000, 3.475145, 575.515613
10000, 3.475444, 575.466031
10000, 3.504118, 570.756957
10000, 3.461627, 577.762996
10000, 3.474915, 575.553713
10500, 3.964306, 584.023997
10500, 3.963652, 584.120470
10500, 3.141547, 736.977578
10500, 3.957881, 584.972115
10500, 3.967152, 583.605073
11000, 4.512381, 589.932476
11000, 4.557418, 584.102725
11000, 4.501930, 591.301982
11000, 4.490918, 592.751806
11000, 3.417026, 779.039941
11500, 4.975845, 611.303254
11500, 4.978790, 610.941611
11500, 4.980073, 610.784181
11500, 4.972098, 611.763935
11500, 4.995177, 608.937327
12000, 5.502272, 628.104190
12000, 5.521341, 625.934915
12000, 5.531339, 624.803520
12000, 4.121430, 838.543998
12000, 5.522761, 625.773942
12500, 6.220081, 628.006275
12500, 6.232855, 626.719237
12500, 6.177122, 632.373769
12500, 6.187484, 631.314747
12500, 6.221248, 627.888497
13000, 6.694434, 656.366164
13000, 6.693873, 656.421136
13000, 6.711173, 654.729105
13000, 6.711810, 654.666912
13000, 6.748920, 651.067110
13500, 8.296299, 593.125941
13500, 8.068595, 609.864513
13500, 8.280310, 594.271238
13500, 8.171069, 602.216185
13500, 8.224244, 598.322475
14000, 9.222126, 595.090530
14000, 9.133222, 600.883256
14000, 9.203379, 596.302722
14000, 9.190128, 597.162515
14000, 9.157326, 599.301554
14500, 9.964898, 611.872796
14500, 9.998499, 609.816520
14500, 9.114176, 668.985291
14500, 10.033174, 607.708959
14500, 10.204401, 597.511771
15000, 10.973046, 615.143709
15000, 8.229999, 820.170191
15000, 9.443216, 714.798825
15000, 8.159396, 827.267152
15000, 11.171393, 604.221864
15500, 10.499252, 709.360077
15500, 8.431721, 883.301307
15500, 8.593972, 866.624886
15500, 9.248373, 805.303839
15500, 8.729395, 853.180507
16000, 9.221300, 888.377952
16000, 13.614269, 601.721605
16000, 13.697629, 598.059718
16000, 9.136618, 896.611852
16000, 11.107509, 737.519079
16500, 9.906362, 906.917195
16500, 11.904819, 754.673389
16500, 14.990384, 599.334214
16500, 11.183202, 803.370076
16500, 10.608154, 846.919303
17000, 15.611958, 629.389361
17000, 15.751748, 623.803766
17000, 15.513418, 633.387175
17000, 15.737169, 624.381675
17000, 15.534651, 632.521453
17500, 15.978897, 670.806640
17500, 17.124006, 625.948726
17500, 17.365677, 617.237665
17500, 17.226215, 622.234788
17500, 16.013027, 669.376895
18000, 17.879319, 652.373846
18000, 18.478433, 631.222340
18000, 18.513306, 630.033350
18000, 18.515529, 629.957704
18000, 18.425364, 633.040423
18500, 20.381969, 621.296687
18500, 20.168579, 627.870207
18500, 19.546559, 647.850605
18500, 20.398547, 620.791771
18500, 20.247135, 625.434182
19000, 22.122073, 620.104635
19000, 21.700001, 632.165872
19000, 22.035307, 622.546344
19000, 21.889918, 626.681182
19000, 21.831136, 628.368596
19500, 22.840651, 649.270011
19500, 22.792215, 650.649805
19500, 17.065573, 868.986351
19500, 22.957281, 645.971540
19500, 22.865661, 648.559861
20000, 22.984421, 696.123688
20000, 18.976346, 843.154947
20000, 22.933511, 697.669019
20000, 22.900929, 698.661598
20000, 19.130608, 836.356047
