Size, Execution Time, GFLOPs
2000, 0.050290, 318.151970
2000, 0.057851, 276.571900
2000, 0.060080, 266.311616
2000, 0.054832, 291.800973
2000, 0.060299, 265.342726
2500, 0.083528, 374.125235
2500, 0.089473, 349.268302
2500, 0.087595, 356.754871
2500, 0.081282, 384.466226
2500, 0.079340, 393.875457
3000, 0.126216, 427.837497
3000, 0.127413, 423.819803
3000, 0.118562, 455.458661
3000, 0.135614, 398.190278
3000, 0.133617, 404.141580
3500, 0.158106, 542.358513
3500, 0.177004, 484.451880
3500, 0.188415, 455.112378
3500, 0.182023, 471.094077
3500, 0.174405, 491.671252
4000, 0.223360, 573.066570
4000, 0.239150, 535.228560
4000, 0.229583, 557.533014
4000, 0.242391, 528.071883
4000, 0.225085, 568.674064
4500, 0.298765, 610.011809
4500, 0.321834, 566.286478
4500, 0.296364, 614.953275
4500, 0.324803, 561.109982
4500, 0.327707, 556.136575
5000, 0.413369, 604.785946
5000, 0.405040, 617.223163
5000, 0.409113, 611.078176
5000, 0.391565, 638.463089
5000, 0.407289, 613.814345
5500, 0.496905, 669.645299
5500, 0.511086, 651.064281
5500, 0.521341, 638.257701
5500, 0.508001, 655.018192
5500, 0.491903, 676.453828
6000, 0.668854, 645.880657
6000, 0.656987, 657.546904
6000, 0.665867, 648.778450
6000, 0.664453, 650.158411
6000, 0.648745, 665.901453
6500, 0.870103, 631.246935
6500, 0.846222, 649.061430
6500, 0.860547, 638.257183
6500, 0.871361, 630.336007
6500, 0.869907, 631.389037
7000, 1.161299, 590.717863
7000, 1.106993, 619.696513
7000, 1.228977, 558.187824
7000, 1.110927, 617.502559
7000, 1.249497, 549.021120
7500, 1.455932, 579.525812
7500, 1.493273, 565.033955
7500, 1.384874, 609.261380
7500, 1.528951, 551.848988
7500, 1.405481, 600.328366
8000, 1.721701, 594.760676
8000, 1.781292, 574.863606
8000, 1.733201, 590.814190
8000, 1.738923, 588.870153
8000, 1.694368, 604.354966
8500, 2.120827, 579.137167
8500, 2.167630, 566.632664
8500, 2.127151, 577.415415
8500, 2.107563, 582.781994
8500, 2.149357, 571.449883
9000, 2.453405, 594.276097
9000, 2.467271, 590.936417
9000, 2.526458, 577.092423
9000, 2.484793, 586.769217
9000, 2.451592, 594.715585
9500, 3.037755, 564.479369
9500, 3.036269, 564.755625
9500, 3.065592, 559.353661
9500, 3.003042, 571.004333
9500, 2.995233, 572.493087
10000, 3.545764, 564.053389
10000, 3.497228, 571.881522
10000, 3.437591, 581.802712
10000, 3.474494, 575.623367
10000, 3.491255, 572.859982
10500, 3.978358, 581.961145
10500, 3.949067, 586.277687
10500, 3.994014, 579.680044
10500, 3.977787, 582.044765
10500, 3.967041, 583.621442
11000, 4.658151, 571.471357
11000, 4.664549, 570.687598
11000, 4.654029, 571.977523
11000, 4.637783, 573.981132
11000, 4.661980, 571.001976
11500, 5.218919, 582.831382
11500, 5.265427, 577.683454
11500, 5.224082, 582.255376
11500, 5.160995, 589.372738
11500, 5.270946, 577.078605
12000, 5.717317, 604.479300
12000, 4.100300, 842.865148
12000, 5.413255, 638.432846
12000, 5.678173, 608.646452
12000, 5.788420, 597.054081
12500, 6.444965, 606.093325
12500, 6.528535, 598.334885
12500, 6.559791, 595.483874
12500, 6.429047, 607.593951
12500, 6.520886, 599.036685
13000, 7.235175, 607.310819
13000, 6.701838, 655.641013
13000, 6.469513, 679.185564
13000, 6.632366, 662.508644
13000, 6.608119, 664.939610
13500, 7.872639, 625.044557
13500, 8.157632, 603.208133
13500, 7.906094, 622.399608
13500, 8.162819, 602.824845
13500, 8.195852, 600.395180
14000, 9.104430, 602.783499
14000, 9.060353, 605.715941
14000, 9.055862, 606.016296
14000, 9.436725, 581.557693
14000, 9.041461, 606.981541
14500, 10.502264, 580.565293
14500, 10.489148, 581.291249
14500, 10.555648, 577.629129
14500, 10.565103, 577.112206
14500, 10.400739, 586.232356
15000, 11.602486, 581.771895
15000, 11.631148, 580.338227
15000, 11.599177, 581.937824
15000, 11.633507, 580.220564
15000, 11.464906, 588.753212
15500, 9.990866, 745.455906
15500, 8.428862, 883.600889
15500, 9.174039, 811.828940
15500, 8.501546, 876.046518
15500, 8.527656, 873.364258
16000, 9.945581, 823.682362
16000, 10.685639, 766.636415
16000, 9.882251, 828.960948
16000, 9.808767, 835.171188
16000, 9.163925, 893.940107
16500, 14.903049, 602.846425
16500, 10.358695, 867.314813
16500, 15.458497, 581.185222
16500, 10.404869, 863.465935
16500, 10.374367, 866.004619
17000, 15.835821, 620.491997
17000, 15.721946, 624.986242
17000, 10.004869, 982.121852
17000, 15.617473, 629.167087
17000, 15.605452, 629.651728
17500, 16.087796, 666.265890
17500, 16.229135, 660.463417
17500, 17.665886, 606.748506
17500, 15.988087, 670.421046
17500, 15.918419, 673.355204
18000, 19.067028, 611.736658
18000, 19.257288, 605.692775
18000, 16.538742, 705.253165
18000, 16.497274, 707.025889
18000, 16.370121, 712.517626
18500, 21.878133, 578.808531
18500, 21.047531, 601.650144
18500, 20.722627, 611.083226
18500, 20.235431, 625.795901
18500, 20.580671, 615.298211
19000, 22.580916, 607.504155
19000, 23.794447, 576.521058
19000, 16.166484, 848.545677
19000, 22.719939, 603.786825
19000, 22.430412, 611.580376
19500, 25.740028, 576.135729
19500, 22.973131, 645.525867
19500, 25.602764, 579.224561
19500, 25.699625, 577.041486
19500, 26.046363, 569.359731
20000, 26.880737, 595.221784
20000, 20.698904, 772.987799
20000, 23.150177, 691.139425
20000, 27.335934, 585.310157
20000, 27.415270, 583.616361
