Size, Execution Time, GFLOPs
2000, 0.033987, 470.774357
2000, 0.033033, 484.358329
2000, 0.034618, 462.188062
2000, 0.034473, 464.129316
2000, 0.036234, 441.580184
2500, 0.052504, 595.198041
2500, 0.051904, 602.072849
2500, 0.055230, 565.814983
2500, 0.054070, 577.950570
2500, 0.053808, 580.770116
3000, 0.083931, 643.388298
3000, 0.079160, 682.159279
3000, 0.073773, 731.978179
3000, 0.075018, 719.826925
3000, 0.074888, 721.075556
3500, 0.112948, 759.197707
3500, 0.110326, 777.240069
3500, 0.110932, 772.995847
3500, 0.110398, 776.735093
3500, 0.111893, 766.358672
4000, 0.169476, 755.267182
4000, 0.166296, 769.712524
4000, 0.165371, 774.019119
4000, 0.167249, 765.327635
4000, 0.168353, 760.305324
4500, 0.263658, 691.237420
4500, 0.255029, 714.623471
4500, 0.266639, 683.508452
4500, 0.268700, 678.266360
4500, 0.264337, 689.461694
5000, 0.364359, 686.136419
5000, 0.384830, 649.637757
5000, 0.376001, 664.892529
5000, 0.393887, 634.699334
5000, 0.395709, 631.778061
5500, 0.493771, 673.895114
5500, 0.509214, 653.458397
5500, 0.495265, 671.862447
5500, 0.506754, 656.630123
5500, 0.502804, 661.788750
6000, 0.650907, 663.688928
6000, 0.631525, 684.058966
6000, 0.654529, 660.017067
6000, 0.628897, 686.917038
6000, 0.662368, 652.205436
6500, 0.778324, 705.682766
6500, 0.785961, 698.825857
6500, 0.760191, 722.515976
6500, 0.771871, 711.582433
6500, 0.804257, 682.928168
7000, 0.994069, 690.092974
7000, 0.990691, 692.446270
7000, 0.964917, 710.942092
7000, 0.955516, 717.936880
7000, 0.953400, 719.530029
7500, 1.123384, 751.078835
7500, 1.117237, 755.211563
7500, 1.117359, 755.128847
7500, 1.133589, 744.317315
7500, 1.112122, 758.685067
8000, 1.335636, 766.675951
8000, 1.341924, 763.083684
8000, 1.355974, 755.176799
8000, 1.326065, 772.209338
8000, 1.405822, 728.399586
8500, 1.573461, 780.603843
8500, 1.651935, 743.522109
8500, 1.576987, 778.858786
8500, 1.576055, 779.319474
8500, 1.551320, 791.745185
9000, 1.833535, 795.185140
9000, 1.872293, 778.724471
9000, 1.852058, 787.232232
9000, 1.892753, 770.306468
9000, 1.890524, 771.214747
9500, 2.137023, 802.401199
9500, 2.110389, 812.528011
9500, 2.116342, 810.242339
9500, 2.109199, 812.986271
9500, 2.101831, 815.836403
10000, 2.437195, 820.615434
10000, 2.448107, 816.957871
10000, 2.446462, 817.507041
10000, 2.428120, 823.682443
10000, 2.454333, 814.885390
10500, 2.886514, 802.091958
10500, 2.855220, 810.883334
10500, 2.813731, 822.839759
10500, 2.816170, 822.127130
10500, 2.962452, 781.531669
11000, 3.294644, 807.977953
11000, 3.216100, 827.710680
11000, 3.233521, 823.251141
11000, 3.186871, 835.302137
11000, 3.179601, 837.212025
11500, 3.601814, 844.505028
11500, 3.574262, 851.014895
11500, 3.470962, 876.342011
11500, 3.534677, 860.545310
11500, 3.587980, 847.761227
12000, 3.885829, 889.385405
12000, 3.935002, 878.271539
12000, 3.837798, 900.516394
12000, 3.200870, 1079.706419
12000, 3.979545, 868.440892
12500, 4.415395, 884.688692
12500, 4.441889, 879.411810
12500, 4.314977, 905.277136
12500, 4.371746, 893.521627
12500, 4.497160, 868.603775
13000, 4.793440, 916.669434
13000, 4.911557, 894.624620
13000, 4.851807, 905.641947
13000, 5.184190, 847.577027
13000, 4.743950, 926.232428
13500, 5.666450, 868.400809
13500, 5.708998, 861.928896
13500, 5.709421, 861.864910
13500, 5.667078, 868.304581
13500, 5.514607, 892.312038
14000, 6.442748, 851.810499
14000, 6.184539, 887.374200
14000, 6.130153, 895.246768
14000, 6.394128, 858.287479
14000, 6.567028, 835.690083
14500, 7.102770, 858.432650
14500, 6.810444, 895.279337
14500, 7.180211, 849.174215
14500, 7.133086, 854.784333
14500, 7.455181, 817.854097
15000, 7.951572, 848.888746
15000, 7.953153, 848.720004
15000, 8.490958, 794.963271
15000, 6.893428, 979.193513
15000, 7.611994, 886.758442
15500, 7.455024, 999.024339
15500, 7.231842, 1029.855194
15500, 6.897392, 1079.792117
15500, 7.151892, 1041.367821
15500, 7.377669, 1009.499112
16000, 7.988774, 1025.438952
16000, 8.009513, 1022.783774
16000, 8.079124, 1013.971304
16000, 7.868739, 1041.081681
16000, 7.056524, 1160.911526
16500, 8.263935, 1087.163722
16500, 8.117526, 1106.771910
16500, 8.686912, 1034.228307
16500, 8.074000, 1112.738487
16500, 8.255722, 1088.245257
17000, 10.720598, 916.553380
17000, 10.762048, 913.023241
17000, 10.729481, 915.794531
17000, 11.084228, 886.484800
17000, 11.152961, 881.021659
17500, 11.333713, 945.740379
17500, 11.347650, 944.578811
17500, 12.697906, 844.135261
17500, 11.242226, 953.436623
17500, 11.352239, 944.196989
18000, 12.226820, 953.968430
18000, 14.028576, 831.445746
18000, 13.933301, 837.131122
18000, 13.842731, 842.608285
18000, 13.868100, 841.066936
18500, 14.962357, 846.340610
18500, 14.922459, 848.603415
18500, 14.560860, 869.677341
18500, 14.911293, 849.238907
18500, 14.616945, 866.340423
19000, 16.078339, 853.197598
19000, 16.066006, 853.852514
19000, 16.240304, 844.688628
19000, 16.045541, 854.941578
19000, 16.114109, 851.303640
19500, 15.734712, 942.486243
19500, 17.218962, 861.245314
19500, 12.905919, 1149.065819
19500, 15.163382, 977.997510
19500, 15.198063, 975.765812
20000, 14.799543, 1081.114440
20000, 16.727606, 956.502665
20000, 15.680736, 1020.360264
20000, 18.558461, 862.140474
20000, 16.740808, 955.748358
