Size, Execution Time, GFLOPs
2000, 0.064811, 246.870534
2000, 0.065015, 246.096559
2000, 0.065367, 244.773283
2000, 0.071373, 224.172922
2000, 0.066447, 240.793672
2500, 0.110931, 281.707441
2500, 0.110913, 281.752123
2500, 0.111387, 280.552746
2500, 0.115092, 271.522330
2500, 0.113380, 275.622576
3000, 0.167536, 322.319653
3000, 0.167828, 321.758213
3000, 0.169234, 319.085266
3000, 0.172915, 312.291679
3000, 0.175705, 307.332485
3500, 0.246292, 348.163431
3500, 0.248349, 345.279953
3500, 0.247030, 347.123952
3500, 0.247067, 347.072219
3500, 0.250931, 341.727509
4000, 0.331693, 385.899239
4000, 0.328831, 389.258117
4000, 0.335271, 381.780155
4000, 0.335783, 381.198986
4000, 0.338291, 378.372724
4500, 0.468033, 389.395940
4500, 0.465874, 391.200027
4500, 0.468900, 388.675891
4500, 0.479073, 380.422192
4500, 0.477471, 381.698566
5000, 0.600422, 416.374042
5000, 0.599338, 417.127186
5000, 0.605804, 412.674919
5000, 0.604178, 413.785632
5000, 0.606531, 412.180351
5500, 0.839498, 396.367982
5500, 0.820850, 405.372363
5500, 0.802704, 414.536347
5500, 0.818085, 406.742724
5500, 0.824344, 403.654102
6000, 1.012445, 426.689670
6000, 1.030195, 419.338135
6000, 0.998717, 432.555175
6000, 0.997214, 433.206892
6000, 0.986821, 437.769373
6500, 1.277389, 429.978744
6500, 1.235306, 444.626841
6500, 1.245300, 441.058438
6500, 1.238712, 443.404118
6500, 1.251033, 439.037069
7000, 1.484615, 462.072792
7000, 1.461283, 469.450627
7000, 1.467263, 467.537240
7000, 1.475591, 464.898611
7000, 1.492447, 459.647695
7500, 1.739373, 485.088609
7500, 1.732377, 487.047499
7500, 1.724931, 489.149932
7500, 1.735721, 486.109149
7500, 1.749885, 482.174627
8000, 1.972968, 519.014896
8000, 1.958883, 522.746768
8000, 1.983086, 516.366947
8000, 1.979886, 517.201422
8000, 1.981879, 516.681264
8500, 2.288448, 536.717433
8500, 2.306159, 532.595487
8500, 2.305169, 532.824167
8500, 2.275772, 539.706861
8500, 2.298447, 534.382563
9000, 2.613116, 557.954518
9000, 2.600940, 560.566598
9000, 2.636236, 553.061254
9000, 2.611527, 558.294143
9000, 2.601563, 560.432330
9500, 2.932307, 584.778449
9500, 2.978310, 575.746012
9500, 2.957450, 579.806833
9500, 2.956325, 580.027629
9500, 2.952354, 580.807728
10000, 3.287828, 608.304416
10000, 3.318954, 602.599458
10000, 3.313109, 603.662678
10000, 3.374308, 592.714084
10000, 3.315599, 603.209263
10500, 3.611476, 641.081373
10500, 3.577915, 647.094833
10500, 3.660724, 632.456862
10500, 3.594883, 644.040492
10500, 3.705209, 624.863584
11000, 3.900486, 682.479126
11000, 3.849069, 691.595797
11000, 3.859229, 689.775105
11000, 3.876240, 686.748024
11000, 3.916309, 679.721627
11500, 4.287949, 709.371842
11500, 4.310414, 705.674708
11500, 4.254487, 714.951085
11500, 4.279101, 710.838587
11500, 4.288741, 709.240737
12000, 4.629861, 746.458726
12000, 4.634387, 745.729709
12000, 4.729710, 730.700172
12000, 4.595306, 752.071868
12000, 4.717503, 732.591019
12500, 5.118082, 763.225381
12500, 5.094089, 766.820101
12500, 5.060889, 771.850618
12500, 5.042303, 774.695633
12500, 5.163254, 756.548027
13000, 6.298967, 697.574681
13000, 5.469265, 803.398681
13000, 5.497979, 799.202781
13000, 3.634300, 1209.036136
13000, 3.558658, 1234.735264
13500, 7.026067, 700.356275
13500, 6.954303, 707.583522
13500, 6.961883, 706.813079
13500, 7.004428, 702.519884
13500, 7.004744, 702.488234
14000, 7.702524, 712.493700
14000, 7.658176, 716.619699
14000, 7.791101, 704.393370
14000, 7.739395, 709.099400
14000, 7.717323, 711.127405
14500, 8.365645, 728.844008
14500, 8.345649, 730.590296
14500, 8.303922, 734.261483
14500, 8.315483, 733.240644
14500, 8.400903, 725.785066
15000, 9.101008, 741.676086
15000, 9.129164, 739.388663
15000, 9.207402, 733.105816
15000, 9.171571, 735.969850
15000, 9.188967, 734.576559
15500, 7.230939, 1029.983800
15500, 6.303026, 1181.614910
15500, 6.637710, 1122.036032
15500, 9.962271, 747.595610
15500, 7.220438, 1031.481691
16000, 7.665766, 1068.647342
16000, 7.690204, 1065.251383
16000, 7.211307, 1135.993743
16000, 11.088184, 738.804471
16000, 7.685270, 1065.935200
16500, 8.673332, 1035.847528
16500, 8.774550, 1023.898659
16500, 10.534248, 852.861070
16500, 8.686714, 1034.251814
16500, 8.943064, 1004.605403
17000, 8.718896, 1126.977513
17000, 9.402899, 1044.996852
17000, 8.955072, 1097.255330
17000, 8.725200, 1126.163296
17000, 11.821081, 831.226841
17500, 9.887715, 1084.047200
17500, 12.563277, 853.181029
17500, 9.866938, 1086.329891
17500, 12.566028, 852.994302
17500, 13.281298, 807.055899
18000, 13.115702, 889.315696
18000, 13.310308, 876.313329
18000, 15.119915, 771.432898
18000, 13.152145, 886.851540
18000, 12.938073, 901.525310
18500, 16.397907, 772.247949
18500, 16.470666, 768.836569
18500, 16.235710, 779.962821
18500, 13.698184, 924.447387
18500, 16.270459, 778.297020
19000, 14.277235, 960.830332
19000, 16.921086, 810.704449
19000, 14.494172, 946.449377
19000, 14.044991, 976.718319
19000, 17.315173, 792.253121
19500, 18.608296, 796.942917
19500, 18.536812, 800.016211
19500, 18.236585, 813.186804
19500, 18.137781, 817.616548
19500, 12.430560, 1193.007394
20000, 19.936657, 802.541779
20000, 20.142198, 794.352252
20000, 20.227923, 790.985808
20000, 15.626431, 1023.906252
20000, 19.964317, 801.429868
