Cores, Execution Time, GFLOPs
1, 20.520024, 97.465773
1, 20.634845, 96.923434
1, 20.640042, 96.899026
1, 20.531957, 97.409126
1, 20.665533, 96.779502
2, 10.487248, 190.707805
2, 10.472715, 190.972447
2, 10.455360, 191.289446
2, 10.430185, 191.751152
2, 10.503159, 190.418897
3, 7.016816, 285.029550
3, 7.006433, 285.451943
3, 7.017410, 285.005425
3, 6.995108, 285.914085
3, 7.015190, 285.095617
4, 5.435450, 367.954810
4, 5.382794, 371.554247
4, 5.405723, 369.978253
4, 5.413694, 369.433504
4, 5.411402, 369.589968
5, 4.247545, 470.860257
5, 4.262541, 469.203750
5, 4.240102, 471.686731
5, 4.229568, 472.861557
5, 4.244045, 471.248559
6, 3.705840, 539.688648
6, 3.676331, 544.020718
6, 3.686200, 542.564180
6, 3.670692, 544.856359
6, 3.692706, 541.608226
7, 3.038111, 658.303761
7, 3.049640, 655.815036
7, 3.047616, 656.250626
7, 3.043460, 657.146891
7, 3.052593, 655.180795
8, 2.703363, 739.819142
8, 2.715846, 736.418848
8, 2.705860, 739.136602
8, 2.716751, 736.173334
8, 2.702195, 740.139112
9, 2.501467, 799.530944
9, 2.501901, 799.392190
9, 2.495907, 801.311905
9, 2.486658, 804.292439
9, 2.476383, 807.629434
10, 2.364479, 845.852425
10, 2.362638, 846.511362
10, 2.365239, 845.580404
10, 2.361592, 846.886251
10, 2.380395, 840.196575
11, 2.139506, 934.795299
11, 2.130392, 938.794264
11, 2.134172, 937.131694
11, 2.125321, 941.034464
11, 2.132062, 938.058985
12, 1.903404, 1050.749002
12, 1.917242, 1043.165216
12, 1.898607, 1053.403684
12, 1.901169, 1051.984311
12, 1.908542, 1047.920418
13, 1.907298, 1048.603956
13, 1.906694, 1048.936100
13, 1.934847, 1033.673641
13, 1.909521, 1047.382888
13, 1.908416, 1047.989334
14, 1.792185, 1115.956254
14, 1.783811, 1121.195296
14, 1.792888, 1115.518639
14, 1.794137, 1114.741949
14, 1.789276, 1117.770408
15, 1.657556, 1206.595690
15, 1.650440, 1211.797704
15, 1.630037, 1226.965963
15, 1.631416, 1225.928922
15, 1.656448, 1207.402493
16, 1.508270, 1326.022112
16, 1.505621, 1328.355424
16, 1.506641, 1327.456506
16, 1.508070, 1326.198310
16, 1.501816, 1331.720850
17, 1.505157, 1328.765058
17, 1.505624, 1328.353185
17, 1.504253, 1329.563660
17, 1.509254, 1325.158035
17, 1.509259, 1325.153776
18, 1.431447, 1397.187407
18, 1.411133, 1417.300798
18, 1.408566, 1419.883831
18, 1.411872, 1416.559277
18, 1.402322, 1426.206029
19, 1.423467, 1405.020526
19, 1.424164, 1404.332315
19, 1.445967, 1383.157544
19, 1.414515, 1413.912594
19, 1.414562, 1413.864818
20, 1.300578, 1537.777384
20, 1.299506, 1539.045966
20, 1.300106, 1538.336652
20, 1.297519, 1541.403612
20, 1.298359, 1540.406443
21, 1.334084, 1499.155731
21, 1.302311, 1535.730993
21, 1.341321, 1491.067126
21, 1.302422, 1535.601074
21, 1.339480, 1493.117116
22, 1.315191, 1520.691965
22, 1.310460, 1526.182152
22, 1.316381, 1519.317552
22, 1.317422, 1518.116293
22, 1.316646, 1519.011616
23, 1.312365, 1523.966217
23, 1.318400, 1516.990752
23, 1.317239, 1518.327548
23, 1.313252, 1522.936486
23, 1.317803, 1517.677671
24, 1.198410, 1668.877997
24, 1.197496, 1670.151531
24, 1.199257, 1667.699199
24, 1.190585, 1679.845834
24, 1.196162, 1672.014737
25, 1.182211, 1691.744964
25, 1.177947, 1697.868864
25, 1.176213, 1700.371772
25, 1.177528, 1698.473719
25, 1.178649, 1696.857690
26, 1.224953, 1632.715291
26, 1.226501, 1630.654391
26, 1.223512, 1634.638925
26, 1.223997, 1633.990854
26, 1.228206, 1628.391842
27, 1.168224, 1712.000957
27, 1.173637, 1704.104724
27, 1.169315, 1710.402899
27, 1.166541, 1714.470493
27, 1.164944, 1716.820693
28, 1.179933, 1695.012088
28, 1.175851, 1700.896047
28, 1.178404, 1697.211118
28, 1.175603, 1701.255004
28, 1.183001, 1690.616246
29, 1.168743, 1711.239803
29, 1.172881, 1705.202771
29, 1.175877, 1700.858768
29, 1.175551, 1701.329860
29, 1.169204, 1710.566027
30, 1.142363, 1750.756533
30, 1.138609, 1756.528560
30, 1.138208, 1757.148389
30, 1.133397, 1764.606516
30, 1.147824, 1742.427330
31, 1.137871, 1757.669160
31, 1.136081, 1760.437349
31, 1.133612, 1764.271707
31, 1.139081, 1755.801250
31, 1.133894, 1763.832825
32, 1.180760, 1693.824770
32, 1.182595, 1691.196532
32, 1.186989, 1684.935457
32, 1.182258, 1691.678488
32, 1.189330, 1681.618883
33, 1.096740, 1823.585578
33, 1.099430, 1819.125147
33, 1.098896, 1820.008211
33, 1.098164, 1821.222399
33, 1.091818, 1831.806811
34, 1.106760, 1807.077212
34, 1.110672, 1800.710944
34, 1.112923, 1797.070087
34, 1.112947, 1797.030642
34, 1.117077, 1790.386331
35, 1.128579, 1772.140190
35, 1.126421, 1775.535226
35, 1.126771, 1774.983602
35, 1.129793, 1770.236169
35, 1.143396, 1749.175042
36, 1.155639, 1730.644156
36, 1.149360, 1740.098551
36, 1.154203, 1732.797754
36, 1.157680, 1727.593771
36, 1.146903, 1743.826204
37, 1.149124, 1740.455578
37, 1.151771, 1736.456952
37, 1.153104, 1734.449376
37, 1.149583, 1739.761357
37, 1.158499, 1726.371356
38, 1.051739, 1901.611583
38, 1.050784, 1903.341577
38, 1.050115, 1904.552876
38, 1.050419, 1904.001880
38, 1.046845, 1910.503087
39, 1.114558, 1794.433200
39, 1.098642, 1820.429449
39, 1.106103, 1808.150415
39, 1.109109, 1803.248746
39, 1.116003, 1792.110274
40, 1.191413, 1678.679115
40, 1.198833, 1668.288873
40, 1.195574, 1672.835978
40, 1.190973, 1679.298895
40, 1.200791, 1665.568154
41, 1.197248, 1670.497142
41, 1.189795, 1680.961877
41, 1.188908, 1682.215907
41, 1.189085, 1681.965907
41, 1.198869, 1668.239136
42, 1.183315, 1690.167475
42, 1.181098, 1693.340095
42, 1.180837, 1693.713286
42, 1.184018, 1689.163857
42, 1.186249, 1685.986712
43, 1.174763, 1702.471112
43, 1.176490, 1699.972169
43, 1.179840, 1695.145560
43, 1.173727, 1703.974411
43, 1.177758, 1698.141719
44, 1.331239, 1502.360332
44, 1.322067, 1512.782201
44, 1.307512, 1529.622893
44, 1.304250, 1533.448743
44, 1.302509, 1535.498012
45, 1.298176, 1540.623475
45, 1.279344, 1563.300614
45, 1.325989, 1508.307960
45, 1.292672, 1547.182751
45, 1.304194, 1533.514275
46, 1.030998, 1939.868654
46, 1.028983, 1943.666916
46, 1.018244, 1964.165224
46, 1.023272, 1954.515470
46, 1.032067, 1937.859326
47, 1.037847, 1927.066702
47, 1.052770, 1899.750288
47, 1.028666, 1944.264786
47, 1.021780, 1957.369100
47, 1.011749, 1976.774360
48, 1.163962, 1718.269110
48, 1.162396, 1720.583601
48, 1.178531, 1697.027662
48, 1.177556, 1698.432858
48, 1.156389, 1729.522039
49, 1.152419, 1735.479669
49, 1.150525, 1738.337420
49, 1.151127, 1737.428367
49, 1.157630, 1727.668145
49, 1.155806, 1730.393616
50, 1.351563, 1479.768660
50, 1.304532, 1533.116950
50, 1.319815, 1515.364457
50, 1.324118, 1510.439882
50, 1.303491, 1534.341421
51, 1.118635, 1787.893787
51, 1.129908, 1770.056314
51, 1.126385, 1775.591918
51, 1.120856, 1784.350021
51, 1.130950, 1768.425045
52, 1.380072, 1449.200042
52, 1.422546, 1405.929485
52, 1.426845, 1401.694290
52, 1.397131, 1431.504899
52, 1.378271, 1451.092982
53, 1.456214, 1373.424161
53, 1.412187, 1416.243399
53, 1.420149, 1408.302624
53, 1.405134, 1423.351570
53, 1.395222, 1433.463895
54, 1.200422, 1666.081021
54, 1.202063, 1663.806925
54, 1.206545, 1657.626379
54, 1.216074, 1644.636627
54, 1.212425, 1649.586274
55, 1.192050, 1677.782302
55, 1.185244, 1687.416710
55, 1.189083, 1681.967770
55, 1.184404, 1688.613174
55, 1.187070, 1684.820424
56, 1.270793, 1573.820783
56, 1.290718, 1549.525376
56, 1.293309, 1546.420690
56, 1.343865, 1488.245147
56, 1.290933, 1549.266744
57, 1.125555, 1776.901446
57, 1.122860, 1781.166497
57, 1.131272, 1767.922116
57, 1.123204, 1780.620179
57, 1.125467, 1777.039704
58, 1.057424, 1891.389430
58, 1.059969, 1886.847041
58, 1.060756, 1885.447933
58, 1.046830, 1910.530041
58, 1.061994, 1883.250036
59, 1.054470, 1896.687009
59, 1.055866, 1894.180012
59, 1.057264, 1891.674882
59, 1.058225, 1889.957388
59, 1.054224, 1897.130506
60, 1.211497, 1650.850196
60, 1.231143, 1624.506728
60, 1.260296, 1586.928213
60, 1.282243, 1559.766388
60, 1.222890, 1635.469762
61, 1.230950, 1624.761405
61, 1.233209, 1621.785610
61, 1.212939, 1648.887431
61, 1.223569, 1634.562671
61, 1.203859, 1661.324030
62, 0.996942, 2006.135261
62, 1.025941, 1949.430393
62, 0.990387, 2019.413193
62, 1.001483, 1997.039130
62, 0.991363, 2017.425002
63, 1.517938, 1317.576537
63, 1.498865, 1334.342881
63, 1.481657, 1349.839826
63, 1.558890, 1282.964085
63, 1.507774, 1326.458429
64, 1.322151, 1512.686759
64, 1.336580, 1496.356509
64, 1.304472, 1533.187651
64, 1.360943, 1469.569753
64, 1.359324, 1471.319356
65, 1.206184, 1658.121327
65, 1.203165, 1662.282140
65, 1.240088, 1612.788735
65, 1.262108, 1584.650870
65, 1.241478, 1610.982941
66, 1.438448, 1390.387219
66, 1.410700, 1417.735457
66, 1.409475, 1418.967768
66, 1.403167, 1425.347106
66, 1.386715, 1442.257391
67, 1.420032, 1408.419100
67, 1.411286, 1417.146949
67, 1.392395, 1436.373875
67, 1.392107, 1436.670843
67, 1.414397, 1414.030560
68, 1.640067, 1219.462342
68, 1.683776, 1187.806205
68, 1.705035, 1172.996153
68, 1.594784, 1254.088366
68, 1.583380, 1263.120881
69, 1.098979, 1819.870723
69, 1.091278, 1832.713213
69, 1.089729, 1835.318401
69, 1.086933, 1840.039385
69, 1.107595, 1805.714853
70, 1.258537, 1589.146407
70, 1.250454, 1599.418783
70, 1.264266, 1581.945774
70, 1.268881, 1576.191736
70, 1.256644, 1591.540729
71, 1.287402, 1553.516421
71, 1.267952, 1577.346992
71, 1.256768, 1591.383633
71, 1.259992, 1587.311260
71, 1.295680, 1543.590756
72, 1.542968, 1296.203574
72, 1.561627, 1280.715622
72, 1.574031, 1270.622881
72, 1.571135, 1272.964736
72, 1.609079, 1242.947075
73, 1.547470, 1292.432275
73, 1.615394, 1238.087820
73, 1.595228, 1253.739144
73, 1.578764, 1266.814167
73, 1.530244, 1306.981370
74, 0.887219, 2254.234590
74, 0.886454, 2256.179738
74, 0.881238, 2269.534577
74, 0.886927, 2254.977474
74, 0.882960, 2265.108785
75, 1.684267, 1187.459986
75, 1.655550, 1208.057798
75, 1.656912, 1207.064874
75, 1.629857, 1227.101283
75, 1.638653, 1220.514936
76, 1.798302, 1112.160452
76, 1.887948, 1059.351353
76, 1.818901, 1099.565249
76, 1.793521, 1115.124686
76, 1.898816, 1053.287822
77, 1.275338, 1568.212161
77, 1.284653, 1556.840048
77, 1.278872, 1563.877818
77, 1.288127, 1552.641854
77, 1.306486, 1530.823529
78, 1.616211, 1237.461950
78, 1.577511, 1267.820125
78, 1.604820, 1246.245316
78, 1.579196, 1266.466923
78, 1.572761, 1271.649133
79, 1.601428, 1248.885339
79, 1.565956, 1277.174729
79, 1.592423, 1255.947935
79, 1.590787, 1257.239562
79, 1.593055, 1255.449263
80, 1.479033, 1352.234580
80, 1.468295, 1362.124474
80, 1.466651, 1363.651302
80, 1.478209, 1352.988878
80, 1.469613, 1360.902102
81, 1.408024, 1420.430434
81, 1.406523, 1421.946605
81, 1.389568, 1439.296133
81, 1.403023, 1425.493306
81, 1.434676, 1394.043085
82, 0.802584, 2491.950734
82, 0.809660, 2470.171216
82, 0.804639, 2485.585821
82, 0.808758, 2472.928307
82, 0.811824, 2463.589657
83, 0.806151, 2480.925427
83, 0.810065, 2468.936477
