Cores, Execution Time, GFLOPs
1, 20.505861, 97.533091
1, 20.658566, 96.812142
1, 20.658037, 96.814618
1, 20.530609, 97.415521
1, 20.631723, 96.938097
2, 11.016469, 181.546379
2, 11.042367, 181.120585
2, 11.073093, 180.618003
2, 11.072361, 180.629950
2, 11.070819, 180.655113
3, 7.517865, 266.032972
3, 7.486436, 267.149830
3, 7.509979, 266.312346
3, 7.508263, 266.373211
3, 7.508682, 266.358342
4, 5.712628, 350.101576
4, 5.590349, 357.759399
4, 5.605733, 356.777593
4, 5.601818, 357.026981
4, 5.715693, 349.913803
5, 4.353023, 459.450859
5, 4.327935, 462.114145
5, 4.327335, 462.178175
5, 4.336792, 461.170332
5, 4.342995, 460.511699
6, 3.851007, 519.344637
6, 3.863555, 517.657938
6, 3.857251, 518.504004
6, 3.856280, 518.634539
6, 3.871079, 516.651872
7, 3.147263, 635.472862
7, 3.235817, 618.081977
7, 3.153003, 634.315870
7, 3.148336, 635.256156
7, 3.156082, 633.697009
8, 2.772391, 721.398899
8, 2.767511, 722.670998
8, 2.772305, 721.421271
8, 2.777051, 720.188340
8, 2.986089, 669.772446
9, 2.471667, 809.170357
9, 2.478125, 807.061630
9, 2.524537, 792.224551
9, 2.522612, 792.828966
9, 2.478151, 807.053402
10, 2.234121, 895.206859
10, 2.239481, 893.063877
10, 2.237597, 893.815968
10, 2.235111, 894.810079
10, 2.233565, 895.429547
11, 2.178931, 917.881188
11, 2.164484, 924.007659
11, 2.194686, 911.292021
11, 2.190091, 913.204147
11, 2.191464, 912.631887
12, 1.905010, 1049.863067
12, 1.915095, 1044.334477
12, 1.905405, 1049.645339
12, 1.911915, 1046.071789
12, 1.918736, 1042.353145
13, 1.915369, 1044.185345
13, 1.911434, 1046.334572
13, 1.907584, 1048.446833
13, 1.915639, 1044.038277
13, 1.909964, 1047.140233
14, 1.705493, 1172.681277
14, 1.688405, 1184.550073
14, 1.709411, 1169.993791
14, 1.628097, 1228.427794
14, 1.687775, 1184.992211
15, 1.594003, 1254.702740
15, 1.545226, 1294.308769
15, 1.582219, 1264.047756
15, 1.542679, 1296.446247
15, 1.582946, 1263.466600
16, 1.500796, 1332.626041
16, 1.559970, 1282.076076
16, 1.511234, 1323.421406
16, 1.505499, 1328.463283
16, 1.504915, 1328.979026
17, 1.506893, 1327.234542
17, 1.513137, 1321.757046
17, 1.504731, 1329.141368
17, 1.524354, 1312.031470
17, 1.509876, 1324.612030
18, 1.379279, 1450.032651
18, 1.373207, 1456.444262
18, 1.385855, 1443.152663
18, 1.386339, 1442.648361
18, 1.379164, 1450.153706
19, 1.390477, 1438.355189
19, 1.373523, 1456.109198
19, 1.370659, 1459.151922
19, 1.376353, 1453.115117
19, 1.388326, 1440.583863
20, 1.394346, 1434.364091
20, 1.396096, 1432.565899
20, 1.407474, 1420.985227
20, 1.388600, 1440.299685
20, 1.394916, 1433.777971
21, 1.255776, 1592.640858
21, 1.261877, 1584.940635
21, 1.260308, 1586.913373
21, 1.268544, 1576.610547
21, 1.261836, 1584.991898
22, 1.115801, 1792.434163
22, 1.117027, 1790.467505
22, 1.113683, 1795.843181
22, 1.113455, 1796.210885
22, 1.116590, 1791.168225
23, 1.118951, 1787.387759
23, 1.116979, 1790.544205
23, 1.110514, 1800.967605
23, 1.110442, 1801.085408
23, 1.115481, 1792.949038
24, 1.204277, 1660.747202
24, 1.205406, 1659.192603
24, 1.202316, 1663.456040
24, 1.206949, 1657.071071
24, 1.211258, 1651.175939
25, 1.243380, 1608.519040
25, 1.246451, 1604.555170
25, 1.246526, 1604.458489
25, 1.246419, 1604.596606
25, 1.245379, 1605.937397
26, 0.945202, 2115.950322
26, 0.943409, 2119.970727
26, 0.941888, 2123.394409
26, 0.945565, 2115.136922
26, 0.946543, 2112.952928
27, 1.626590, 1229.565786
27, 1.621998, 1233.047008
27, 1.624901, 1230.844173
27, 1.630618, 1226.528939
27, 1.611654, 1240.960964
28, 1.342776, 1489.451967
28, 1.346342, 1485.506910
28, 1.349132, 1482.435161
28, 1.326498, 1507.728839
28, 1.341347, 1491.038579
29, 1.337829, 1494.959453
29, 1.342767, 1489.461983
29, 1.344139, 1487.941627
29, 1.349759, 1481.745969
29, 1.356918, 1473.928641
30, 1.036571, 1929.437749
30, 1.034531, 1933.242944
30, 1.031534, 1938.859076
30, 1.017421, 1965.754004
30, 1.025723, 1949.844706
31, 1.029012, 1943.612749
31, 1.034502, 1933.297112
31, 1.021136, 1958.602064
31, 1.035448, 1931.530310
31, 1.023893, 1953.329777
32, 1.260546, 1586.614369
32, 1.246539, 1604.442384
32, 1.254904, 1593.747319
32, 1.246216, 1604.857905
32, 1.250985, 1598.740529
33, 0.840335, 2380.002791
33, 0.844687, 2367.740081
33, 0.845960, 2364.178629
33, 0.844201, 2369.104088
33, 0.845310, 2365.996385
34, 0.767687, 2605.229868
34, 0.749639, 2667.949609
34, 0.765129, 2613.937292
34, 0.764266, 2616.889695
34, 0.763281, 2620.265918
35, 0.935815, 2137.175450
35, 0.941874, 2123.425446
35, 0.936719, 2135.113155
35, 0.945603, 2115.052057
35, 0.932527, 2144.709564
36, 1.020806, 1959.236193
36, 1.013338, 1973.675661
36, 1.014354, 1971.697301
36, 1.017770, 1965.079984
36, 1.022363, 1956.252383
37, 1.020119, 1960.556038
37, 1.013768, 1972.838833
37, 1.010798, 1978.635258
37, 1.024724, 1951.744242
37, 1.012803, 1974.717608
38, 0.769521, 2599.018427
38, 0.773472, 2585.744068
38, 0.768877, 2601.194869
38, 0.771077, 2593.774079
38, 0.778303, 2569.694470
39, 0.855555, 2337.664170
39, 0.852075, 2347.210559
39, 0.846314, 2363.189540
39, 0.842242, 2374.615682
39, 0.850018, 2352.890371
40, 1.229153, 1627.137284
40, 1.233637, 1621.221950
40, 1.237249, 1616.489648
40, 1.227469, 1629.369327
40, 1.246135, 1604.962261
41, 1.246041, 1605.083796
41, 1.239976, 1612.934653
41, 1.239949, 1612.969597
41, 1.235952, 1618.185761
41, 1.233738, 1621.090344
42, 1.105690, 1808.825941
42, 1.108241, 1804.661115
42, 1.106844, 1806.939852
42, 1.107303, 1806.190620
42, 1.108219, 1804.697909
43, 1.103887, 1811.778909
43, 1.103136, 1813.013147
43, 1.103478, 1812.451438
43, 1.105667, 1808.862321
43, 1.110882, 1800.371102
44, 1.387037, 1441.923059
44, 1.370210, 1459.630805
44, 1.379034, 1450.290131
44, 1.383891, 1445.200418
44, 1.376731, 1452.716656
45, 1.752747, 1141.066133
45, 1.746861, 1144.910809
45, 1.749652, 1143.084718
45, 1.721676, 1161.659012
45, 1.760190, 1136.241253
46, 0.706819, 2829.580131
46, 0.705850, 2833.462398
46, 0.704210, 2840.063264
46, 0.701496, 2851.051764
46, 0.704563, 2838.639840
47, 0.707997, 2824.869642
47, 0.707737, 2825.908247
47, 0.707829, 2825.540175
47, 0.707871, 2825.373849
47, 0.711759, 2809.940367
48, 1.040034, 1923.013961
48, 1.032444, 1937.150335
48, 1.047250, 1909.764013
48, 1.037906, 1926.956572
48, 1.052137, 1900.893998
49, 1.151247, 1737.246221
49, 1.137216, 1758.680601
49, 1.171835, 1706.724522
49, 1.140800, 1753.155278
49, 1.140872, 1753.045637
50, 1.469768, 1360.758969
50, 1.475797, 1355.200116
50, 1.472792, 1357.964571
50, 1.468034, 1362.366453
50, 1.461736, 1368.235928
51, 0.871711, 2294.338242
51, 0.868353, 2303.212112
51, 0.868854, 2301.883473
51, 0.867277, 2306.067189
51, 0.869118, 2301.182278
52, 1.746031, 1145.454953
52, 1.728793, 1156.876584
52, 1.693128, 1181.245607
52, 1.817041, 1100.690636
52, 1.832727, 1091.269833
53, 1.738258, 1150.577310
53, 1.718199, 1164.009395
53, 1.737662, 1150.971709
53, 1.743279, 1147.263282
53, 1.730212, 1155.927457
54, 1.099356, 1819.246807
54, 1.108224, 1804.688837
54, 1.107440, 1805.966582
54, 1.110278, 1801.351180
54, 1.101361, 1815.935481
55, 0.978136, 2044.705948
55, 0.976400, 2048.340110
55, 0.979700, 2041.441576
55, 0.981794, 2037.087193
55, 0.964910, 2072.731487
56, 1.298510, 1540.226370
56, 1.305932, 1531.473464
56, 1.302139, 1535.934113
56, 1.306484, 1530.825764
56, 1.363811, 1466.479141
57, 0.858390, 2329.942313
57, 0.860207, 2325.021217
57, 0.855884, 2336.763966
57, 0.842834, 2372.947477
57, 0.846868, 2361.644146
58, 0.699342, 2859.830465
58, 0.699626, 2858.671103
58, 0.690556, 2896.215368
58, 0.706688, 2830.104071
58, 0.701340, 2851.684627
59, 0.695618, 2875.139923
59, 0.704821, 2837.598875
59, 0.699128, 2860.705895
59, 0.697928, 2865.624077
59, 0.701418, 2851.365010
60, 1.029835, 1942.059200
60, 1.036373, 1929.807356
60, 1.036384, 1929.786755
60, 1.049384, 1905.879805
60, 1.049706, 1905.295055
61, 1.042636, 1918.214449
61, 1.031815, 1938.332801
61, 1.032356, 1937.315274
61, 1.015315, 1969.831821
61, 1.039834, 1923.383756
62, 0.657737, 3040.728421
62, 0.659404, 3033.040740
62, 0.662301, 3019.773542
62, 0.661850, 3021.834289
