Cores, Execution Time, GFLOPs
1, 31.130118, 64.246463
1, 31.420051, 63.653620
1, 31.269940, 63.959189
1, 31.313988, 63.869221
1, 31.437864, 63.617554
2, 16.098640, 124.234095
2, 16.223945, 123.274577
2, 16.161791, 123.748664
2, 16.288969, 122.782482
2, 16.104277, 124.190612
3, 16.084287, 124.344960
3, 16.142800, 123.894241
3, 16.074077, 124.423942
3, 16.091478, 124.289393
3, 16.119552, 124.072931
4, 10.836084, 184.568529
4, 10.802976, 185.134179
4, 10.854197, 184.260521
4, 10.810679, 185.002247
4, 10.824080, 184.773216
5, 8.212670, 243.526167
5, 8.199947, 243.904018
5, 8.227968, 243.073392
5, 8.210313, 243.596082
5, 8.224024, 243.189962
6, 5.571475, 358.971392
6, 5.607115, 356.689668
6, 5.586896, 357.980514
6, 5.585132, 358.093608
6, 5.608838, 356.580104
7, 5.608165, 356.622883
7, 5.592914, 357.595341
7, 5.608182, 356.621800
7, 5.605278, 356.806561
7, 5.600539, 357.108496
8, 4.301838, 464.917581
8, 4.297080, 465.432392
8, 4.305964, 464.472015
8, 4.286839, 466.544249
8, 4.316629, 463.324537
9, 4.310904, 463.939822
9, 4.285028, 466.741406
9, 4.314726, 463.528895
9, 4.310546, 463.978374
9, 4.299695, 465.149277
10, 3.876607, 515.915123
10, 3.870240, 516.763836
10, 3.882354, 515.151340
10, 3.873144, 516.376411
10, 3.883577, 514.989165
11, 3.515308, 568.940179
11, 3.501074, 571.253241
11, 3.506099, 570.434549
11, 3.526941, 567.063690
11, 3.521334, 567.966603
12, 3.102080, 644.728763
12, 3.105234, 644.073762
12, 3.105074, 644.107026
12, 3.093909, 646.431341
12, 3.101192, 644.913338
13, 3.106095, 643.895387
13, 3.092478, 646.730471
13, 3.108502, 643.396747
13, 3.116715, 641.701276
13, 3.097197, 645.745189
14, 2.695528, 741.969597
14, 2.683407, 745.321265
14, 2.699305, 740.931405
14, 2.690104, 743.465681
14, 2.676791, 747.163295
15, 2.598587, 769.648929
15, 2.595245, 770.640070
15, 2.595116, 770.678584
15, 2.585105, 773.663032
15, 2.599482, 769.384061
16, 2.594785, 770.776869
16, 2.603742, 768.125209
16, 2.596475, 770.275087
16, 2.592398, 771.486495
16, 2.597642, 769.929044
17, 2.528418, 791.008389
