Cores, Execution Time, GFLOPs
1, 32.103115, 62.299250
1, 32.085218, 62.334001
1, 32.045743, 62.410786
1, 32.028646, 62.444102
1, 32.110726, 62.284484
2, 16.933272, 118.110663
2, 16.982815, 117.766108
2, 16.890449, 118.410112
2, 17.044068, 117.342879
2, 16.975168, 117.819159
3, 16.785562, 119.150015
3, 16.661866, 120.034577
3, 16.701602, 119.748995
3, 16.778254, 119.201916
3, 16.612227, 120.393249
4, 11.677243, 171.273301
4, 11.718358, 170.672373
4, 11.732935, 170.460336
4, 11.550842, 173.147547
4, 11.536873, 173.357194
5, 10.778606, 185.552749
5, 10.656838, 187.672921
5, 10.549443, 189.583473
5, 10.547494, 189.618503
5, 10.826408, 184.733485
6, 6.667233, 299.974506
6, 6.768213, 295.498986
6, 6.912511, 289.330462
6, 6.955520, 287.541422
6, 7.131123, 280.460724
7, 6.832354, 292.724859
7, 6.936031, 288.349358
7, 6.818496, 293.319817
7, 6.924643, 288.823568
7, 6.695244, 298.719514
8, 5.050834, 395.974224
8, 5.037468, 397.024865
8, 5.093920, 392.624936
8, 5.000168, 399.986577
8, 5.150775, 388.291050
9, 5.026513, 397.890130
9, 5.230061, 382.404747
9, 5.002163, 399.827063
9, 5.122911, 390.403004
9, 5.213131, 383.646612
10, 4.408813, 453.636829
10, 4.523525, 442.133119
10, 4.487736, 445.659058
10, 4.544343, 440.107604
10, 4.450107, 449.427441
11, 4.078131, 490.420779
11, 3.988719, 501.414132
11, 4.073766, 490.946274
11, 4.202774, 475.876223
11, 4.200505, 476.133233
12, 3.400344, 588.175868
12, 3.448143, 580.022279
12, 3.530296, 566.524727
12, 3.417748, 585.180710
12, 3.396932, 588.766612
13, 3.459186, 578.170638
13, 3.523060, 567.688342
13, 3.377757, 592.108948
13, 3.514600, 569.054726
13, 3.453588, 579.107799
14, 3.130948, 638.784155
14, 3.076389, 650.112882
14, 3.016502, 663.019535
14, 3.017124, 662.882877
14, 3.051643, 655.384726
15, 2.817795, 709.774765
15, 2.818107, 709.696243
15, 2.773005, 721.239346
15, 2.781307, 719.086499
15, 2.849429, 701.895012
16, 2.804222, 713.210357
16, 3.033845, 659.229423
16, 2.822073, 708.698938
16, 2.837172, 704.927184
16, 2.760229, 724.577470
17, 2.724311, 734.130478
17, 2.687887, 744.078871
17, 2.752612, 726.582618
17, 2.690749, 743.287378
17, 2.660574, 751.717376
18, 2.582950, 774.308588
18, 2.578737, 775.573477
18, 2.562346, 780.534755
18, 2.547355, 785.128168
18, 2.457426, 813.859853
19, 2.585321, 773.598402
19, 2.579805, 775.252397
19, 2.630451, 760.326013
19, 2.615754, 764.597763
19, 2.486785, 804.251290
20, 2.338600, 855.212641
20, 2.327544, 859.274839
20, 2.351684, 850.454219
20, 2.375097, 842.070894
20, 2.406710, 831.010120
21, 2.397734, 834.120795
21, 2.376746, 841.486580
21, 2.348090, 851.755991
21, 2.344077, 853.214172
21, 2.363667, 846.142741
22, 2.342070, 853.945429
22, 2.328498, 858.922777
22, 2.349549, 851.227109
22, 2.350914, 850.732886
22, 2.399395, 833.543494
23, 2.448027, 816.984532
23, 2.458048, 813.653769
23, 2.569636, 778.320459
23, 2.489836, 803.265698
23, 2.534601, 789.078771
24, 2.088457, 957.644909
24, 2.115803, 945.267699
24, 2.090270, 956.813970
24, 2.069434, 966.447821
24, 2.093751, 955.223624
25, 2.046692, 977.186569
25, 2.095250, 954.540154
25, 2.106102, 949.621577
25, 2.079667, 961.692409
25, 2.098573, 953.028654
26, 1.936040, 1033.036288
26, 1.934601, 1033.804675
26, 1.928158, 1037.259532
26, 1.937679, 1032.162552
26, 1.932661, 1034.842675
27, 2.089747, 957.053554
27, 2.120228, 943.294829
27, 2.157985, 926.790396
27, 2.098604, 953.014487
27, 2.154398, 928.333592
28, 1.875911, 1066.148634
28, 1.847513, 1082.536419
28, 1.840145, 1086.870706
28, 1.846001, 1083.422885
28, 1.894724, 1055.562712
29, 1.815648, 1101.535250
29, 1.856898, 1077.064852
29, 1.886896, 1059.941909
29, 1.857326, 1076.817018
29, 1.826708, 1094.865468
30, 1.668847, 1198.432169
30, 1.674103, 1194.669930
30, 1.649502, 1212.486892
30, 1.645095, 1215.735062
30, 1.634408, 1223.684929
31, 1.633591, 1224.296396
31, 1.654693, 1208.683768
31, 1.638754, 1220.439695
31, 1.663155, 1202.533445
31, 1.687031, 1185.514694
32, 1.585862, 1261.143892
32, 1.569014, 1274.686132
32, 1.585358, 1261.544704
32, 1.582943, 1263.469748
32, 1.596107, 1253.048633
33, 1.598229, 1251.385178
33, 1.681290, 1189.562945
33, 1.653312, 1209.693238
33, 1.684916, 1187.002799
33, 1.721828, 1161.555898
34, 1.915292, 1044.226997
34, 1.881006, 1063.260743
34, 1.888840, 1058.850728
34, 1.874339, 1067.042555
34, 1.866941, 1071.270972
35, 1.595696, 1253.371233
35, 1.549501, 1290.737833
35, 1.560988, 1281.240038
35, 1.543338, 1295.892167
35, 1.570798, 1273.238362
36, 1.585456, 1261.466358
36, 1.580246, 1265.625888
36, 1.590395, 1257.549012
36, 1.588394, 1259.133289
36, 1.568151, 1275.387381
37, 1.511150, 1323.495772
37, 1.539782, 1298.885016
37, 1.523986, 1312.348251
37, 1.535104, 1302.843070
37, 1.517977, 1317.542980
38, 2.393688, 835.530693
38, 2.369631, 844.013363
38, 2.367257, 844.859555
38, 2.401844, 832.693510
38, 2.402450, 832.483453
39, 1.847360, 1082.625847
39, 1.853241, 1079.190416
39, 1.821303, 1098.114718
39, 1.827212, 1094.563913
39, 1.867855, 1070.747210
40, 1.454178, 1375.347631
40, 1.478582, 1352.647321
40, 1.471545, 1359.115376
40, 1.459057, 1370.748163
40, 1.454793, 1374.766220
41, 1.474924, 1356.002179
41, 1.473299, 1357.497447
41, 1.462023, 1367.967961
41, 1.469829, 1360.702485
41, 1.472732, 1358.020375
42, 1.378951, 1450.377349
42, 1.390453, 1438.380089
42, 1.402994, 1425.523242
42, 1.410924, 1417.510310
42, 1.406300, 1422.171459
43, 1.398781, 1429.816505
43, 1.393826, 1434.899191
43, 1.407602, 1420.856079
43, 1.429558, 1399.034061
43, 1.401839, 1426.697032
44, 1.527918, 1308.970658
44, 1.544030, 1295.311219
44, 1.528380, 1308.575059
44, 1.510462, 1324.097799
44, 1.548153, 1291.861980
45, 1.438492, 1390.344494
45, 1.456663, 1373.001635
45, 1.451458, 1377.924716
45, 1.438348, 1390.484269
45, 1.432568, 1396.094748
46, 1.420751, 1407.706632
46, 1.423944, 1404.549759
46, 1.450703, 1378.641953
46, 1.441944, 1387.016248
46, 1.428996, 1399.583616
47, 2.367233, 844.868348
47, 2.373311, 842.704463
47, 2.395942, 834.744591
47, 2.391594, 836.262199
47, 2.433039, 822.017334
48, 1.409394, 1419.049873
48, 1.389630, 1439.232031
48, 1.415556, 1412.872452
48, 1.387921, 1441.004663
48, 1.399847, 1428.727889
49, 1.422753, 1405.725164
49, 1.443257, 1385.754326
49, 1.429522, 1399.069116
49, 1.448914, 1380.343799
49, 1.440382, 1388.520204
50, 1.401809, 1426.727404
50, 1.400401, 1428.162616
50, 1.382529, 1446.624160
50, 1.374812, 1454.744886
50, 1.409888, 1418.552342
51, 1.512710, 1322.130557
51, 1.504892, 1328.998734
51, 1.501509, 1331.993301
51, 1.508323, 1325.975606
51, 1.522353, 1313.755807
52, 1.709788, 1169.735721
52, 1.652808, 1210.062239
52, 1.701450, 1175.467667
52, 1.692285, 1181.833800
52, 1.654023, 1209.172854
53, 1.624977, 1230.786337
53, 1.708199, 1170.824110
53, 1.707287, 1171.448960
53, 1.631981, 1225.504583
53, 1.636199, 1222.345252
54, 1.529495, 1307.621276
54, 1.484839, 1346.947146
54, 1.490289, 1342.021629
54, 1.499521, 1333.759223
54, 1.581227, 1264.840714
55, 1.518873, 1316.765648
55, 1.457400, 1372.307141
55, 1.470732, 1359.866787
55, 1.442951, 1386.048618
55, 1.467389, 1362.965363
56, 1.393748, 1434.979760
56, 1.416980, 1411.452983
56, 1.394467, 1434.239603
56, 1.433577, 1395.111360
56, 1.407769, 1420.687265
57, 1.431600, 1397.038100
57, 1.462225, 1367.778576
57, 1.424519, 1403.982429
57, 1.492773, 1339.788459
57, 1.476692, 1354.378417
58, 1.909410, 1047.443963
58, 1.995670, 1002.169510
58, 1.950209, 1025.531098
58, 1.905209, 1049.753514
58, 1.946037, 1027.729472
59, 2.392002, 836.119603
59, 2.461858, 812.394565
59, 2.425683, 824.510090
59, 2.496085, 801.254857
59, 2.446045, 817.646507
60, 1.401712, 1426.826215
60, 1.433822, 1394.873178
60, 1.447735, 1381.468462
60, 1.454818, 1374.742117
60, 1.470360, 1360.210944
61, 1.515830, 1319.408992
61, 1.448661, 1380.584961
61, 1.485304, 1346.525681
61, 1.469646, 1360.871971
61, 1.496421, 1336.522358
62, 2.347824, 851.852527
62, 2.362169, 846.679460
62, 2.411040, 829.517418
62, 2.396371, 834.595375
62, 2.378181, 840.978777
63, 1.372781, 1456.896691
63, 1.370335, 1459.497247
63, 1.420746, 1407.711458
63, 1.382113, 1447.059170
63, 1.382245, 1446.921615
64, 1.332508, 1500.929336
64, 1.370332, 1459.500703
64, 1.370961, 1458.831163
64, 1.380173, 1449.093989
64, 1.389855, 1438.999125
65, 1.292430, 1547.472345
65, 1.308056, 1528.986075
65, 1.301414, 1536.790009
65, 1.293604, 1546.068444
65, 1.307189, 1530.000130
66, 1.432239, 1396.414537
66, 1.366569, 1463.518786
66, 1.415650, 1412.778456
66, 1.361661, 1468.794875
66, 1.377147, 1452.278070
67, 1.495491, 1337.353665
67, 1.384395, 1444.674070
67, 1.372449, 1457.248828
67, 1.388795, 1440.097402
67, 1.386248, 1442.742826
68, 1.677150, 1192.499497
68, 1.586199, 1260.875562
68, 1.721592, 1161.715689
68, 1.726839, 1158.185312
68, 1.614748, 1238.583615
69, 1.692889, 1181.412240
69, 1.704059, 1173.668172
69, 1.605036, 1246.077592
69, 1.641646, 1218.289325
69, 1.674249, 1194.565682
70, 1.423258, 1405.226953
70, 1.403836, 1424.667942
70, 1.398593, 1430.009006
70, 1.370051, 1459.799908
70, 1.356825, 1474.029688
71, 1.377850, 1451.536354
71, 1.354719, 1476.321183
71, 1.392576, 1436.187597
71, 1.397629, 1430.994512
71, 1.456371, 1373.276678
72, 1.370351, 1459.479922
72, 1.362873, 1467.488135
72, 1.343086, 1489.107950
72, 1.368153, 1461.825038
72, 1.395132, 1433.555866
73, 1.392183, 1436.592894
73, 1.378845, 1450.489200
73, 1.360591, 1469.949881
73, 1.379297, 1450.014344
73, 1.369904, 1459.956536
74, 2.475365, 807.961656
74, 2.494976, 801.610978
74, 2.569879, 778.246897
74, 2.439836, 819.727181
74, 2.496979, 800.967902
75, 1.538413, 1300.041193
75, 1.497211, 1335.816639
75, 1.470239, 1360.323369
75, 1.546539, 1293.209905
75, 1.491278, 1341.131203
76, 1.507804, 1326.432388
76, 1.487035, 1344.958051
76, 1.537437, 1300.866005
76, 1.499492, 1333.784759
76, 1.577492, 1267.835251
77, 1.383862, 1445.230897
77, 1.353824, 1477.297159
77, 1.343466, 1488.686258
77, 1.415812, 1412.617120
77, 1.357019, 1473.818558
78, 1.330811, 1502.843053
78, 1.329724, 1504.071753
78, 1.379283, 1450.029090
78, 1.381242, 1447.971868
78, 1.385220, 1443.814255
79, 1.466390, 1363.893516
79, 1.391097, 1437.713901
79, 1.447411, 1381.777573
79, 1.451314, 1378.061366
79, 1.386359, 1442.627843
80, 1.337645, 1495.165000
80, 1.358535, 1472.174361
80, 1.339167, 1493.465354
80, 1.339088, 1493.553401
80, 1.348887, 1482.704107
81, 1.401432, 1427.111268
81, 1.365472, 1464.694483
81, 1.404312, 1424.185042
81, 1.385455, 1443.568926
81, 1.355694, 1475.259555
82, 1.350711, 1480.702127
82, 1.365135, 1465.056282
82, 1.371370, 1458.395186
82, 1.336417, 1496.538404
82, 1.363275, 1467.055644
83, 2.460239, 812.929149
83, 2.659544, 752.008502
83, 2.454850, 814.713876
83, 2.518475, 794.131309
83, 2.493619, 802.047087
84, 1.409426, 1419.017732
84, 1.375907, 1453.586332
84, 1.441894, 1387.064770
84, 1.376713, 1452.735391
84, 1.404573, 1423.920705
85, 1.454858, 1374.704460
85, 1.432970, 1395.702849
85, 1.438204, 1390.623073
85, 1.467820, 1362.564689
85, 1.438406, 1390.427948
86, 1.522539, 1313.595168
86, 1.662570, 1202.957081
86, 1.619428, 1235.004282
86, 1.564397, 1278.447724
86, 1.584174, 1262.487831
87, 1.941560, 1030.099373
87, 1.984720, 1007.698757
87, 2.060753, 970.518868
87, 1.939339, 1031.279288
87, 1.980142, 1010.028505
88, 1.477509, 1353.629633
88, 1.443164, 1385.843815
88, 1.448525, 1380.714673
88, 1.495792, 1337.084315
88, 1.437422, 1391.380024
89, 1.467151, 1363.185763
89, 1.489410, 1342.813294
89, 1.486852, 1345.123691
89, 1.468213, 1362.200629
89, 1.481805, 1349.705164
90, 1.484939, 1346.856386
90, 1.456002, 1373.624817
90, 1.483458, 1348.201362
90, 1.469171, 1361.311778
90, 1.449718, 1379.579033
91, 1.489337, 1342.879853
91, 1.482419, 1349.146332
91, 1.499790, 1333.519967
91, 1.474290, 1356.585086
91, 1.524368, 1312.019240
92, 1.483275, 1348.367381
92, 1.469345, 1361.150951
92, 1.510516, 1324.051069
92, 1.500135, 1333.213352
92, 1.476429, 1354.619598
93, 1.827884, 1094.161484
93, 1.793593, 1115.080399
93, 1.719447, 1163.164518
93, 1.852320, 1079.727015
93, 1.751788, 1141.690361
94, 2.031111, 984.682933
94, 1.931428, 1035.503077
94, 2.051825, 974.741841
94, 1.913102, 1045.422475
94, 1.981527, 1009.322396
95, 1.643405, 1216.985118
95, 1.664060, 1201.879660
95, 1.721598, 1161.711488
95, 1.640740, 1218.962150
95, 1.678651, 1191.432536
96, 1.509005, 1325.377066
96, 1.490894, 1341.477063
96, 1.521112, 1314.827955
96, 1.486948, 1345.037191
96, 1.506560, 1327.527597
97, 1.530748, 1306.550482
97, 1.529042, 1308.008647
97, 1.554418, 1286.654977
97, 1.523682, 1312.609961
97, 1.583062, 1263.374151
