Cores, Execution Time, GFLOPs
1, 20.599135, 97.091457
1, 20.579603, 97.183605
1, 20.584218, 97.161818
1, 20.592911, 97.120801
1, 21.014179, 95.173837
2, 10.368311, 192.895448
2, 10.454605, 191.303259
2, 10.479483, 190.849103
2, 10.474688, 190.936472
2, 10.457823, 191.244395
3, 6.983689, 286.381590
3, 7.013822, 285.151237
3, 7.029476, 284.516222
3, 6.980090, 286.529276
3, 6.992756, 286.010279
4, 5.275548, 379.107527
4, 5.243946, 381.392175
4, 5.303129, 377.135857
4, 5.196136, 384.901364
4, 5.201536, 384.501831
5, 4.224245, 473.457364
5, 4.187469, 477.615440
5, 4.192382, 477.055773
5, 4.217256, 474.241972
5, 4.159036, 480.880665
6, 3.529435, 566.662989
6, 3.509084, 569.949241
6, 3.505572, 570.520299
6, 3.512029, 569.471417
6, 3.526241, 567.176285
7, 3.114463, 642.165348
7, 3.087851, 647.699632
7, 3.098747, 645.422084
7, 3.077134, 649.955381
7, 3.104287, 644.270411
8, 2.761408, 724.268290
8, 2.723346, 734.390607
8, 2.731398, 732.225686
8, 2.715939, 736.393488
8, 2.742286, 729.318639
9, 2.474952, 808.096600
9, 2.471431, 809.247670
9, 2.472397, 808.931529
9, 2.477683, 807.205614
9, 2.479224, 806.704052
10, 2.208146, 905.737245
10, 2.215564, 902.704610
10, 2.212045, 904.140573
10, 2.198360, 909.769245
10, 2.197862, 909.975161
11, 2.107634, 948.931162
11, 2.087516, 958.076340
11, 2.101831, 951.551188
11, 2.106705, 949.349704
11, 2.102248, 951.362664
12, 1.931098, 1035.680359
12, 1.911204, 1046.460858
12, 1.914860, 1044.462738
12, 1.908143, 1048.139632
12, 1.905897, 1049.374591
13, 1.780565, 1123.238980
13, 1.779132, 1124.143843
13, 1.775239, 1126.608688
13, 1.780025, 1123.579835
13, 1.780705, 1123.150672
14, 1.693243, 1181.165346
14, 1.700314, 1176.253529
14, 1.701911, 1175.149918
14, 1.695000, 1179.940992
14, 1.701599, 1175.364882
15, 1.632542, 1225.083549
15, 1.624527, 1231.127495
15, 1.643186, 1217.147937
15, 1.638386, 1220.713230
15, 1.639402, 1219.957246
16, 1.491702, 1340.750381
16, 1.502504, 1331.111624
16, 1.484028, 1347.683641
16, 1.492251, 1340.257003
16, 1.502776, 1330.870030
17, 1.449010, 1380.252868
17, 1.447418, 1381.770984
17, 1.459235, 1370.581484
17, 1.446057, 1383.071599
17, 1.441278, 1387.657381
18, 1.436199, 1392.564283
18, 1.382584, 1446.566258
18, 1.399648, 1428.930216
18, 1.376987, 1452.446800
18, 1.373969, 1455.637373
19, 1.362255, 1468.153946
19, 1.353453, 1477.701481
19, 1.362632, 1467.747998
19, 1.365601, 1464.556749
19, 1.361815, 1468.628689
20, 1.284240, 1557.341694
20, 1.272908, 1571.205187
20, 1.274856, 1568.805202
20, 1.286152, 1555.026310
20, 1.283889, 1557.766702
21, 1.262263, 1584.455792
21, 1.266758, 1578.833876
21, 1.291374, 1548.738043
21, 1.262686, 1583.925616
21, 1.268002, 1577.284561
22, 1.249256, 1600.952689
22, 1.254300, 1594.515084
22, 1.255969, 1592.396617
22, 1.253122, 1596.014119
22, 1.251944, 1597.515680
23, 1.229640, 1626.492123
23, 1.233392, 1621.544004
23, 1.229121, 1627.179156
23, 1.225204, 1632.380727
23, 1.232214, 1623.095228
24, 1.241043, 1611.547865
24, 1.228727, 1627.700560
24, 1.242660, 1609.450378
24, 1.230492, 1625.366137
24, 1.238024, 1615.477868
25, 1.227640, 1629.142695
25, 1.235108, 1619.292043
25, 1.234021, 1620.718348
25, 1.225701, 1631.719439
25, 1.233111, 1621.914108
26, 1.246696, 1604.239912
26, 1.247833, 1602.778559
26, 1.246176, 1604.909672
26, 1.244896, 1606.559430
26, 1.255166, 1593.414675
