Cores, Execution Time, GFLOPs
1, 20.701965, 96.609189
1, 20.838669, 95.975421
1, 20.748990, 96.390233
1, 20.789662, 96.201660
1, 20.822805, 96.048537
2, 11.132951, 179.646895
2, 11.209980, 178.412452
2, 11.179479, 178.899206
2, 11.095329, 180.256038
2, 11.012916, 181.604939
3, 7.453644, 268.325136
3, 7.438723, 268.863339
3, 7.536912, 265.360667
3, 7.388583, 270.687896
3, 7.402106, 270.193365
4, 5.615165, 356.178316
4, 5.515201, 362.634102
4, 5.532280, 361.514603
4, 5.568659, 359.152885
4, 5.558091, 359.835756
5, 4.443137, 450.132424
5, 4.450282, 449.409729
5, 4.453861, 449.048592
5, 4.394885, 455.074465
5, 4.355169, 459.224391
6, 3.826947, 522.609832
6, 3.888593, 514.324863
6, 3.772530, 530.148159
6, 3.792237, 527.393204
6, 3.851040, 519.340295
7, 3.238711, 617.529642
7, 3.290251, 607.856382
7, 3.310236, 604.186497
7, 3.334603, 599.771482
7, 3.325280, 601.453042
8, 2.828898, 706.989069
8, 2.819871, 709.252423
8, 2.826083, 707.693215
8, 2.859957, 699.311301
8, 2.821077, 708.949029
9, 2.582523, 774.436559
9, 2.556970, 782.175754
9, 2.576966, 776.106583
9, 2.533234, 789.504614
9, 2.582916, 774.318581
10, 2.271758, 880.375313
10, 2.274707, 879.234010
10, 2.321583, 861.480996
10, 2.286926, 874.536313
10, 2.275017, 879.114220
11, 2.140548, 934.340342
11, 2.137716, 935.578128
11, 2.102538, 951.231413
11, 2.129283, 939.283189
11, 2.164561, 923.974923
12, 2.008654, 995.691512
12, 1.944897, 1028.332056
12, 1.901965, 1051.544291
12, 1.958029, 1021.435526
12, 1.960815, 1019.984110
13, 1.828769, 1093.631778
13, 1.746286, 1145.288047
13, 1.853238, 1079.191993
13, 1.776521, 1125.796043
13, 1.834881, 1089.988770
14, 1.699101, 1177.093311
14, 1.699575, 1176.764512
14, 1.708576, 1170.565544
14, 1.706207, 1172.190835
14, 1.698745, 1177.339773
15, 1.682547, 1188.674304
15, 1.673083, 1195.397728
15, 1.677348, 1192.358130
15, 1.662642, 1202.904838
15, 1.674951, 1194.064991
16, 1.508164, 1326.116128
16, 1.502082, 1331.485343
16, 1.492816, 1339.749558
16, 1.532793, 1304.807842
16, 1.488024, 1344.064362
17, 1.528478, 1308.490834
17, 1.511078, 1323.558459
17, 1.494523, 1338.219189
17, 1.528485, 1308.485438
17, 1.489326, 1342.889752
18, 1.521566, 1314.434857
18, 1.512210, 1322.568008
18, 1.514907, 1320.212876
18, 1.511710, 1323.005389
18, 1.518720, 1316.898746
19, 1.556129, 1285.240494
19, 1.549022, 1291.137497
19, 1.552364, 1288.357295
19, 1.570730, 1273.293152
19, 1.544146, 1295.213932
20, 1.596785, 1252.516442
20, 1.605532, 1245.692756
20, 1.604902, 1246.182397
20, 1.608564, 1243.345327
20, 1.595968, 1253.157603
21, 1.648742, 1213.046401
21, 1.640585, 1219.077293
21, 1.656790, 1207.153434
21, 1.647051, 1214.291268
21, 1.633674, 1224.234572
22, 1.746480, 1145.160439
22, 1.748213, 1144.025240
22, 1.735754, 1152.237155
22, 1.735881, 1152.152582
22, 1.748814, 1143.632354
23, 1.800422, 1110.850651
23, 1.797943, 1112.382380
23, 1.805648, 1107.635849
23, 1.808545, 1105.861511
23, 1.793971, 1114.845324
24, 1.814320, 1102.341313
24, 1.832936, 1091.145636
24, 1.850054, 1081.049638
24, 1.858935, 1075.884667
24, 1.822761, 1097.236471
25, 1.881341, 1063.071641
25, 1.871253, 1068.802326
25, 1.876465, 1065.834157
25, 1.894668, 1055.594075
25, 1.883601, 1061.796247
26, 1.943969, 1028.822860
26, 1.957217, 1021.859201
26, 1.940440, 1030.694087
26, 1.982626, 1008.763348
26, 1.976737, 1011.768146
27, 2.084955, 959.253417
27, 2.079060, 961.973139
27, 2.095865, 954.259844
27, 2.092970, 955.580048
27, 2.092441, 955.821377
28, 2.127300, 940.158770
28, 2.140407, 934.401881
28, 2.130507, 938.743831
28, 2.122219, 942.409960
28, 2.138904, 935.058509
29, 2.158662, 926.499692
29, 2.191899, 912.450921
29, 2.193846, 911.640923
29, 2.159926, 925.957594
29, 2.159203, 926.267647
30, 2.197636, 910.068952
30, 2.223118, 899.637463
30, 2.166466, 923.162489
30, 2.156833, 927.285567
30, 2.231961, 896.072957
31, 2.160284, 925.804276
31, 2.171718, 920.929865
31, 2.162527, 924.843762
31, 2.209159, 905.321714
31, 2.198867, 909.559230
32, 1.540593, 1298.200986
32, 1.547328, 1292.550897
32, 1.540504, 1298.276265
32, 1.545801, 1293.827231
32, 1.550772, 1289.680472
33, 1.583904, 1262.702888
33, 1.577643, 1267.713552
33, 1.593476, 1255.118061
33, 1.577074, 1268.171056
33, 1.575506, 1269.433779
34, 1.562814, 1279.742707
34, 1.561151, 1281.105857
34, 1.568192, 1275.353939
34, 1.577530, 1267.804622
34, 1.566648, 1276.610766
35, 1.608402, 1243.469973
35, 1.607115, 1244.465653
35, 1.618252, 1235.901708
35, 1.613079, 1239.865227
35, 1.613671, 1239.410178
36, 1.657257, 1206.813592
36, 1.650984, 1211.398434
36, 1.662836, 1202.764764
36, 1.661207, 1203.943876
36, 1.657245, 1206.822297
37, 1.654612, 1208.742931
37, 1.657979, 1206.287879
37, 1.648715, 1213.066147
37, 1.656963, 1207.027771
37, 1.656912, 1207.064657
38, 1.689457, 1183.812089
38, 1.673144, 1195.354389
38, 1.678022, 1191.879154
38, 1.669349, 1198.072049
38, 1.658698, 1205.765211
39, 1.689161, 1184.019474
39, 1.703520, 1174.039975
39, 1.700234, 1176.308647
39, 1.697588, 1178.141868
39, 1.692818, 1181.461803
40, 1.672271, 1195.978587
40, 1.673152, 1195.348431
40, 1.668157, 1198.928233
40, 1.663313, 1202.419158
40, 1.666630, 1200.026187
41, 1.633796, 1224.143209
41, 1.626913, 1229.322139
41, 1.641936, 1218.074402
41, 1.611582, 1241.016237
41, 1.642709, 1217.501168
42, 1.691654, 1182.274817
42, 1.702686, 1174.614479
42, 1.710864, 1169.000260
42, 1.698462, 1177.536107
42, 1.684558, 1187.254787
43, 1.719123, 1163.383635
43, 1.721619, 1161.696924
43, 1.723445, 1160.466388
43, 1.732460, 1154.427928
43, 1.715029, 1166.161309
44, 1.709918, 1169.647031
44, 1.704150, 1173.605626
44, 1.705134, 1172.928314
44, 1.706123, 1172.248672
44, 1.709848, 1169.694436
45, 1.653476, 1209.573356
45, 1.698677, 1177.386759
45, 1.665788, 1200.633136
45, 1.656744, 1207.187138
45, 1.673514, 1195.089754
46, 1.666475, 1200.137905
46, 1.674181, 1194.614090
46, 1.660317, 1204.589472
46, 1.658127, 1206.180588
46, 1.687248, 1185.362010
47, 1.700228, 1176.312928
47, 1.693081, 1181.278494
47, 1.721904, 1161.505039
47, 1.685247, 1186.769438
47, 1.723902, 1160.158932
48, 1.747324, 1144.607716
48, 1.719933, 1162.835887
48, 1.735213, 1152.596170
48, 1.719791, 1162.932126
48, 1.718039, 1164.117947
49, 1.707340, 1171.412593
49, 1.685053, 1186.906136
49, 1.685337, 1186.706337
49, 1.695717, 1179.442431
49, 1.663189, 1202.509474
50, 1.764021, 1133.773277
50, 1.764677, 1133.351820
50, 1.778927, 1124.273115
50, 1.763752, 1133.945962
50, 1.769472, 1130.280905
51, 1.689874, 1183.520416
51, 1.708844, 1170.381736
51, 1.709307, 1170.064742
51, 1.700715, 1175.975666
51, 1.719687, 1163.002417
52, 1.815230, 1101.788790
52, 1.810314, 1104.780833
52, 1.813191, 1103.027971
52, 1.791503, 1116.381181
52, 1.783373, 1121.470522
53, 1.790623, 1116.929408
53, 1.804065, 1108.607210
53, 1.802469, 1109.589175
53, 1.807080, 1106.757742
53, 1.789847, 1117.413706
54, 1.826265, 1095.131515
54, 1.849190, 1081.554422
54, 1.818319, 1099.916809
54, 1.828643, 1093.707472
54, 1.815254, 1101.774177
55, 1.805048, 1108.004071
55, 1.822099, 1097.634934
55, 1.818544, 1099.781153
55, 1.813524, 1102.825101
55, 1.809026, 1105.567014
56, 1.869719, 1069.679362
56, 1.852387, 1079.688246
56, 1.827847, 1094.183401
56, 1.851792, 1080.034978
56, 1.841105, 1086.304165
57, 1.834654, 1090.123517
57, 1.802781, 1109.396883
57, 1.814521, 1102.219394
57, 1.831843, 1091.796697
57, 1.852691, 1079.510991
58, 1.741711, 1148.295921
58, 1.725132, 1159.331513
58, 1.731071, 1155.354021
58, 1.711418, 1168.621353
58, 1.731555, 1155.031163
59, 1.803394, 1109.019791
59, 1.795016, 1114.196031
59, 1.794440, 1114.554048
59, 1.813263, 1102.984175
59, 1.797722, 1112.519227
60, 1.840045, 1086.930232
60, 1.803034, 1109.241213
60, 1.799378, 1111.495295
60, 1.819940, 1098.937198
60, 1.818881, 1099.577202
61, 1.782498, 1122.020671
61, 1.779711, 1123.777861
61, 1.781533, 1122.628815
61, 1.784556, 1120.726946
61, 1.785400, 1120.197326
62, 1.791181, 1116.581931
62, 1.805849, 1107.512118
62, 1.807084, 1106.755416
62, 1.784915, 1120.501273
62, 1.811003, 1104.360293
63, 1.798792, 1111.857259
63, 1.782135, 1122.249558
63, 1.809735, 1105.133958
63, 1.807555, 1106.466742
63, 1.813004, 1103.141689
64, 1.748796, 1143.643680
64, 1.740236, 1149.269605
64, 1.741626, 1148.352414
64, 1.728239, 1157.247223
64, 1.732279, 1154.548691
65, 1.849580, 1081.326342
65, 1.802299, 1109.694083
65, 1.817391, 1100.478387
65, 1.815669, 1101.522494
65, 1.833946, 1090.544362
66, 1.815637, 1101.541474
66, 1.824851, 1095.979657
66, 1.805293, 1107.853552
66, 1.815807, 1101.438714
66, 1.794925, 1114.252929
67, 1.775116, 1126.687147
67, 1.783310, 1121.509729
67, 1.744850, 1146.230479
67, 1.788919, 1117.993831
67, 1.815022, 1101.914788
68, 1.787457, 1118.908290
68, 1.797163, 1112.864864
