Size, Execution Time, GFLOPs
2000, 0.020231, 790.875511
2000, 0.018799, 851.111320
2000, 0.020123, 795.106517
2000, 0.019109, 837.280763
2000, 0.019190, 833.764459
2500, 0.024210, 1290.812550
2500, 0.027485, 1137.003252
2500, 0.024744, 1262.933092
2500, 0.025439, 1228.421837
2500, 0.025000, 1249.981450
3000, 0.033309, 1621.203517
3000, 0.036455, 1481.264107
3000, 0.034877, 1548.308116
3000, 0.038370, 1407.337315
3000, 0.034376, 1570.844658
3500, 0.047611, 1801.045715
3500, 0.047726, 1796.720527
3500, 0.053209, 1611.573560
3500, 0.049035, 1748.734309
3500, 0.046880, 1829.144351
4000, 0.063569, 2013.575653
4000, 0.065082, 1966.753658
4000, 0.067186, 1905.164938
4000, 0.065911, 1942.023233
4000, 0.064945, 1970.885616
4500, 0.082257, 2215.610821
4500, 0.082178, 2217.751997
4500, 0.083346, 2186.672113
4500, 0.085540, 2130.577551
4500, 0.083878, 2172.803873
5000, 0.102837, 2431.034658
5000, 0.108311, 2308.167485
5000, 0.102581, 2437.105140
5000, 0.101133, 2471.987976
5000, 0.101186, 2470.686442
5500, 0.133418, 2494.039545
5500, 0.131750, 2525.614168
5500, 0.137394, 2421.864466
5500, 0.132260, 2515.876333
5500, 0.134308, 2477.509629
6000, 0.200760, 2151.819203
6000, 0.200939, 2149.903762
6000, 0.197261, 2189.991507
6000, 0.204498, 2112.490428
6000, 0.205100, 2106.292624
6500, 0.291464, 1884.454998
6500, 0.293132, 1873.727209
6500, 0.288523, 1903.662175
6500, 0.297291, 1847.514337
6500, 0.307420, 1786.643250
7000, 0.439252, 1561.746222
7000, 0.435562, 1574.977228
7000, 0.439512, 1560.820355
7000, 0.432372, 1586.598341
7000, 0.434554, 1578.630262
7500, 0.580529, 1453.416685
7500, 0.561184, 1503.518332
7500, 0.556964, 1514.910416
7500, 0.561018, 1503.962702
7500, 0.565497, 1492.050744
8000, 0.719758, 1422.701143
8000, 0.718165, 1425.855772
8000, 0.723354, 1415.628625
8000, 0.736190, 1390.944382
8000, 0.719155, 1423.892991
8500, 0.851001, 1443.300824
8500, 0.848256, 1447.970460
8500, 0.853413, 1439.220581
8500, 0.852482, 1440.792978
8500, 0.842866, 1457.230202
9000, 1.004897, 1450.894722
9000, 1.000890, 1456.703391
9000, 1.006077, 1449.193276
9000, 1.007240, 1447.519253
9000, 1.005596, 1449.887053
9500, 1.160355, 1477.780498
9500, 1.158838, 1479.714436
9500, 1.146598, 1495.510436
9500, 1.161731, 1476.030270
9500, 1.161611, 1476.183125
10000, 1.323365, 1511.298686
10000, 1.332682, 1500.733586
10000, 1.324802, 1509.659606
10000, 1.345886, 1486.010415
10000, 1.344162, 1487.915655
10500, 1.525783, 1517.417633
10500, 1.489711, 1554.160582
10500, 1.518396, 1524.799619
10500, 1.502211, 1541.228040
10500, 1.523311, 1519.880105
11000, 1.668379, 1595.560920
11000, 1.663460, 1600.279370
11000, 1.649115, 1614.199484
11000, 1.663366, 1600.369813
11000, 1.656841, 1606.672022
11500, 1.841489, 1651.788544
11500, 1.840373, 1652.789682
11500, 1.841336, 1651.925802
11500, 1.849035, 1645.047298
11500, 1.852876, 1641.636945
12000, 2.093986, 1650.440694
12000, 2.118002, 1631.726484
12000, 2.103823, 1642.723681
12000, 2.090921, 1652.859863
12000, 2.093714, 1650.655059
12500, 2.303844, 1695.536058
12500, 2.308872, 1691.843585
12500, 2.309406, 1691.452279
12500, 2.314587, 1687.666370
12500, 2.318075, 1685.126532
13000, 2.470146, 1778.842005
13000, 2.453923, 1790.602189
13000, 2.460272, 1785.981252
13000, 2.631914, 1669.507563
13000, 2.615475, 1680.001004
13500, 2.916510, 1687.205182
13500, 2.912618, 1689.459671
13500, 2.869937, 1714.584849
13500, 2.853541, 1724.436138
13500, 2.649887, 1856.965660
14000, 3.243906, 1691.787813
14000, 3.240186, 1693.729945
14000, 3.245234, 1691.095296
14000, 3.234362, 1696.779673
14000, 3.254056, 1686.510638
14500, 3.545050, 1719.933403
14500, 2.993159, 2037.062047
14500, 3.574837, 1705.602216
14500, 3.535419, 1724.618848
14500, 3.528118, 1728.187660
15000, 3.881613, 1738.967893
15000, 3.887053, 1736.534052
15000, 3.904247, 1728.886729
15000, 3.876650, 1741.194179
15000, 3.883334, 1738.197245
15500, 4.227599, 1761.697270
15500, 4.206415, 1770.569579
15500, 4.230630, 1760.435283
15500, 4.233997, 1759.035148
15500, 4.251678, 1751.719964
16000, 3.713274, 2206.139248
16000, 5.010207, 1635.062234
16000, 4.998381, 1638.930562
16000, 4.925006, 1663.348144
16000, 4.944298, 1656.858069
16500, 5.386861, 1667.807913
16500, 5.351031, 1678.975389
16500, 5.511290, 1630.153668
16500, 5.388656, 1667.252546
16500, 5.381001, 1669.624359
17000, 5.343323, 1838.930492
17000, 6.013125, 1634.092224
17000, 5.862788, 1675.994484
17000, 5.904357, 1664.194695
17000, 5.870802, 1673.706548
17500, 5.703814, 1879.224935
17500, 6.262589, 1711.552401
17500, 6.246543, 1715.949040
17500, 6.275077, 1708.146430
17500, 6.153400, 1741.923034
18000, 6.106992, 1909.942038
18000, 6.155595, 1894.861457
18000, 6.161716, 1892.979231
18000, 6.149592, 1896.711158
18000, 6.162708, 1892.674477
18500, 6.499084, 1948.466968
18500, 6.539929, 1936.297763
18500, 6.508344, 1945.694601
18500, 6.523655, 1941.128017
18500, 6.524971, 1940.736455
19000, 7.768421, 1765.867179
19000, 7.781583, 1762.880422
19000, 7.769434, 1765.636873
19000, 7.534688, 1820.646047
19000, 7.631926, 1797.449355
19500, 8.301312, 1786.434517
19500, 8.224486, 1803.121766
19500, 7.203010, 2058.826783
19500, 7.291115, 2033.948196
19500, 7.321144, 2025.605697
20000, 7.721513, 2072.132721
20000, 8.907278, 1796.283879
20000, 7.732054, 2069.307926
20000, 7.708475, 2075.637593
20000, 7.699583, 2078.034632
