Size, Execution Time, GFLOPs
2000, 0.019281, 829.838546
2000, 0.018510, 864.380718
2000, 0.018744, 853.595968
2000, 0.018461, 866.685889
2000, 0.018599, 860.270648
2500, 0.026007, 1201.597952
2500, 0.025241, 1238.069124
2500, 0.024466, 1277.277905
2500, 0.024835, 1258.311550
2500, 0.025029, 1248.562156
3000, 0.033403, 1616.626585
3000, 0.035367, 1526.836139
3000, 0.035020, 1541.973636
3000, 0.035060, 1540.237990
3000, 0.035697, 1512.750046
3500, 0.047853, 1791.958489
3500, 0.047610, 1801.097693
3500, 0.046503, 1843.948499
3500, 0.047802, 1793.854508
3500, 0.045346, 1891.024169
4000, 0.062089, 2061.541425
4000, 0.060263, 2124.011789
4000, 0.062654, 2042.979403
4000, 0.062444, 2049.845221
4000, 0.063846, 2004.814688
4500, 0.073158, 2491.176860
4500, 0.074315, 2452.395835
4500, 0.073969, 2463.861206
4500, 0.073636, 2474.997198
4500, 0.073466, 2480.722878
5000, 0.103901, 2406.142609
5000, 0.095955, 2605.379824
5000, 0.104164, 2400.057018
5000, 0.099266, 2518.485025
5000, 0.102863, 2430.411415
5500, 0.118652, 2804.426549
5500, 0.122140, 2724.324458
5500, 0.123364, 2697.294705
5500, 0.119556, 2783.203503
5500, 0.129550, 2568.496832
6000, 0.147369, 2931.421769
6000, 0.156861, 2754.032798
6000, 0.155199, 2783.514606
6000, 0.154394, 2798.030992
6000, 0.149060, 2898.169047
6500, 0.171624, 3200.315779
6500, 0.169595, 3238.593940
6500, 0.183024, 3000.970386
6500, 0.179499, 3059.901364
6500, 0.183447, 2994.050412
7000, 0.232420, 2951.553248
7000, 0.245298, 2796.596337
7000, 0.236020, 2906.531731
7000, 0.234710, 2922.755318
7000, 0.228991, 2995.750192
7500, 0.276766, 3048.603068
7500, 0.269223, 3134.014761
7500, 0.271335, 3109.620657
7500, 0.275721, 3060.156186
7500, 0.271626, 3106.292183
8000, 0.385237, 2658.102558
8000, 0.389236, 2630.794658
8000, 0.394647, 2594.725727
8000, 0.380842, 2688.780260
8000, 0.388754, 2634.058673
8500, 0.468065, 2624.103153
8500, 0.455686, 2695.388433
8500, 0.457344, 2685.617477
8500, 0.464529, 2644.078803
8500, 0.458124, 2681.042880
9000, 0.644773, 2261.261768
9000, 0.651501, 2237.908020
9000, 0.628260, 2320.695084
9000, 0.637922, 2285.547645
9000, 0.653130, 2232.325918
9500, 0.828338, 2070.109364
9500, 0.810286, 2116.228186
9500, 0.815708, 2102.160313
9500, 0.819269, 2093.025158
9500, 0.835649, 2051.997483
10000, 1.136048, 1760.489144
10000, 1.111395, 1799.540954
10000, 1.111682, 1799.076184
10000, 1.101831, 1815.161116
10000, 1.123862, 1779.578547
10500, 1.324023, 1748.647847
10500, 1.346029, 1720.058989
10500, 1.334285, 1735.198474
10500, 1.321879, 1751.484173
10500, 1.340211, 1727.527033
11000, 1.731306, 1537.567974
11000, 1.716163, 1551.135116
11000, 1.729710, 1538.986019
11000, 1.714116, 1552.986793
11000, 1.737599, 1531.998657
11500, 1.871567, 1625.241994
11500, 1.888084, 1611.024816
11500, 1.862097, 1633.508215
11500, 1.878637, 1619.125840
11500, 1.876726, 1620.774963
12000, 2.110072, 1637.858623
12000, 2.274105, 1519.718819
12000, 2.114158, 1634.693654
12000, 2.262268, 1527.670455
12000, 2.086393, 1656.447274
12500, 2.520359, 1549.878469
12500, 2.480102, 1575.036141
12500, 2.503051, 1560.595384
12500, 2.448151, 1595.592032
12500, 2.464350, 1585.103774
13000, 2.766682, 1588.184062
13000, 2.432010, 1806.736134
13000, 2.798142, 1570.327851
13000, 2.814743, 1561.066317
13000, 2.440752, 1800.264754
13500, 3.104410, 1585.083790
13500, 3.078678, 1598.331913
13500, 3.102430, 1586.095572
13500, 3.122403, 1575.949880
13500, 3.095744, 1589.520879
14000, 3.393560, 1617.180951
14000, 3.430072, 1599.966311
14000, 3.404679, 1611.899560
14000, 3.485022, 1574.738835
14000, 3.432899, 1598.648768
14500, 3.688603, 1652.997102
14500, 3.708927, 1643.939041
14500, 3.725205, 1636.755654
14500, 3.764143, 1619.824315
14500, 3.724667, 1636.992040
15000, 4.124756, 1636.460458
15000, 4.101877, 1645.587984
15000, 4.054882, 1664.660189
15000, 4.024534, 1677.212860
15000, 4.081132, 1653.952990
15500, 4.347135, 1713.254735
15500, 4.379730, 1700.504493
15500, 4.336904, 1717.296359
15500, 4.352324, 1711.212058
15500, 4.341819, 1715.352370
16000, 5.040727, 1625.162307
16000, 5.059966, 1618.983066
16000, 5.048534, 1622.649286
16000, 5.062063, 1618.312620
16000, 4.695595, 1744.614004
16500, 4.943263, 1817.473683
16500, 5.417805, 1658.282306
16500, 5.416943, 1658.546028
16500, 5.425050, 1656.067551
16500, 4.953468, 1813.729384
17000, 6.033935, 1628.456432
17000, 5.396889, 1820.678414
17000, 6.040871, 1626.586732
17000, 5.427257, 1810.491018
17000, 6.024305, 1631.059502
17500, 5.746171, 1865.372719
17500, 5.773951, 1856.397801
17500, 5.757668, 1861.647810
17500, 5.773911, 1856.410670
17500, 5.740496, 1867.216582
18000, 6.188622, 1884.749183
18000, 6.222610, 1874.454490
18000, 6.221966, 1874.648590
18000, 6.191870, 1883.760600
18000, 6.191734, 1883.801836
18500, 6.491233, 1950.823504
18500, 7.377461, 1716.477982
18500, 6.493345, 1950.189041
18500, 7.309888, 1732.345167
18500, 6.489786, 1951.258446
19000, 6.872029, 1996.208234
19000, 8.004306, 1713.827465
19000, 7.561743, 1814.131997
19000, 8.050568, 1703.979088
19000, 8.029923, 1708.360065
19500, 7.175274, 2066.785048
19500, 8.306923, 1785.227898
19500, 7.170229, 2068.239427
19500, 8.343764, 1777.345251
19500, 7.116632, 2083.815866
20000, 9.221469, 1735.081446
20000, 7.546426, 2120.208872
20000, 9.185595, 1741.857686
20000, 7.530010, 2124.831189
20000, 7.586027, 2109.141011
