Size, Execution Time, GFLOPs
2000, 0.024265, 659.381952
2000, 0.026294, 608.511525
2000, 0.024404, 655.622380
2000, 0.026709, 599.048875
2000, 0.025680, 623.056939
2500, 0.033703, 927.203544
2500, 0.034845, 896.819059
2500, 0.033193, 941.464753
2500, 0.032587, 958.977784
2500, 0.034127, 915.687831
3000, 0.043327, 1246.335974
3000, 0.043972, 1228.053351
3000, 0.044720, 1207.521949
3000, 0.042648, 1266.168295
3000, 0.042744, 1263.345934
3500, 0.061513, 1394.022726
3500, 0.056370, 1521.212443
3500, 0.057197, 1499.208173
3500, 0.058570, 1464.062549
3500, 0.058595, 1463.427230
4000, 0.079205, 1616.059551
4000, 0.077691, 1647.544807
4000, 0.075353, 1698.676207
4000, 0.079428, 1611.523623
4000, 0.074535, 1717.311917
4500, 0.100947, 1805.408809
4500, 0.094327, 1932.112449
4500, 0.098319, 1853.654803
4500, 0.096229, 1893.914871
4500, 0.090426, 2015.454984
5000, 0.125222, 1996.448637
5000, 0.125312, 1995.013535
5000, 0.124499, 2008.040370
5000, 0.122754, 2036.594375
5000, 0.126886, 1970.265354
5500, 0.172543, 1928.508400
5500, 0.174684, 1904.870498
5500, 0.172083, 1933.659684
5500, 0.159435, 2087.050994
5500, 0.174643, 1905.319201
6000, 0.268464, 1609.154881
6000, 0.240111, 1799.169541
6000, 0.247545, 1745.136345
6000, 0.246596, 1751.854107
6000, 0.233564, 1849.601052
6500, 0.360915, 1521.828497
6500, 0.346116, 1586.894728
6500, 0.372170, 1475.805555
6500, 0.369081, 1488.153725
6500, 0.371300, 1479.262981
7000, 0.491086, 1396.902872
7000, 0.488546, 1404.167725
7000, 0.503101, 1363.543337
7000, 0.475692, 1442.108985
7000, 0.476086, 1440.915066
7500, 0.633042, 1332.849102
7500, 0.644355, 1309.449297
7500, 0.641882, 1314.494664
7500, 0.643304, 1311.587434
7500, 0.634091, 1330.644838
8000, 0.808077, 1267.205624
8000, 0.801273, 1277.966934
8000, 0.815356, 1255.892786
8000, 0.808362, 1266.759004
8000, 0.812993, 1259.543668
8500, 1.032609, 1189.462843
8500, 1.029647, 1192.884727
8500, 1.031559, 1190.673868
