Size, Execution Time, GFLOPs
2000, 0.026923, 594.285183
2000, 0.027289, 586.318571
2000, 0.027154, 589.242574
2000, 0.028102, 569.344648
2000, 0.027849, 574.532916
2500, 0.039918, 782.858971
2500, 0.039767, 785.828492
2500, 0.037658, 829.834089
2500, 0.038601, 809.557535
2500, 0.039481, 791.525986
3000, 0.060476, 892.913496
3000, 0.058394, 924.751308
3000, 0.057613, 937.294918
3000, 0.061468, 878.503545
3000, 0.060922, 886.382593
3500, 0.076265, 1124.372633
3500, 0.071439, 1200.318687
3500, 0.072912, 1176.081656
3500, 0.067602, 1268.458981
3500, 0.069277, 1237.784224
4000, 0.088993, 1438.308100
4000, 0.096012, 1333.161356
4000, 0.097593, 1311.570862
4000, 0.091514, 1398.694395
4000, 0.097106, 1318.146039
4500, 0.104198, 1749.076111
4500, 0.111742, 1630.995432
4500, 0.111883, 1628.933579
4500, 0.106317, 1714.213542
4500, 0.120133, 1517.071512
5000, 0.140104, 1784.388511
5000, 0.139522, 1791.837827
5000, 0.151869, 1646.157671
5000, 0.145384, 1719.580521
5000, 0.139937, 1786.523019
5500, 0.170362, 1953.190394
5500, 0.164975, 2016.972171
5500, 0.160211, 2076.951882
5500, 0.171968, 1934.953082
5500, 0.164092, 2027.830785
6000, 0.205056, 2106.739241
6000, 0.196814, 2194.960352
6000, 0.204469, 2112.785188
6000, 0.195301, 2211.967183
6000, 0.197584, 2186.407318
6500, 0.230961, 2378.110617
6500, 0.242912, 2261.110384
6500, 0.247023, 2223.479443
6500, 0.242929, 2260.946718
6500, 0.236387, 2323.519454
7000, 0.286129, 2397.523980
7000, 0.302856, 2265.100801
7000, 0.301083, 2278.442832
7000, 0.289632, 2368.520206
7000, 0.289615, 2368.660397
7500, 0.370820, 2275.364802
7500, 0.382461, 2206.105842
7500, 0.377815, 2233.236091
7500, 0.379905, 2220.947881
7500, 0.369414, 2284.023280
8000, 0.504765, 2028.665081
8000, 0.485615, 2108.666000
8000, 0.494691, 2069.978309
8000, 0.492525, 2079.082782
8000, 0.507170, 2019.048854
8500, 0.635169, 1933.736754
8500, 0.655413, 1874.009198
8500, 0.651041, 1886.594929
8500, 0.641545, 1914.519752
8500, 0.638619, 1923.291888
9000, 0.864313, 1686.889660
9000, 0.821811, 1774.130734
9000, 0.842408, 1730.752813
9000, 0.819055, 1780.101192
9000, 0.867169, 1681.333794
9500, 1.067213, 1606.755034
9500, 1.084135, 1581.675650
9500, 1.075187, 1594.838574
9500, 1.130909, 1516.257534
9500, 1.085356, 1579.896500
10000, 1.330995, 1502.635375
10000, 1.390313, 1438.525296
10000, 1.306577, 1530.716913
10000, 1.340096, 1492.430254
10000, 1.302860, 1535.084142
10500, 1.677199, 1380.426729
10500, 1.667227, 1388.682902
10500, 1.647135, 1405.622720
10500, 1.692934, 1367.596333
10500, 1.670449, 1386.004400
11000, 2.238774, 1189.043502
11000, 2.086084, 1276.075228
11000, 2.117270, 1257.279474
11000, 2.126624, 1251.749462
11000, 2.046621, 1300.680796
11500, 2.371058, 1282.866306
11500, 2.357245, 1290.383494
11500, 2.366692, 1285.232668
11500, 2.420711, 1256.552397
11500, 2.354653, 1291.803972
12000, 2.458923, 1405.493638
12000, 2.693471, 1283.102908
12000, 2.478749, 1394.251810
12000, 2.788589, 1239.336605
12000, 2.523120, 1369.732594
12500, 3.292613, 1186.367890
12500, 3.222194, 1212.295049
12500, 3.244305, 1204.033093
12500, 3.412890, 1144.557731
12500, 3.160108, 1236.112881
13000, 2.789915, 1574.958570
13000, 3.551985, 1237.054707
13000, 2.778498, 1581.429760
13000, 2.759326, 1592.417911
13000, 3.566430, 1232.044409
13500, 4.161016, 1182.583876
13500, 4.243406, 1159.622650
13500, 4.192370, 1173.739491
13500, 4.098746, 1200.550105
13500, 4.124193, 1193.142420
14000, 4.453541, 1232.277862
14000, 4.450044, 1233.246311
14000, 4.480724, 1224.802117
14000, 4.406712, 1245.372872
14000, 4.504214, 1218.414453
14500, 4.378600, 1392.511433
14500, 3.312460, 1840.701317
14500, 5.016994, 1215.319332
14500, 3.278477, 1859.781196
14500, 3.307718, 1843.340382
15000, 5.432819, 1242.448982
15000, 5.404230, 1249.021666
15000, 5.588367, 1207.866232
15000, 5.338163, 1264.480007
15000, 5.340610, 1263.900582
15500, 5.730958, 1299.564672
15500, 5.751645, 1294.890510
15500, 5.765339, 1291.814868
15500, 5.675109, 1312.353696
15500, 5.669515, 1313.648501
16000, 6.391957, 1281.610550
16000, 6.425188, 1274.982084
16000, 6.369480, 1286.133305
16000, 6.434927, 1273.052441
16000, 6.457089, 1268.683077
16500, 7.037564, 1276.613638
16500, 6.395913, 1404.685991
16500, 7.173788, 1252.371817
16500, 7.067700, 1271.170278
16500, 7.014330, 1280.842131
17000, 7.651080, 1284.263061
17000, 7.732106, 1270.805212
17000, 7.625577, 1288.558170
17000, 7.613760, 1290.558129
17000, 7.687252, 1278.220104
17500, 6.628614, 1617.042383
17500, 6.546969, 1637.208087
17500, 8.361288, 1281.949598
17500, 7.243321, 1479.811608
17500, 7.245815, 1479.302256
18000, 6.887857, 1693.415052
18000, 7.030223, 1659.122357
18000, 6.895704, 1691.487977
18000, 6.543581, 1782.510228
18000, 6.830979, 1707.515071
18500, 8.227282, 1539.177913
18500, 8.207671, 1542.855376
18500, 8.202549, 1543.818796
18500, 8.209689, 1542.476230
18500, 9.739350, 1300.215049
19000, 7.552870, 1816.263267
19000, 7.558987, 1814.793529
19000, 6.866941, 1997.687050
19000, 7.419701, 1848.861489
19000, 7.483373, 1833.130624
19500, 9.019625, 1644.164886
19500, 9.032092, 1641.895451
19500, 9.032727, 1641.779896
19500, 9.035471, 1641.281297
19500, 9.017511, 1644.550296
20000, 12.021404, 1330.959318
20000, 12.050136, 1327.785873
20000, 9.087623, 1760.636327
20000, 9.549921, 1675.406497
20000, 9.559758, 1673.682556
