Size, Execution Time, GFLOPs
2000, 0.022030, 726.292266
2000, 0.022148, 722.398801
2000, 0.022821, 701.117845
2000, 0.022439, 713.052102
2000, 0.022713, 704.433334
2500, 0.033375, 936.332337
2500, 0.033432, 934.744178
2500, 0.035531, 879.521709
2500, 0.034039, 918.063305
2500, 0.034081, 916.926597
3000, 0.047338, 1140.742363
3000, 0.053447, 1010.342975
3000, 0.045645, 1183.051862
3000, 0.045253, 1193.298621
3000, 0.045988, 1174.220536
3500, 0.064585, 1327.700045
3500, 0.070482, 1216.626930
3500, 0.059461, 1442.111832
3500, 0.059853, 1432.686275
3500, 0.060161, 1425.351239
4000, 0.086144, 1485.882583
4000, 0.079128, 1617.630228
4000, 0.078551, 1629.515101
4000, 0.078365, 1633.390483
4000, 0.080024, 1599.521783
4500, 0.103372, 1763.050024
4500, 0.104282, 1747.670801
4500, 0.114060, 1597.838926
4500, 0.105140, 1733.395926
4500, 0.105637, 1725.255377
5000, 0.131195, 1905.567296
5000, 0.139729, 1789.178672
5000, 0.141359, 1768.542271
5000, 0.130539, 1915.141798
5000, 0.150388, 1662.367364
5500, 0.181333, 1835.017596
5500, 0.180408, 1844.434338
5500, 0.175116, 1900.172275
5500, 0.175936, 1891.310622
5500, 0.177869, 1870.754158
6000, 0.263660, 1638.476396
6000, 0.246261, 1754.234778
6000, 0.268928, 1606.376709
6000, 0.266119, 1623.333965
6000, 0.243427, 1774.661013
6500, 0.329089, 1669.003748
6500, 0.338102, 1624.508303
6500, 0.358795, 1530.817180
6500, 0.336439, 1632.539065
6500, 0.336428, 1632.593118
7000, 0.450137, 1523.981540
7000, 0.429494, 1597.228013
7000, 0.444872, 1542.016407
7000, 0.440263, 1558.160726
7000, 0.438139, 1565.712242
7500, 0.535247, 1576.373697
7500, 0.535735, 1574.938594
7500, 0.530988, 1589.020254
7500, 0.536684, 1572.153561
7500, 0.538488, 1566.887628
8000, 0.631353, 1621.913355
8000, 0.626687, 1633.990711
8000, 0.635075, 1612.408463
8000, 0.656400, 1560.024817
8000, 0.628810, 1628.472441
8500, 0.758888, 1618.487326
8500, 0.747191, 1643.824114
8500, 0.764804, 1605.966175
8500, 0.745152, 1648.321020
8500, 0.766303, 1602.825581
9000, 0.873954, 1668.280249
9000, 0.881021, 1654.897953
9000, 0.882915, 1651.347940
9000, 0.861700, 1692.004270
9000, 0.877223, 1662.063721
9500, 0.986996, 1737.341888
9500, 0.976655, 1755.737213
9500, 0.974450, 1759.710422
9500, 0.974396, 1759.808801
9500, 0.996845, 1720.177461
10000, 1.111879, 1798.757599
10000, 1.113952, 1795.409864
10000, 1.108960, 1803.490886
10000, 1.115668, 1792.647545
10000, 1.130145, 1769.685199
10500, 1.307851, 1770.270615
10500, 1.251516, 1849.956902
10500, 1.282295, 1805.551820
10500, 1.280450, 1808.153056
10500, 1.308720, 1769.094826
11000, 1.559741, 1706.693800
11000, 1.484323, 1793.409851
11000, 1.532628, 1736.886368
11000, 1.561484, 1704.788733
11000, 1.481614, 1796.689386
11500, 1.680555, 1809.967595
11500, 1.620032, 1877.585849
11500, 1.686383, 1803.712814
11500, 1.655991, 1836.815719
11500, 1.631486, 1864.405167
12000, 1.844128, 1874.056158
12000, 1.899884, 1819.058270
12000, 1.911444, 1808.057503
12000, 1.862942, 1855.130430
12000, 1.817828, 1901.170347
12500, 2.045639, 1909.550158
12500, 2.032894, 1921.521441
12500, 2.045852, 1909.351096
12500, 2.120328, 1842.285664
12500, 2.066929, 1889.881097
13000, 2.242328, 1959.570589
13000, 2.259943, 1944.296777
13000, 2.192684, 2003.937030
13000, 2.234179, 1966.717734
13000, 2.241602, 1960.205062
13500, 2.468614, 1993.325193
13500, 2.475253, 1987.978502
13500, 2.474960, 1988.213753
13500, 2.514375, 1957.046616
13500, 2.492361, 1974.333031
14000, 2.748676, 1996.597631
14000, 2.737730, 2004.580173
14000, 2.735089, 2006.515734
14000, 2.787891, 1968.513065
14000, 2.718751, 2018.573920
14500, 3.023749, 2016.453761
14500, 3.012769, 2023.803005
14500, 2.843409, 2144.345221
14500, 3.037231, 2007.503008
14500, 2.958850, 2060.682105
15000, 3.334821, 2024.096656
15000, 3.318701, 2033.928393
15000, 3.326846, 2028.948898
15000, 3.357566, 2010.384639
15000, 3.283269, 2055.877651
15500, 3.522451, 2114.365904
15500, 3.661212, 2034.231011
15500, 3.542958, 2102.127852
15500, 3.584070, 2078.014554
15500, 3.649249, 2040.899247
16000, 3.941799, 2078.238901
16000, 3.930908, 2083.996802
16000, 3.941921, 2078.174439
16000, 3.928074, 2085.500423
16000, 3.547075, 2309.508398
16500, 4.329435, 2075.155254
16500, 4.424652, 2030.498475
16500, 4.422368, 2031.547541
16500, 4.372963, 2054.499498
16500, 4.382414, 2050.068593
17000, 4.688445, 2095.790828
17000, 4.681294, 2098.992077
17000, 4.817440, 2039.672546
17000, 4.656421, 2110.204274
17000, 4.677323, 2100.774380
17500, 5.042076, 2125.860530
17500, 4.930746, 2173.859909
17500, 5.012166, 2138.546625
17500, 5.024540, 2133.279747
17500, 4.775652, 2244.458079
18000, 5.371805, 2171.337108
18000, 5.242513, 2224.887133
18000, 4.936055, 2363.020677
18000, 5.526360, 2110.611519
18000, 5.487483, 2125.564637
18500, 4.944683, 2560.983308
18500, 5.640127, 2245.206374
18500, 5.273711, 2401.202818
18500, 5.294277, 2391.875130
18500, 5.248687, 2412.651221
19000, 6.406997, 2141.096524
19000, 6.276100, 2185.752292
19000, 6.167023, 2224.411899
19000, 6.319611, 2170.703250
19000, 6.214838, 2207.298252
19500, 6.341267, 2338.609809
19500, 5.572121, 2661.419381
19500, 6.776575, 2188.384341
19500, 6.252930, 2371.648179
19500, 6.781207, 2186.889575
20000, 6.681438, 2394.694082
20000, 6.651057, 2405.632849
20000, 6.713997, 2383.081319
20000, 6.849217, 2336.033344
20000, 7.056768, 2267.326928
