Size, Execution Time, GFLOPs
2000, 0.041435, 386.148515
2000, 0.033936, 471.476441
2000, 0.035064, 456.305029
2000, 0.034467, 464.211647
2000, 0.035110, 455.714660
2500, 0.059391, 526.169844
2500, 0.062985, 496.152035
2500, 0.059919, 521.536878
2500, 0.060238, 518.771493
2500, 0.061133, 511.183350
3000, 0.092598, 583.165760
3000, 0.097137, 555.918550
3000, 0.093587, 577.001767
3000, 0.094031, 574.275904
3000, 0.096106, 561.878656
3500, 0.132424, 647.541070
3500, 0.135188, 634.299890
3500, 0.137276, 624.656243
3500, 0.139091, 616.503224
3500, 0.134718, 636.513443
4000, 0.170481, 750.815397
4000, 0.175029, 731.309443
4000, 0.180743, 708.186259
4000, 0.185781, 688.982575
4000, 0.183106, 699.047650
4500, 0.238511, 764.114942
4500, 0.246264, 740.059451
4500, 0.250973, 726.174334
4500, 0.242455, 751.685805
4500, 0.248016, 734.831396
5000, 0.301435, 829.366201
5000, 0.306566, 815.484197
5000, 0.310082, 806.239398
5000, 0.304808, 820.189431
5000, 0.305296, 818.876661
5500, 0.391647, 849.617258
5500, 0.388291, 856.960957
5500, 0.381618, 871.944325
5500, 0.399111, 833.728313
5500, 0.390624, 851.842200
6000, 0.466049, 926.941194
6000, 0.469046, 921.018702
6000, 0.466154, 926.731912
6000, 0.464879, 929.274595
6000, 0.467753, 923.565150
6500, 0.577482, 951.111353
6500, 0.590932, 929.464679
6500, 0.590886, 929.536227
6500, 0.597005, 920.008695
6500, 0.595897, 921.719509
7000, 0.732669, 936.302995
7000, 0.700114, 979.839924
7000, 0.699837, 980.228353
7000, 0.731168, 938.224412
7000, 0.736211, 931.797961
7500, 0.881362, 957.325422
7500, 0.896560, 941.097079
7500, 0.877893, 961.108471
7500, 0.883051, 955.494491
7500, 0.901928, 935.495921
8000, 1.023058, 1000.920302
8000, 1.019677, 1004.239641
8000, 1.020021, 1003.900601
8000, 1.002694, 1021.248840
8000, 1.012341, 1011.516899
8500, 1.205458, 1018.907227
8500, 1.181298, 1039.745899
8500, 1.178178, 1042.499592
8500, 1.195055, 1027.776802
8500, 1.201907, 1021.917486
9000, 1.344242, 1084.625947
9000, 1.348354, 1081.318745
9000, 1.318634, 1105.689301
9000, 1.341966, 1086.465862
9000, 1.359208, 1072.683137
9500, 1.510093, 1135.526076
9500, 1.504509, 1139.740484
9500, 1.498707, 1144.153014
9500, 1.516031, 1131.078746
9500, 1.513417, 1133.032278
10000, 1.696214, 1179.096464
10000, 1.665914, 1200.542408
10000, 1.634319, 1223.751514
10000, 1.650130, 1212.025650
10000, 1.678546, 1191.507572
10500, 1.929775, 1199.751474
10500, 1.951725, 1186.258311
10500, 1.936165, 1195.791543
10500, 1.926707, 1201.661780
10500, 1.928634, 1200.460846
11000, 2.272861, 1171.211051
11000, 2.259793, 1177.984235
11000, 2.280729, 1167.170429
11000, 1.873904, 1420.563828
11000, 2.078929, 1280.466829
11500, 2.337689, 1301.177978
11500, 2.346356, 1296.371845
11500, 2.343527, 1297.936594
11500, 2.321222, 1310.408955
11500, 2.315617, 1313.580799
12000, 2.633316, 1312.413879
12000, 2.577456, 1340.856903
12000, 2.603493, 1327.447556
12000, 2.057404, 1679.786359
12000, 2.603375, 1327.507442
12500, 2.905775, 1344.305514
12500, 2.902856, 1345.657526
12500, 2.902211, 1345.956573
12500, 2.879936, 1356.367139
12500, 2.915699, 1339.730099
13000, 3.166737, 1387.548258
13000, 2.291437, 1917.574248
13000, 3.169907, 1386.160703
13000, 3.305492, 1329.302834
13000, 2.482285, 1770.143394
13500, 3.392794, 1450.353378
13500, 3.390634, 1451.277437
13500, 3.392647, 1450.416173
13500, 3.448079, 1427.098963
13500, 3.410868, 1442.667934
