Cores, Execution Time, GFLOPs
1, 30.381533, 65.829463
1, 30.457474, 65.665327
1, 30.754888, 65.030312
1, 30.677217, 65.194963
1, 30.681862, 65.185093
2, 17.891579, 111.784433
2, 17.936065, 111.507179
2, 17.945351, 111.449476
2, 18.410968, 108.630898
2, 17.913687, 111.646477
3, 11.634423, 171.903672
3, 11.632846, 171.926976
3, 11.643496, 171.769716
3, 11.635307, 171.890614
3, 11.645055, 171.746714
4, 9.090546, 220.008780
4, 9.136830, 218.894288
4, 8.877201, 225.296236
4, 9.663158, 206.971676
4, 8.875520, 225.338906
5, 6.771140, 295.371222
5, 6.800012, 294.117113
5, 6.810180, 293.677980
5, 6.785275, 294.755903
5, 6.784511, 294.789127
6, 6.215040, 321.800001
6, 6.185934, 323.314155
6, 6.196799, 322.747251
6, 6.198685, 322.649058
6, 6.195169, 322.832169
7, 4.646950, 430.389870
7, 4.656852, 429.474693
7, 4.656593, 429.498535
7, 4.659127, 429.264931
7, 4.655713, 429.579703
8, 4.223875, 473.498883
8, 4.226573, 473.196644
8, 4.229065, 472.917796
8, 4.229937, 472.820228
8, 4.227305, 473.114686
9, 3.887252, 514.502247
9, 3.905929, 512.042034
9, 3.899742, 512.854416
9, 3.893412, 513.688235
9, 3.901142, 512.670335
10, 3.686527, 542.516017
10, 3.690991, 541.859904
10, 3.687801, 542.328673
10, 3.683806, 542.916814
10, 3.683877, 542.906355
11, 3.029948, 660.077255
11, 3.029236, 660.232394
11, 3.034025, 659.190259
11, 3.035808, 658.803274
11, 3.054146, 654.847601
12, 2.867215, 697.540988
12, 2.871055, 696.607951
12, 2.878748, 694.746349
12, 2.873804, 695.941726
12, 2.869420, 697.004945
13, 2.864348, 698.239234
13, 2.871665, 696.460161
13, 2.868148, 697.314185
13, 2.874090, 695.872393
13, 2.871901, 696.402732
14, 2.758926, 724.919645
14, 2.764225, 723.530171
14, 2.761779, 724.171010
14, 2.761943, 724.127797
14, 2.757127, 725.392854
15, 2.409514, 830.042873
15, 2.400802, 833.055100
15, 2.407069, 830.885904
15, 2.364964, 845.678714
15, 2.368979, 844.245540
16, 2.252547, 887.883790
16, 2.256379, 886.375890
16, 2.256607, 886.286424
16, 2.256305, 886.404824
16, 2.255221, 886.831233
17, 2.254519, 887.107113
17, 2.257209, 886.050152
17, 2.255873, 886.574905
17, 2.246110, 890.428529
17, 2.254790, 887.000393
18, 2.077752, 962.578839
18, 2.074087, 964.279657
18, 2.062830, 969.541981
18, 2.065028, 968.509950
18, 2.076264, 963.268840
19, 2.065211, 968.424214
19, 2.075693, 963.533837
19, 2.066937, 967.615234
19, 2.061041, 970.383464
19, 2.060240, 970.760731
20, 1.855726, 1077.745098
20, 1.854621, 1078.387246
20, 1.856375, 1077.368305
20, 1.853776, 1078.879220
20, 1.850488, 1080.796170
21, 1.815328, 1101.729174
21, 1.873555, 1067.489256
21, 1.813602, 1102.778037
21, 1.877645, 1065.164147
21, 1.863592, 1073.196099
22, 1.988820, 1005.621321
22, 1.986919, 1006.583554
22, 1.982338, 1008.909814
22, 1.991214, 1004.412503
22, 1.977585, 1011.334388
23, 1.983202, 1008.470088
23, 1.978794, 1010.716684
23, 1.978610, 1010.810773
23, 1.967543, 1016.496224
23, 1.989548, 1005.253661
24, 1.687918, 1184.891460
24, 1.684988, 1186.952024
24, 1.684026, 1187.630393
24, 1.696348, 1179.003254
24, 1.693729, 1180.826303
