Cores, Execution Time, GFLOPs
1, 30.679146, 65.190863
1, 30.674740, 65.200227
1, 30.673824, 65.202174
1, 30.475844, 65.625746
1, 30.683829, 65.180914
2, 15.736648, 127.091870
2, 15.729619, 127.148663
2, 15.975030, 125.195387
2, 15.731792, 127.131098
2, 15.974506, 125.199491
3, 10.434910, 191.664332
3, 10.432666, 191.705547
3, 10.431149, 191.733434
3, 10.432488, 191.708822
3, 10.430986, 191.736430
4, 7.844050, 254.970316
4, 7.833335, 255.319108
4, 7.841542, 255.051864
4, 7.832579, 255.343753
4, 7.837899, 255.170407
5, 6.773030, 295.288796
5, 6.745861, 296.478080
5, 6.743436, 296.584724
5, 6.754135, 296.114886
5, 6.749408, 296.322279
6, 5.250799, 380.894387
6, 5.282995, 378.573167
6, 5.282528, 378.606572
6, 5.282766, 378.589542
6, 5.276655, 379.028025
7, 4.652532, 429.873494
7, 4.660907, 429.101051
7, 4.586270, 436.084198
7, 4.655921, 429.560537
7, 4.659242, 429.254343
8, 4.226953, 473.154036
8, 4.221406, 473.775752
8, 4.244346, 471.215065
8, 4.233703, 472.399724
8, 4.225078, 473.364008
9, 3.893139, 513.724333
9, 3.895497, 513.413331
9, 3.882155, 515.177749
9, 3.892761, 513.774222
9, 3.904715, 512.201292
10, 3.287923, 608.286739
10, 3.294253, 607.117825
10, 3.327940, 600.972431
10, 3.290380, 607.832467
10, 3.311641, 603.930196
11, 2.999310, 666.820065
11, 2.999564, 666.763531
11, 3.001757, 666.276432
11, 2.997719, 667.174043
11, 2.999415, 666.796688
12, 2.676512, 747.241173
12, 2.665801, 750.243526
12, 2.671789, 748.562093
12, 2.673332, 748.130084
12, 2.680882, 746.023088
13, 2.669803, 749.119047
13, 2.670627, 748.887728
13, 2.669097, 749.316995
13, 2.671292, 748.701241
13, 2.667837, 749.671097
14, 2.496085, 801.254891
14, 2.491788, 802.636482
14, 2.510679, 796.597232
14, 2.489432, 803.396034
14, 2.513287, 795.770555
15, 2.230060, 896.836916
15, 2.226819, 898.142327
15, 2.226111, 898.427693
15, 2.225493, 898.677157
15, 2.225399, 898.715394
16, 2.216426, 902.353506
16, 2.219453, 901.122799
16, 2.215111, 902.889466
16, 2.212170, 904.089543
16, 2.211936, 904.185269
17, 2.218336, 901.576722
17, 2.219984, 900.907483
17, 2.219478, 901.112896
17, 2.206116, 906.570549
17, 2.213708, 903.461472
18, 2.029775, 985.331035
18, 2.029342, 985.541232
18, 2.038908, 980.917006
18, 2.027565, 986.404677
18, 2.023754, 988.262173
19, 2.025255, 987.529944
19, 2.022561, 988.845265
19, 2.014652, 992.727495
19, 2.033125, 983.707348
19, 2.022401, 988.923465
20, 1.863857, 1073.043651
20, 1.875989, 1066.104449
20, 1.883026, 1062.120120
20, 1.883773, 1061.699117
20, 1.872998, 1067.807026
21, 1.670655, 1197.135482
21, 1.671473, 1196.549339
21, 1.662451, 1203.042731
21, 1.675339, 1193.788139
21, 1.671103, 1196.814617
22, 1.716576, 1165.110223
22, 1.679251, 1191.007440
22, 1.691863, 1182.128484
22, 1.683426, 1188.053333
22, 1.692029, 1182.012716
23, 1.682321, 1188.833773
23, 1.681675, 1189.290768
23, 1.687310, 1185.318598
23, 1.682815, 1188.485036
23, 1.697799, 1177.995696
24, 1.679924, 1190.530290
24, 1.685419, 1186.648429
24, 1.691112, 1182.653485
24, 1.691284, 1182.533393
24, 1.693140, 1181.237562
