Cores, Execution Time, GFLOPs
1, 29.916219, 66.853367
1, 29.726041, 67.281076
1, 29.719655, 67.295532
1, 29.890398, 66.911121
1, 29.722590, 67.288888
2, 17.067098, 117.184537
2, 17.920846, 111.601877
2, 16.902253, 118.327422
2, 17.912553, 111.653544
2, 17.228868, 116.084235
3, 10.767528, 185.743649
3, 10.894457, 183.579595
3, 10.903432, 183.428482
3, 10.231347, 195.477684
3, 10.650085, 187.791928
4, 7.947771, 251.642884
4, 7.982670, 250.542733
4, 7.947127, 251.663278
4, 7.956097, 251.379525
4, 8.003513, 249.890255
5, 6.063325, 329.851994
5, 6.053994, 330.360397
5, 6.055216, 330.293725
5, 6.099151, 327.914467
5, 6.047105, 330.736795
6, 5.042586, 396.621854
6, 5.053236, 395.785969
6, 5.064257, 394.924691
6, 5.069023, 394.553324
6, 5.048370, 396.167490
7, 4.310909, 463.939240
7, 4.309127, 464.131082
7, 4.373565, 457.292839
7, 4.314049, 463.601566
7, 4.335084, 461.352126
8, 3.760127, 531.896960
8, 3.739864, 534.778847
8, 3.791657, 527.473826
8, 3.741032, 534.611872
8, 3.745164, 534.022016
9, 3.323566, 601.763201
9, 3.333376, 599.992249
9, 3.332756, 600.104003
9, 3.328853, 600.807620
9, 3.323335, 601.805079
10, 3.010639, 664.310769
10, 3.009700, 664.518086
10, 3.008190, 664.851618
10, 3.019864, 662.281371
10, 3.015352, 663.272559
11, 2.745156, 728.555920
11, 2.741191, 729.609914
11, 2.735572, 731.108556
11, 2.736877, 730.760043
11, 2.742546, 729.249269
12, 2.531398, 790.077117
12, 2.522287, 792.931323
12, 2.529990, 790.516924
12, 2.523088, 792.679520
12, 2.525498, 791.922920
13, 2.320383, 861.926826
13, 2.323231, 860.870074
13, 2.319551, 862.235963
13, 2.321251, 861.604358
13, 2.322003, 861.325174
14, 2.170536, 921.431536
14, 2.175837, 919.186493
14, 2.173967, 919.977125
14, 2.173110, 920.339924
14, 2.166221, 923.266713
15, 2.023687, 988.294938
15, 2.020897, 989.659328
15, 2.023534, 988.369634
15, 2.021165, 989.528429
15, 2.018348, 990.909589
16, 1.900660, 1052.266249
16, 1.903988, 1050.426533
16, 1.903982, 1050.430029
16, 1.913121, 1045.412322
16, 1.910244, 1046.986638
17, 1.789368, 1117.712991
17, 1.790125, 1117.240603
17, 1.791357, 1116.471899
17, 1.788831, 1118.048363
17, 1.784315, 1120.878282
18, 1.692265, 1181.848298
18, 1.694863, 1180.036660
18, 1.692614, 1181.604543
18, 1.693014, 1181.325105
18, 1.692325, 1181.806067
19, 1.604026, 1246.862324
19, 1.601272, 1249.007387
19, 1.604842, 1246.228733
19, 1.603449, 1247.311167
19, 1.599664, 1250.262843
20, 1.525998, 1310.617392
20, 1.531319, 1306.063887
20, 1.529388, 1307.712438
20, 1.526547, 1310.146426
20, 1.528443, 1308.521392
21, 1.449416, 1379.866044
21, 1.456363, 1373.283558
21, 1.453160, 1376.311274
21, 1.453726, 1375.774905
21, 1.452957, 1376.503359
22, 1.392336, 1436.434401
22, 1.397034, 1431.604439
22, 1.397788, 1430.831819
22, 1.395800, 1432.869998
22, 1.395180, 1433.506321
23, 1.338007, 1494.760407
23, 1.340043, 1492.489564
23, 1.342585, 1489.663510
23, 1.339124, 1493.513328
23, 1.343386, 1488.775594
24, 1.287485, 1553.416632
24, 1.287495, 1553.404353
24, 1.289443, 1551.057129
24, 1.287475, 1553.427774
24, 1.285096, 1556.303592
