Cores, Execution Time, GFLOPs
1, 29.744251, 67.239884
1, 29.738637, 67.252578
1, 29.735441, 67.259807
1, 29.730712, 67.270504
1, 29.731475, 67.268779
2, 15.374551, 130.085103
2, 15.334331, 130.426292
2, 15.286583, 130.833684
2, 15.265340, 131.015753
2, 15.285193, 130.845583
3, 9.994402, 200.112020
3, 9.998461, 200.030790
3, 9.997750, 200.045017
3, 9.996432, 200.071390
3, 10.005147, 199.897115
4, 7.374225, 271.214945
4, 7.372944, 271.262063
4, 7.372338, 271.284360
4, 7.373814, 271.230064
4, 7.474809, 267.565364
5, 6.064740, 329.775050
5, 6.332789, 315.816602
5, 6.057958, 330.144269
5, 6.050557, 330.548101
5, 6.053896, 330.365777
6, 4.889551, 409.035526
6, 4.891317, 408.887852
6, 4.889852, 409.010365
6, 4.889259, 409.059900
6, 4.883711, 409.524634
7, 4.264782, 468.957183
7, 4.266049, 468.817910
7, 4.264380, 469.001397
7, 4.286998, 466.526932
7, 4.261834, 469.281549
8, 3.739578, 534.819762
8, 3.787213, 528.092783
8, 3.739338, 534.854033
8, 3.780464, 529.035617
8, 3.738165, 535.021873
9, 3.308645, 604.477089
9, 3.323679, 601.742860
9, 3.308345, 604.531953
9, 3.311039, 604.040003
9, 3.303257, 605.463020
10, 2.955886, 676.616057
10, 2.955154, 676.783579
10, 2.955017, 676.815083
10, 2.960593, 675.540316
10, 2.969267, 673.566884
11, 2.679167, 746.500693
11, 2.680611, 746.098686
11, 2.680976, 745.996884
11, 2.680983, 745.994916
11, 2.681795, 745.769297
12, 2.436892, 820.717613
12, 2.438046, 820.329099
12, 2.438646, 820.127101
12, 2.437728, 820.436229
12, 2.436946, 820.699212
13, 2.280536, 876.986829
13, 2.281926, 876.452701
13, 2.288234, 874.036369
13, 2.280715, 876.917989
13, 2.282820, 876.109359
14, 2.122548, 942.263668
14, 2.118903, 943.884654
14, 2.119794, 943.487787
14, 2.121305, 942.816066
14, 2.120749, 943.062944
15, 1.987972, 1006.050228
15, 1.984942, 1007.586072
15, 1.992850, 1003.587589
15, 1.992504, 1003.762351
15, 1.990193, 1004.927553
16, 1.870915, 1068.995760
16, 1.872385, 1068.156129
16, 1.871767, 1068.509036
16, 1.870429, 1069.273436
16, 1.872570, 1068.050972
17, 1.765724, 1132.680028
17, 1.767700, 1131.413498
17, 1.770963, 1129.328791
17, 1.770555, 1129.589356
17, 1.772948, 1128.064632
18, 1.676138, 1193.218862
18, 1.675709, 1193.524422
18, 1.671998, 1196.173696
18, 1.672862, 1195.555782
18, 1.677068, 1192.557620
19, 1.592905, 1255.568039
19, 1.595573, 1253.467872
19, 1.589383, 1258.350202
19, 1.597402, 1252.032607
19, 1.590365, 1257.573201
20, 1.520487, 1315.368298
20, 1.517461, 1317.990956
20, 1.520204, 1315.613155
20, 1.525457, 1311.082899
20, 1.522455, 1313.667564
21, 1.453610, 1375.884668
21, 1.451371, 1378.007563
21, 1.451576, 1377.812860
21, 1.447414, 1381.774967
21, 1.447477, 1381.714780
22, 1.389934, 1438.917045
22, 1.393307, 1435.434143
22, 1.392559, 1436.205146
22, 1.392148, 1436.628686
22, 1.392159, 1436.617509
23, 1.339081, 1493.561856
23, 1.337770, 1495.025054
23, 1.339964, 1492.577105
23, 1.338040, 1494.723943
23, 1.344943, 1487.052241
24, 1.290666, 1549.587356
24, 1.285168, 1556.217379
24, 1.288782, 1551.852725
24, 1.287038, 1553.955244
24, 1.286272, 1554.881651
