Cores, Execution Time, GFLOPs
1, 28.882233, 69.246725
1, 28.875917, 69.261869
1, 28.877274, 69.258615
1, 28.876041, 69.261573
1, 28.883308, 69.244146
2, 17.283486, 115.717398
2, 17.353199, 115.252526
2, 19.106046, 104.678906
2, 16.186465, 123.560020
2, 16.389712, 122.027771
3, 10.797169, 185.233745
3, 10.827509, 184.714690
3, 10.989853, 181.986053
3, 12.168012, 164.365391
3, 10.627254, 188.195377
4, 9.130926, 219.035824
4, 8.499020, 235.321244
4, 8.985397, 222.583386
4, 8.680881, 230.391365
4, 9.028043, 221.531954
5, 6.415588, 311.740723
5, 6.432051, 310.942790
5, 6.449045, 310.123436
5, 7.401501, 270.215467
5, 6.491553, 308.092670
6, 5.567089, 359.254151
6, 6.097618, 327.996943
6, 6.093854, 328.199532
6, 5.443580, 367.405276
6, 5.243758, 381.405847
7, 4.395223, 455.039487
7, 4.383373, 456.269606
7, 4.549827, 439.577160
7, 4.567484, 437.877876
7, 4.424265, 452.052474
8, 3.857377, 518.487011
8, 3.866265, 517.295056
8, 3.902600, 512.478822
8, 3.874309, 516.221023
8, 3.987567, 501.558942
9, 3.438327, 581.678260
9, 3.450731, 579.587352
9, 3.453335, 579.150329
9, 3.449126, 579.857030
9, 3.429587, 583.160523
10, 3.125425, 639.913071
10, 3.120125, 641.000028
10, 3.105263, 644.067839
10, 3.169869, 630.940818
10, 3.138497, 637.247686
11, 2.838934, 704.489811
11, 2.821707, 708.790772
11, 2.835522, 705.337527
11, 2.836284, 705.147884
11, 2.807208, 712.451637
12, 2.626461, 761.480917
12, 2.659738, 751.953669
12, 2.629688, 760.546584
12, 2.686855, 744.364590
12, 2.620983, 763.072566
13, 2.514709, 795.320572
13, 2.497627, 800.760189
13, 2.482291, 805.707256
13, 2.481174, 806.069872
13, 2.480337, 806.342006
14, 2.258501, 885.543164
14, 2.263933, 883.418347
14, 2.250505, 888.689302
14, 2.249100, 889.244419
14, 2.251752, 888.197373
15, 2.122785, 942.158403
15, 2.123692, 941.756095
15, 2.116916, 944.770417
15, 2.125892, 940.781415
15, 2.114536, 945.834187
16, 1.990974, 1004.533401
16, 1.998516, 1000.742602
16, 2.016745, 991.697067
16, 2.004206, 997.901394
16, 2.008258, 995.888215
17, 1.908140, 1048.141224
17, 1.916890, 1043.356773
17, 1.899312, 1053.013037
17, 1.904127, 1050.350228
17, 1.913775, 1045.055170
18, 1.784745, 1120.608479
18, 1.803094, 1109.204476
18, 1.804226, 1108.508864
18, 1.789204, 1117.815297
18, 2.173423, 920.207288
19, 1.686630, 1185.796317
19, 1.690452, 1183.115737
19, 1.668026, 1199.021925
19, 1.677107, 1192.529951
19, 1.685163, 1186.828596
20, 1.618330, 1235.841979
20, 1.621859, 1233.152612
20, 1.621962, 1233.074642
20, 1.616114, 1237.536246
20, 1.611412, 1241.147409
21, 1.543616, 1295.658718
21, 1.551234, 1289.296471
21, 1.542793, 1296.349876
21, 1.539659, 1298.988577
21, 1.548425, 1291.634887
22, 1.494591, 1338.158987
22, 1.481102, 1350.346042
22, 1.484151, 1347.571802
22, 1.492702, 1339.852118
22, 1.484112, 1347.607409
23, 1.440009, 1388.880151
23, 1.443343, 1385.672226
23, 1.460732, 1369.176650
23, 1.446072, 1383.056758
23, 1.438256, 1390.572789
24, 1.446775, 1382.384637
24, 1.444657, 1384.412030
24, 1.437183, 1391.611250
24, 1.426556, 1401.977980
24, 1.458763, 1371.024529
