Cores, Execution Time, GFLOPs
1, 29.024907, 68.906336
1, 28.881762, 69.247852
1, 28.875372, 69.263177
1, 29.031765, 68.890059
1, 28.880105, 69.251827
2, 14.987638, 133.443311
2, 14.963955, 133.654504
2, 15.004876, 133.290005
2, 14.996511, 133.364352
2, 14.963901, 133.654985
3, 9.780250, 204.493752
3, 9.782775, 204.440973
3, 9.851324, 203.018403
3, 9.785757, 204.378667
3, 9.777236, 204.556792
4, 7.378743, 271.048889
4, 7.374239, 271.214434
4, 7.377314, 271.101389
4, 7.376107, 271.145736
4, 7.378337, 271.063808
5, 6.636827, 301.348804
5, 6.413741, 311.830505
5, 6.429200, 311.080693
5, 6.595458, 303.238982
5, 6.377361, 313.609326
6, 5.905179, 338.685744
6, 4.886229, 409.313609
6, 4.920476, 406.464738
6, 4.891262, 408.892424
6, 4.891714, 408.854637
7, 4.363608, 458.336283
7, 4.316537, 463.334389
7, 4.662538, 428.950924
7, 4.886532, 409.288181
7, 4.302066, 464.892861
8, 3.909827, 511.531566
8, 3.877168, 515.840411
8, 4.026584, 496.698973
8, 3.899836, 512.842019
8, 3.890887, 514.021579
9, 3.451506, 579.457215
9, 3.420038, 584.788831
9, 3.427576, 583.502754
9, 3.467050, 576.859260
9, 3.404058, 587.534079
10, 3.057653, 654.096407
10, 3.138050, 637.338509
10, 3.057531, 654.122485
10, 3.145390, 635.851241
10, 3.056933, 654.250569
11, 2.733361, 731.699987
11, 2.742310, 729.312156
11, 2.726693, 733.489129
11, 2.769833, 722.065294
11, 2.752265, 726.674275
12, 2.483151, 805.428414
12, 2.485291, 804.734684
12, 2.478927, 806.800626
12, 2.476866, 807.471940
12, 2.477123, 807.388239
13, 2.355672, 849.014726
13, 2.357234, 848.452006
13, 2.355756, 848.984477
13, 2.360530, 847.267359
13, 2.360396, 847.315290
14, 2.189588, 913.413854
14, 2.180433, 917.249046
14, 2.204406, 907.273854
14, 2.190115, 913.193951
14, 2.191341, 912.683262
15, 2.057906, 971.861768
15, 2.052195, 974.566300
15, 2.094217, 955.011008
15, 2.077346, 962.767062
15, 2.074026, 964.308144
16, 1.997546, 1001.228655
16, 1.948827, 1026.258462
16, 1.937184, 1032.426707
16, 1.943157, 1029.252671
16, 1.942539, 1029.580521
17, 1.927665, 1037.524780
17, 1.872028, 1068.359881
17, 1.878586, 1064.630796
17, 1.861995, 1074.116487
17, 1.863076, 1073.493303
18, 1.750231, 1142.706207
18, 1.747925, 1144.214004
18, 1.931555, 1035.435240
18, 1.775172, 1126.651473
18, 1.827027, 1094.674281
19, 1.652420, 1210.345926
19, 1.651178, 1211.256599
19, 1.659544, 1205.150611
19, 1.666274, 1200.282462
19, 1.661792, 1203.519892
20, 1.601735, 1248.646325
20, 1.596624, 1252.643059
20, 1.613637, 1239.435867
20, 1.605070, 1246.051860
20, 1.600347, 1249.728663
21, 1.600488, 1249.618732
21, 1.530891, 1306.428559
21, 1.529969, 1307.215637
21, 1.545642, 1293.960912
21, 1.536297, 1301.831422
22, 1.482555, 1349.022479
22, 1.490024, 1342.260670
22, 1.543760, 1295.538144
22, 1.500585, 1332.813117
22, 1.474108, 1356.752534
23, 1.444108, 1384.937930
23, 1.451592, 1377.797161
23, 1.451149, 1378.218507
23, 1.451242, 1378.129754
23, 1.454944, 1374.623192
24, 1.435667, 1393.081149
24, 1.425452, 1403.063304
24, 1.434943, 1393.783514
24, 1.478477, 1352.743148
24, 1.447531, 1381.663148
