Size, Execution Time, GFLOPs
2000, 0.027160, 589.098865
2000, 0.027136, 589.623750
2000, 0.026997, 592.654777
2000, 0.026891, 595.001755
2000, 0.027448, 582.924445
2500, 0.049975, 625.315071
2500, 0.049697, 628.814742
2500, 0.049780, 627.762393
2500, 0.049407, 632.507446
2500, 0.049607, 629.947342
3000, 0.081924, 659.150037
3000, 0.082160, 657.253658
3000, 0.082106, 657.687150
3000, 0.081955, 658.895539
3000, 0.082324, 655.947943
3500, 0.125794, 681.669268
3500, 0.125942, 680.868842
3500, 0.125655, 682.425211
3500, 0.125982, 680.654488
3500, 0.126631, 677.165825
4000, 0.193140, 662.730177
4000, 0.192941, 663.414505
4000, 0.193390, 661.876504
4000, 0.193116, 662.814407
4000, 0.192951, 663.381378
4500, 0.267906, 680.274859
4500, 0.268417, 678.980430
4500, 0.268248, 679.408392
4500, 0.268219, 679.483068
4500, 0.267946, 680.175199
5000, 0.367320, 680.605328
5000, 0.367610, 680.068436
5000, 0.366941, 681.309351
5000, 0.366820, 681.533580
5000, 0.366941, 681.309043
5500, 0.476920, 697.706192
5500, 0.476837, 697.827779
5500, 0.477072, 697.483463
5500, 0.477360, 697.063665
5500, 0.477288, 697.168171
6000, 0.612747, 705.022027
6000, 0.613113, 704.600856
6000, 0.613813, 703.797397
6000, 0.612825, 704.932179
6000, 0.613459, 704.203945
6500, 0.770981, 712.404037
6500, 0.770630, 712.728733
6500, 0.770803, 712.568732
6500, 0.770818, 712.554701
6500, 0.770541, 712.811130
7000, 0.954915, 718.388864
7000, 0.954761, 718.504438
7000, 0.954612, 718.616201
7000, 0.955625, 717.854725
7000, 0.955532, 717.924523
7500, 1.185857, 711.510566
7500, 1.185326, 711.829743
7500, 1.186532, 711.106105
7500, 1.185670, 711.623046
7500, 1.186265, 711.266151
8000, 1.457820, 702.418580
8000, 1.465830, 698.580479
8000, 1.464047, 699.430879
8000, 1.466360, 698.327859
8000, 1.466139, 698.433218
8500, 1.739385, 706.140346
8500, 1.741600, 705.242488
8500, 1.741178, 705.413154
8500, 1.750837, 701.521475
8500, 1.739485, 706.099810
9000, 2.047505, 712.086027
9000, 2.048992, 711.569355
9000, 2.048437, 711.762312
9000, 2.053581, 709.979429
9000, 2.099434, 694.472851
9500, 2.408454, 711.971180
9500, 2.388585, 717.893601
9500, 2.409349, 711.706906
9500, 2.406089, 712.671173
9500, 2.390437, 717.337558
10000, 2.862185, 698.766809
10000, 2.860109, 699.274044
10000, 2.857922, 699.809236
10000, 2.859645, 699.387630
10000, 2.859118, 699.516430
10500, 3.403989, 680.157854
10500, 3.400094, 680.937023
10500, 3.399034, 681.149390
10500, 3.408703, 679.217376
10500, 3.399529, 681.050198
11000, 3.694198, 720.589332
11000, 3.724206, 714.783277
11000, 3.689511, 721.504837
11000, 3.693646, 720.697045
11000, 3.687564, 721.885848
11500, 4.616803, 658.843422
11500, 4.654656, 653.485388
11500, 4.661008, 652.594873
11500, 4.336641, 701.406888
11500, 4.667978, 651.620517
12000, 5.168818, 668.624769
12000, 4.873170, 709.189366
12000, 5.284222, 654.022504
12000, 4.887327, 707.134958
12000, 4.890712, 706.645616
12500, 6.124622, 637.794464
12500, 5.600493, 697.483279
12500, 5.954622, 656.002982
12500, 5.957034, 655.737357
12500, 5.591224, 698.639552
13000, 6.722764, 653.600172
13000, 6.725504, 653.333912
13000, 6.726125, 653.273609
13000, 6.836761, 642.702003
13000, 6.750465, 650.918169
13500, 7.320066, 672.227548
13500, 6.930813, 709.981649
13500, 6.921882, 710.897736
13500, 6.934240, 709.630747
13500, 6.801998, 723.427137
14000, 8.245913, 665.541847
14000, 7.676894, 714.872475
14000, 7.685154, 714.104113
14000, 7.688887, 713.757377
14000, 8.232608, 666.617463
14500, 8.663905, 703.753135
14500, 8.686777, 701.900142
14500, 8.646660, 705.156709
14500, 8.693743, 701.337694
14500, 8.687532, 701.839152
15000, 9.497802, 710.690720
15000, 9.417377, 716.760062
15000, 9.684436, 696.994670
15000, 10.083620, 669.402460
15000, 9.921861, 680.315929
15500, 11.273257, 660.656430
15500, 10.999865, 677.076491
15500, 11.146323, 668.179966
15500, 10.995496, 677.345514
15500, 10.708743, 695.483092
16000, 12.548740, 652.814568
16000, 12.525725, 654.014014
16000, 12.386357, 661.372835
16000, 12.389853, 661.186215
16000, 12.151902, 674.133160
16500, 13.090998, 686.292233
16500, 12.851805, 699.065221
16500, 13.208815, 680.170757
16500, 12.864575, 698.371329
16500, 13.209388, 680.141258
17000, 14.372710, 683.656751
17000, 14.933452, 657.985824
17000, 14.658503, 670.327673
17000, 14.641641, 671.099631
17000, 14.661043, 670.211547
17500, 15.364144, 697.647063
17500, 15.976128, 670.922888
17500, 15.543781, 689.584473
17500, 15.049215, 712.246442
17500, 15.583029, 687.847677
18000, 17.089901, 682.508341
18000, 16.488173, 707.416146
18000, 17.078116, 682.979324
18000, 16.807031, 693.995273
18000, 17.000540, 686.095848
18500, 18.897086, 670.116544
18500, 18.868250, 671.140686
18500, 18.198841, 695.827268
18500, 18.095730, 699.792143
18500, 18.292776, 692.254133
19000, 19.882689, 689.946917
19000, 19.805403, 692.639279
19000, 19.802833, 692.729158
19000, 19.816184, 692.262434
19000, 19.162448, 715.879289
19500, 20.520500, 722.679775
19500, 21.709098, 683.112205
19500, 21.876032, 677.899438
19500, 20.539079, 722.026031
19500, 21.396170, 693.103033
20000, 23.015977, 695.169269
20000, 22.997018, 695.742378
20000, 24.411946, 655.416828
20000, 23.343228, 685.423638
20000, 22.695316, 704.991287
