Size, Execution Time, GFLOPs
2000, 0.026434, 605.274277
2000, 0.026265, 609.179142
2000, 0.027067, 591.131294
2000, 0.026715, 598.920117
2000, 0.027235, 587.470697
2500, 0.049178, 635.448734
2500, 0.049097, 636.489138
2500, 0.049189, 635.301955
2500, 0.049171, 635.533730
2500, 0.049366, 633.024215
3000, 0.081672, 661.180274
3000, 0.081983, 658.673389
3000, 0.082331, 655.887352
3000, 0.081250, 664.617520
3000, 0.082034, 658.260036
3500, 0.123789, 692.709619
3500, 0.123750, 692.928016
3500, 0.123249, 695.747218
3500, 0.123375, 695.037551
3500, 0.123029, 696.991353
4000, 0.180723, 708.265615
4000, 0.181752, 704.254761
4000, 0.180889, 707.614364
4000, 0.181171, 706.516076
4000, 0.180732, 708.230725
4500, 0.257333, 708.225855
4500, 0.257767, 707.033071
4500, 0.257413, 708.006929
4500, 0.257565, 707.587057
4500, 0.256732, 709.883380
5000, 0.351446, 711.346767
5000, 0.350238, 713.800016
5000, 0.351639, 710.955993
5000, 0.350074, 714.135736
5000, 0.352158, 709.909239
5500, 0.460365, 722.795957
5500, 0.470459, 707.288248
5500, 0.459186, 724.651824
5500, 0.459586, 724.020516
5500, 0.462848, 718.918825
6000, 0.590364, 731.752556
6000, 0.597505, 723.007041
6000, 0.596329, 724.432170
6000, 0.589098, 733.324710
6000, 0.590071, 732.115170
6500, 0.748180, 734.114925
6500, 0.740656, 741.572794
6500, 0.749107, 733.206507
6500, 0.743091, 739.141866
6500, 0.740606, 741.622071
7000, 0.934154, 734.353939
7000, 0.925850, 740.940524
7000, 0.920474, 745.268322
7000, 0.943189, 727.319824
7000, 0.917882, 747.372884
7500, 1.149881, 733.771749
7500, 1.135589, 743.006729
7500, 1.143303, 737.993253
7500, 1.140187, 740.010297
7500, 1.145987, 736.264875
8000, 1.384648, 739.538402
8000, 1.379869, 742.099214
8000, 1.397467, 732.754581
8000, 1.384301, 739.723552
8000, 1.382185, 740.856041
8500, 1.644211, 747.014915
8500, 1.643889, 747.161169
8500, 1.644136, 747.048721
8500, 1.646996, 745.751445
8500, 1.647558, 745.497244
9000, 1.948309, 748.341226
9000, 1.964598, 742.136650
9000, 1.964320, 742.241404
9000, 1.942768, 750.475775
9000, 1.965448, 741.815522
9500, 2.283245, 751.014444
9500, 2.277397, 752.942968
9500, 2.295171, 747.112100
9500, 2.272568, 754.542752
9500, 2.273302, 754.299221
10000, 2.675789, 747.442994
10000, 2.669942, 749.080026
10000, 2.686732, 744.398748
10000, 2.674489, 747.806533
10000, 2.759634, 724.733716
10500, 3.110944, 744.227368
10500, 3.120956, 741.840033
10500, 3.122249, 741.532772
10500, 3.131290, 739.391842
10500, 3.112135, 743.942734
11000, 3.532637, 753.544733
11000, 3.530872, 753.921441
11000, 3.530389, 754.024578
11000, 3.535796, 752.871413
11000, 3.538028, 752.396604
11500, 4.040587, 752.799090
11500, 4.046797, 751.643769
11500, 4.057556, 749.650859
11500, 4.058669, 749.445152
11500, 4.043414, 752.272711
12000, 4.574897, 755.426843
12000, 4.579987, 754.587276
12000, 4.607325, 750.109886
12000, 4.575476, 755.331293
12000, 4.574505, 755.491506
12500, 5.242959, 745.046866
12500, 5.229142, 747.015439
12500, 5.241643, 745.233854
12500, 5.224414, 747.691512
12500, 5.228247, 747.143407
13000, 5.905712, 744.025387
13000, 5.895982, 745.253248
13000, 5.912303, 743.195990
13000, 5.900737, 744.652703
13000, 5.903051, 744.360841
13500, 6.613443, 744.052711
13500, 6.530987, 753.446590
13500, 6.527128, 753.892072
13500, 6.525664, 754.061242
13500, 6.558422, 750.294840
14000, 7.315946, 750.142268
14000, 7.241516, 757.852362
14000, 7.243955, 757.597162
14000, 7.232253, 758.823033
14000, 7.260861, 755.833194
14500, 8.133032, 749.689702
14500, 8.145658, 748.527633
14500, 8.155980, 747.580291
14500, 8.133297, 749.665273
14500, 8.129128, 750.049675
15000, 9.062168, 744.854881
15000, 8.957126, 753.589932
15000, 8.967290, 752.735766
15000, 8.948781, 754.292681
15000, 8.986609, 751.117570
15500, 9.945515, 748.855110
15500, 9.932801, 749.813707
15500, 9.966880, 747.249874
15500, 9.993503, 745.259222
15500, 9.970113, 747.007610
16000, 11.019011, 743.442383
16000, 10.995103, 745.058945
16000, 11.006650, 744.277330
16000, 10.975847, 746.366068
16000, 10.987643, 745.564805
16500, 11.992912, 749.129992
16500, 11.990161, 749.301868
16500, 11.939324, 752.492326
16500, 12.025584, 747.094682
16500, 12.064654, 744.675331
17000, 13.129271, 748.404082
17000, 13.163519, 746.456949
17000, 13.168835, 746.155611
17000, 13.151821, 747.120847
17000, 13.183133, 745.346340
17500, 14.256527, 751.848633
17500, 14.173595, 756.247823
17500, 14.185091, 755.634894
17500, 14.157541, 757.105345
17500, 14.242697, 752.578655
18000, 15.483665, 753.309998
18000, 15.557586, 749.730692
18000, 15.419597, 756.440014
18000, 15.458613, 754.530823
18000, 15.492287, 752.890800
18500, 16.860980, 751.038801
18500, 16.778273, 754.740968
18500, 16.750568, 755.989289
18500, 16.794795, 753.998503
18500, 16.724462, 757.169334
19000, 18.235855, 752.254270
19000, 18.029089, 760.881470
19000, 18.066063, 759.324261
19000, 18.262882, 751.141029
19000, 18.267386, 750.955845
19500, 19.706635, 752.525739
19500, 19.611115, 756.191069
19500, 19.547418, 758.655171
19500, 19.511120, 760.066572
19500, 19.741807, 751.185017
20000, 21.222690, 753.910089
20000, 21.168422, 755.842813
20000, 21.175467, 755.591376
20000, 21.236178, 753.431235
20000, 21.225312, 753.816965
