Size, Execution Time, GFLOPs
2000, 0.030750, 520.328689
2000, 0.028456, 562.270214
2000, 0.028486, 561.679737
2000, 0.028512, 561.173093
2000, 0.028705, 557.402474
2500, 0.049599, 630.055363
2500, 0.049651, 629.393126
2500, 0.050046, 624.422047
2500, 0.049429, 632.218391
2500, 0.049307, 633.781846
3000, 0.079356, 680.474048
3000, 0.079536, 678.934271
3000, 0.079382, 680.257643
3000, 0.079671, 677.787162
3000, 0.079413, 679.987247
3500, 0.116857, 733.805698
3500, 0.116767, 734.370273
3500, 0.116836, 733.934796
3500, 0.116373, 736.854572
3500, 0.116625, 735.263514
4000, 0.166121, 770.523865
4000, 0.166411, 769.179136
4000, 0.166050, 770.849836
4000, 0.166195, 770.180906
4000, 0.166523, 768.661189
4500, 0.231962, 785.689293
4500, 0.233146, 781.699105
4500, 0.232375, 784.291820
4500, 0.232314, 784.499651
4500, 0.231724, 786.494558
5000, 0.319890, 781.519216
5000, 0.319592, 782.247321
5000, 0.320128, 780.938291
5000, 0.319988, 781.280026
5000, 0.319970, 781.323039
5500, 0.417693, 796.637596
5500, 0.417674, 796.673440
5500, 0.417339, 797.312954
5500, 0.417470, 797.063214
5500, 0.417856, 796.327025
6000, 0.535458, 806.786158
6000, 0.536368, 805.416631
6000, 0.536872, 804.661389
6000, 0.536532, 805.170792
6000, 0.536530, 805.173973
6500, 0.682658, 804.575421
6500, 0.682773, 804.440109
6500, 0.683521, 803.560291
6500, 0.682992, 804.182134
6500, 0.681804, 805.583318
7000, 0.856987, 800.479320
7000, 0.858125, 799.417656
7000, 0.858052, 799.485779
7000, 0.857123, 800.351771
7000, 0.857497, 800.002609
7500, 1.059955, 796.024591
7500, 1.062923, 793.801962
7500, 1.059152, 796.627586
7500, 1.062205, 794.337961
7500, 1.059833, 796.115908
8000, 1.270940, 805.702980
8000, 1.286430, 796.001145
8000, 1.282262, 798.588856
8000, 1.278209, 801.120702
8000, 1.277299, 801.691979
8500, 1.559745, 787.468608
8500, 1.564546, 785.051926
8500, 1.562558, 786.051046
8500, 1.558155, 788.272221
8500, 1.561477, 786.595014
9000, 1.828963, 797.172996
9000, 1.828349, 797.440719
9000, 1.825446, 798.708788
9000, 1.833850, 795.048598
9000, 1.828294, 797.464599
9500, 2.177052, 787.647520
9500, 2.179632, 786.715422
9500, 2.171158, 789.785733
9500, 2.176487, 787.852092
9500, 2.172672, 789.235616
10000, 2.522882, 792.744281
10000, 2.526491, 791.611680
10000, 2.520013, 793.646786
10000, 2.530145, 790.468488
10000, 2.525449, 791.938369
10500, 2.923535, 791.935074
10500, 2.922853, 792.119854
10500, 2.929767, 790.250467
10500, 2.921566, 792.468879
10500, 2.925131, 791.503089
11000, 3.348773, 794.918066
11000, 3.336897, 797.747023
11000, 3.334566, 798.304730
11000, 3.340388, 796.913309
11000, 3.340619, 796.858338
11500, 3.806431, 799.108245
11500, 3.804173, 799.582483
11500, 3.790601, 802.445353
11500, 3.789010, 802.782320
11500, 3.799269, 800.614641
12000, 4.366363, 791.505514
12000, 4.378167, 789.371503
12000, 4.379154, 789.193513
12000, 4.378670, 789.280771
12000, 4.388170, 787.571986
12500, 4.927024, 792.821361
12500, 4.935000, 791.540035
12500, 4.930276, 792.298500
12500, 4.964871, 786.777812
12500, 5.003838, 780.650744
13000, 5.617590, 782.185995
13000, 5.474009, 802.702337
13000, 5.493224, 799.894579
13000, 5.503791, 798.358876
13000, 5.572278, 788.546445
13500, 6.111086, 805.216906
13500, 6.115983, 804.572246
13500, 6.138179, 801.662872
13500, 6.437607, 764.375632
13500, 6.330118, 777.355116
14000, 7.008368, 783.063930
14000, 7.012367, 782.617376
14000, 7.008951, 782.998761
14000, 7.036700, 779.911037
14000, 6.822762, 804.366285
14500, 7.616123, 800.571394
14500, 7.758915, 785.837978
14500, 7.628992, 799.220928
14500, 7.728424, 788.938361
14500, 7.641933, 797.867480
15000, 8.674694, 778.125398
15000, 8.789896, 767.927136
15000, 8.480860, 795.909833
15000, 8.511540, 793.041009
15000, 8.809813, 766.191035
15500, 9.653051, 771.543669
15500, 9.613682, 774.703212
15500, 9.721313, 766.125955
15500, 9.779548, 761.563830
15500, 9.730916, 765.369882
16000, 10.275486, 797.237230
16000, 10.276112, 797.188659
16000, 10.280308, 796.863299
16000, 10.335060, 792.641729
16000, 10.349304, 791.550806
16500, 11.604502, 774.203845
16500, 11.819357, 760.130178
16500, 11.755167, 764.280948
16500, 11.592547, 775.002217
16500, 11.624574, 772.867040
17000, 12.396625, 792.635118
17000, 12.391702, 792.950006
17000, 12.491322, 786.626126
17000, 12.708958, 773.155415
17000, 12.492207, 786.570400
17500, 13.666899, 784.285420
17500, 14.059267, 762.397522
17500, 13.829138, 775.084439
17500, 13.531126, 792.155040
17500, 13.352349, 802.761362
18000, 14.825263, 786.765121
18000, 14.635821, 796.948796
18000, 14.631802, 797.167725
18000, 15.077211, 773.617903
18000, 14.638971, 796.777312
18500, 16.104533, 786.315874
18500, 15.830290, 799.937956
18500, 16.220702, 780.684437
18500, 16.859812, 751.090840
18500, 16.294202, 777.162937
19000, 17.201678, 797.480354
19000, 17.667955, 776.433933
19000, 16.995497, 807.154973
19000, 16.827602, 815.208231
19000, 17.286785, 793.554153
19500, 18.994559, 780.736753
19500, 18.539661, 799.893274
19500, 18.740203, 791.333465
19500, 18.970801, 781.714479
19500, 19.508689, 760.161276
20000, 20.692010, 773.245336
20000, 20.711223, 772.528028
20000, 20.225086, 791.096767
20000, 21.241448, 753.244302
20000, 20.146948, 794.164938
