Size, Execution Time, GFLOPs
2000, 0.027342, 585.171491
2000, 0.026009, 615.181676
2000, 0.026342, 607.391253
2000, 0.026446, 604.999382
2000, 0.026138, 612.137883
2500, 0.046654, 669.824868
2500, 0.046732, 668.706840
2500, 0.046302, 674.917783
2500, 0.047016, 664.672069
2500, 0.046766, 668.226946
3000, 0.074619, 723.672076
3000, 0.075341, 716.744137
3000, 0.075047, 719.545478
3000, 0.074925, 720.721894
3000, 0.074548, 724.368143
3500, 0.113857, 753.138925
3500, 0.113699, 754.184274
3500, 0.113428, 755.985343
3500, 0.114179, 751.015824
3500, 0.114268, 750.430833
4000, 0.162844, 786.030663
4000, 0.162723, 786.612175
4000, 0.162195, 789.175321
4000, 0.162673, 786.853174
4000, 0.162641, 787.010326
4500, 0.227819, 799.978421
4500, 0.227532, 800.987981
4500, 0.227387, 801.495731
4500, 0.227826, 799.951359
4500, 0.227680, 800.463857
5000, 0.313789, 796.714934
5000, 0.314232, 795.590534
5000, 0.313531, 797.369520
5000, 0.314295, 795.430196
5000, 0.313127, 798.398058
5500, 0.411977, 807.690311
5500, 0.411292, 809.035110
5500, 0.412248, 807.159537
5500, 0.411333, 808.954445
5500, 0.412442, 806.780295
6000, 0.529613, 815.689588
6000, 0.529248, 816.252281
6000, 0.528293, 817.727775
6000, 0.528812, 816.925586
6000, 0.529105, 816.473842
6500, 0.671305, 818.182897
6500, 0.671066, 818.474070
6500, 0.671669, 817.738565
6500, 0.672445, 816.795724
6500, 0.672008, 817.326463
7000, 0.846010, 810.864827
7000, 0.844062, 812.736116
7000, 0.844347, 812.462170
7000, 0.844862, 811.967218
7000, 0.844389, 812.421563
7500, 1.031164, 818.250449
7500, 1.032791, 816.960740
7500, 1.033090, 816.724531
7500, 1.032358, 817.303751
7500, 1.034038, 815.975900
8000, 1.244838, 822.596829
8000, 1.245960, 821.856011
8000, 1.245637, 822.069569
8000, 1.244778, 822.636449
8000, 1.245293, 822.296434
8500, 1.507499, 814.759872
8500, 1.507918, 814.533786
8500, 1.507131, 814.959146
8500, 1.506567, 815.264250
8500, 1.506552, 815.272010
9000, 1.762883, 827.054496
9000, 1.762476, 827.245440
9000, 1.762651, 827.162945
9000, 1.764109, 826.479413
9000, 1.764026, 826.518477
9500, 2.085205, 822.341110
9500, 2.086067, 822.001457
9500, 2.083852, 822.874953
9500, 2.090263, 820.351304
9500, 2.082918, 823.244317
10000, 2.439047, 819.992323
10000, 2.436997, 820.682031
10000, 2.438744, 820.094361
10000, 2.437888, 820.382197
10000, 2.440356, 819.552668
10500, 2.823899, 819.877106
10500, 2.823479, 819.998975
10500, 2.823159, 820.091832
10500, 2.822524, 820.276470
10500, 2.824906, 819.584797
11000, 3.232260, 823.572484
11000, 3.234329, 823.045452
11000, 3.233953, 823.141211
11000, 3.233269, 823.315452
11000, 3.233775, 823.186495
11500, 3.680075, 826.545749
11500, 3.679722, 826.624987
11500, 3.679738, 826.621404
11500, 3.681526, 826.219918
11500, 3.680920, 826.355981
12000, 4.193232, 824.185346
12000, 4.247427, 813.669085
12000, 4.194638, 823.908967
12000, 4.185366, 825.734183
12000, 4.194851, 823.867224
12500, 4.734278, 825.099380
12500, 4.725094, 826.703169
12500, 4.734876, 824.995136
12500, 4.723043, 827.062185
12500, 4.735017, 824.970684
13000, 5.318562, 826.163139
13000, 5.318839, 826.120105
13000, 5.316213, 826.528239
13000, 5.316441, 826.492764
13000, 5.315409, 826.653255
13500, 5.984683, 822.224031
13500, 5.950246, 826.982591
13500, 5.950443, 826.955275
13500, 5.983891, 822.332885
13500, 5.983076, 822.444797
14000, 6.644404, 825.958265
14000, 6.642443, 826.202061
14000, 6.641459, 826.324514
14000, 6.641958, 826.262363
14000, 6.646186, 825.736762
14500, 7.360851, 828.334965
14500, 7.369265, 827.389162
14500, 7.369332, 827.381668
14500, 7.434753, 820.101242
14500, 7.371121, 827.180783
15000, 8.184034, 824.776651
15000, 8.185449, 824.634039
15000, 8.185381, 824.640873
15000, 8.184860, 824.693425
15000, 8.187376, 824.439950
15500, 9.010509, 826.562672
15500, 9.013752, 826.265207
15500, 9.094876, 818.895162
15500, 9.015631, 826.092996
15500, 9.048452, 823.096603
16000, 9.930523, 824.931351
16000, 9.911020, 826.554665
16000, 9.930553, 824.928844
16000, 9.911966, 826.475804
16000, 9.910984, 826.557698
16500, 10.876957, 825.989307
16500, 10.880670, 825.707427
16500, 10.876593, 826.016937
16500, 10.875091, 826.130980
16500, 10.876811, 826.000381
17000, 11.912680, 824.835381
17000, 11.876017, 827.381761
17000, 11.875528, 827.415868
17000, 11.912667, 824.836316
17000, 11.914730, 824.693465
17500, 12.966317, 826.661109
17500, 12.975851, 826.053700
17500, 12.978171, 825.906085
17500, 12.980762, 825.741171
17500, 12.968751, 826.505961
18000, 14.036496, 830.976644
18000, 14.034998, 831.065316
18000, 14.036342, 830.985751
18000, 14.095312, 827.509197
18000, 14.078114, 828.520089
18500, 15.442371, 820.032749
18500, 15.430233, 820.677820
18500, 15.431539, 820.608368
18500, 15.428973, 820.744840
18500, 15.365032, 824.160335
19000, 16.635910, 824.601736
19000, 16.592422, 826.762975
19000, 16.474753, 832.668009
19000, 16.645483, 824.127477
19000, 16.481271, 832.338729
19500, 18.029981, 822.505013
19500, 18.036105, 822.225760
19500, 18.039581, 822.067306
19500, 18.035684, 822.244959
19500, 18.039492, 822.071357
20000, 19.427908, 823.557527
20000, 19.358378, 826.515545
20000, 19.429894, 823.473335
20000, 19.379699, 825.606222
20000, 19.427773, 823.563238
