Size, Execution Time, GFLOPs
2000, 0.027894, 573.602196
2000, 0.027357, 584.867062
2000, 0.027056, 591.372241
2000, 0.026655, 600.256940
2000, 0.026535, 602.969224
2500, 0.049676, 629.078479
2500, 0.049580, 630.292808
2500, 0.049763, 627.979007
2500, 0.049455, 631.881391
2500, 0.049816, 627.310787
3000, 0.078583, 687.168964
3000, 0.078639, 686.683717
3000, 0.078928, 684.168404
3000, 0.079264, 681.269020
3000, 0.078573, 687.257880
3500, 0.119518, 717.465242
3500, 0.119436, 717.958847
3500, 0.119699, 716.378303
3500, 0.119189, 719.446293
3500, 0.119538, 717.347110
4000, 0.168371, 760.225722
4000, 0.170316, 751.545000
4000, 0.168044, 761.707439
4000, 0.168396, 760.112584
4000, 0.169854, 753.588385
4500, 0.239686, 760.368431
4500, 0.237000, 768.988507
4500, 0.236949, 769.153810
4500, 0.237056, 768.804295
4500, 0.237608, 767.019803
5000, 0.329332, 759.113194
5000, 0.329137, 759.561913
5000, 0.329884, 757.842785
5000, 0.329171, 759.483991
5000, 0.329363, 759.041941
5500, 0.434480, 765.857343
5500, 0.434814, 765.270376
5500, 0.432036, 770.189845
5500, 0.434168, 766.408070
5500, 0.432279, 769.758280
6000, 0.551838, 782.838733
6000, 0.557595, 774.755917
6000, 0.553535, 780.438787
6000, 0.551164, 783.795311
6000, 0.553648, 780.279220
6500, 0.701459, 783.011063
6500, 0.706099, 777.865482
6500, 0.696998, 788.022766
6500, 0.698914, 785.861958
6500, 0.690275, 795.697896
7000, 0.886854, 773.520611
7000, 0.886942, 773.444353
7000, 0.886531, 773.802239
7000, 0.893372, 767.877219
7000, 0.884228, 775.817690
7500, 1.140210, 739.995542
7500, 1.137688, 741.635881
7500, 1.148772, 734.479882
7500, 1.199124, 703.638652
7500, 1.248772, 675.664011
8000, 1.359624, 753.149345
8000, 1.349396, 758.857844
8000, 1.731962, 591.237049
8000, 1.621115, 631.663834
8000, 1.451819, 705.321904
8500, 1.627620, 754.629612
8500, 1.659306, 740.218984
8500, 1.751268, 701.349133
8500, 1.829393, 671.397611
8500, 1.913488, 641.890749
9000, 1.954992, 745.783292
9000, 1.958769, 744.345049
9000, 1.918492, 759.971709
9000, 1.908228, 764.059512
9000, 2.139317, 681.525845
9500, 2.459829, 697.101302
9500, 2.607344, 657.661485
9500, 2.426710, 706.615016
9500, 2.588383, 662.479187
9500, 2.489185, 688.880113
10000, 2.634684, 759.104355
10000, 2.637045, 758.424548
10000, 2.616322, 764.432014
10000, 2.634361, 759.197536
10000, 2.606132, 767.420745
10500, 3.098482, 747.220750
10500, 3.116736, 742.844424
10500, 3.101227, 746.559312
10500, 3.092073, 748.769543
10500, 3.105335, 745.571833
11000, 3.634775, 732.369926
11000, 4.299456, 619.148162
11000, 4.020976, 662.028362
11000, 4.000585, 665.402758
11000, 3.671135, 725.116309
11500, 4.281679, 710.410604
11500, 3.996090, 761.181497
11500, 4.125698, 737.269190
11500, 4.181095, 727.500794
11500, 4.232077, 718.736841
12000, 5.152916, 670.688156
12000, 4.595102, 752.105244
12000, 4.837998, 714.345028
12000, 5.425601, 636.980096
12000, 5.362739, 644.446788
12500, 5.207327, 750.144992
12500, 5.940104, 657.606293
12500, 5.192619, 752.269720
12500, 5.242095, 745.169614
12500, 5.348073, 730.403249
13000, 5.983027, 734.410876
13000, 5.959529, 737.306564
13000, 5.968344, 736.217658
13000, 5.927709, 741.264437
13000, 5.971020, 735.887688
13500, 6.474526, 760.016995
13500, 6.888219, 714.371925
13500, 6.352776, 774.582639
13500, 6.481638, 759.183103
13500, 6.359335, 773.783724
14000, 7.316688, 750.066142
14000, 7.380504, 743.580672
14000, 7.358947, 745.758910
14000, 7.443647, 737.272972
14000, 7.921319, 692.813914
14500, 8.504603, 716.935267
14500, 8.426952, 723.541583
14500, 8.106390, 752.153588
14500, 9.658516, 631.282307
14500, 8.171044, 746.202045
15000, 9.286760, 726.841214
15000, 9.259835, 728.954644
15000, 8.946626, 754.474366
15000, 9.561038, 705.990317
15000, 10.184915, 662.744862
15500, 10.297064, 723.288714
15500, 9.860455, 755.315072
15500, 9.811288, 759.100134
15500, 10.075726, 739.177514
15500, 10.114543, 736.340751
16000, 11.333416, 722.818285
16000, 11.690679, 700.729206
16000, 11.159248, 734.099625
16000, 11.609193, 705.647700
16000, 11.019665, 743.398255
16500, 12.393417, 724.921165
16500, 12.709653, 706.883992
16500, 12.147652, 739.587371
16500, 12.261266, 732.734286
16500, 12.127378, 740.823765
17000, 15.348167, 640.206756
17000, 14.421390, 681.349016
17000, 13.031010, 754.047464
17000, 13.453750, 730.354006
17000, 13.009269, 755.307614
17500, 14.879044, 720.392377
17500, 15.385137, 696.695131
17500, 14.912069, 718.796963
17500, 14.229385, 753.282733
17500, 14.492866, 739.588023
18000, 16.111014, 723.976797
18000, 15.556282, 749.793577
18000, 16.210124, 719.550320
18000, 18.585241, 627.594780
18000, 14.975904, 778.851158
18500, 17.937854, 705.951220
18500, 20.715988, 611.279087
18500, 17.765959, 712.781687
18500, 19.502627, 649.309972
18500, 17.912844, 706.936884
19000, 18.506780, 741.241849
19000, 18.648965, 735.590408
19000, 18.285045, 750.230603
19000, 18.537606, 740.009272
19000, 19.538171, 702.112794
19500, 19.406710, 764.155810
19500, 21.530175, 688.789117
19500, 20.792192, 713.236480
19500, 19.803458, 748.846474
19500, 19.819132, 748.254253
20000, 23.455539, 682.141641
20000, 22.177069, 721.465959
20000, 20.928084, 764.522918
20000, 24.017254, 666.187730
20000, 21.585721, 741.230725
