Cores, Execution Time, GFLOPs
1, 15.713900, 127.275849
1, 15.817458, 126.442567
1, 15.818423, 126.434851
1, 15.821617, 126.409329
1, 15.833143, 126.317310
2, 9.885015, 202.326445
2, 9.892056, 202.182437
2, 9.741703, 205.302911
2, 9.745188, 205.229500
2, 9.716884, 205.827309
3, 6.170858, 324.104042
3, 6.206006, 322.268463
3, 6.173899, 323.944409
3, 6.171279, 324.081915
3, 6.174171, 323.930130
4, 4.847635, 412.572323
4, 4.857818, 411.707476
4, 4.850267, 412.348460
4, 4.862949, 411.273072
4, 4.865528, 411.055115
5, 3.690229, 541.971824
5, 3.662931, 546.010899
5, 3.656351, 546.993426
5, 3.698728, 540.726493
5, 3.745953, 533.909479
6, 3.190319, 626.896515
6, 3.226764, 619.815981
6, 3.225448, 620.068825
6, 3.180920, 628.748975
6, 3.221877, 620.756216
7, 2.538808, 787.771305
7, 2.533104, 789.545156
7, 2.568251, 778.740034
7, 2.537750, 788.099762
7, 2.591138, 771.861565
8, 2.340647, 854.464778
8, 2.319658, 862.196118
8, 2.325781, 859.926333
8, 2.342952, 853.624047
8, 2.320673, 861.819071
9, 2.130019, 938.958885
9, 2.089598, 957.121780
9, 2.095632, 954.366200
9, 2.096744, 953.859726
9, 2.095815, 954.282874
10, 1.902720, 1051.126580
10, 1.886633, 1060.089569
10, 1.909578, 1047.351912
10, 1.898928, 1053.225884
10, 1.895320, 1055.230801
11, 1.612685, 1240.168154
11, 1.616807, 1237.006090
11, 1.612237, 1240.512168
11, 1.609196, 1242.856559
11, 1.609072, 1242.952571
12, 1.537239, 1301.033539
12, 1.531426, 1305.972727
12, 1.523299, 1312.940063
12, 1.530994, 1306.340447
12, 1.540104, 1298.613222
13, 1.534380, 1303.458403
13, 1.533811, 1303.941831
13, 1.537075, 1301.173010
13, 1.522634, 1313.513115
13, 1.531176, 1306.185378
14, 1.342989, 1489.215828
14, 1.350214, 1481.246226
14, 1.343523, 1488.623819
14, 1.342904, 1489.309927
14, 1.356739, 1474.123298
15, 1.246582, 1604.386835
15, 1.248948, 1601.347084
15, 1.240543, 1612.197768
15, 1.243319, 1608.597917
15, 1.240392, 1612.393500
16, 1.186702, 1685.342914
16, 1.183251, 1690.259126
16, 1.186409, 1685.759131
16, 1.190347, 1680.181896
16, 1.185794, 1686.632945
17, 1.185689, 1686.783046
17, 1.186045, 1686.276999
17, 1.185057, 1687.682419
17, 1.188021, 1683.471836
17, 1.182667, 1691.092708
18, 1.105054, 1809.865565
18, 1.117059, 1790.415126
18, 1.106476, 1807.540340
18, 1.112197, 1798.242878
18, 1.113604, 1795.970104
19, 1.112338, 1798.015221
19, 1.109273, 1802.982487
19, 1.112394, 1797.924650
19, 1.105792, 1808.657906
19, 1.113234, 1796.567120
20, 0.964228, 2074.198126
20, 0.965286, 2071.924770
20, 0.971667, 2058.318414
20, 0.964037, 2074.608468
20, 0.962632, 2077.636420
21, 0.880441, 2271.588732
21, 0.880829, 2270.588912
21, 0.879059, 2275.160404
21, 0.876723, 2281.223297
21, 0.879152, 2274.920306
22, 0.899223, 2224.141273
22, 0.898243, 2226.568472
22, 0.905036, 2209.857932
22, 0.900747, 2220.380032
22, 0.897158, 2229.262511
23, 0.898166, 2226.760588
23, 0.902521, 2216.015581
23, 0.896570, 2230.722843
23, 0.900824, 2220.188480
23, 0.900684, 2220.534613
24, 0.880633, 2271.093941
24, 0.874524, 2286.959395
24, 0.874395, 2287.296593
24, 0.883520, 2263.673259
24, 0.876615, 2281.504024
