Cores, Execution Time, GFLOPs
1, 15.844140, 126.229634
1, 15.864046, 126.071240
1, 15.835739, 126.296600
1, 15.762705, 126.881777
1, 15.790750, 126.656432
2, 8.392768, 238.300415
2, 8.404329, 237.972609
2, 8.399975, 238.095935
2, 8.393056, 238.292226
2, 8.407510, 237.882571
3, 5.451979, 366.839289
3, 5.442558, 367.474244
3, 5.446872, 367.183248
3, 5.443547, 367.407467
3, 5.442100, 367.505221
4, 4.118824, 485.575530
4, 4.109358, 486.694016
4, 4.113597, 486.192473
4, 4.119734, 485.468268
4, 4.113911, 486.155444
5, 3.667856, 545.277669
5, 3.679445, 543.560172
5, 3.694519, 541.342485
5, 3.705950, 539.672697
5, 3.697003, 540.978690
6, 2.765108, 723.299007
6, 2.763282, 723.777080
6, 2.763720, 723.662324
6, 2.761991, 724.115260
6, 2.766226, 723.006683
7, 2.526292, 791.674186
7, 2.495335, 801.495573
7, 2.525176, 792.024118
7, 2.502232, 799.286529
7, 2.522792, 792.772505
8, 2.326069, 859.819885
8, 2.326718, 859.579823
8, 2.340787, 854.413476
8, 2.324873, 860.262139
8, 2.303607, 868.203581
9, 2.082198, 960.523455
9, 2.075131, 963.794670
9, 2.069049, 966.627452
9, 2.078750, 962.116649
9, 2.074361, 964.152535
10, 1.912572, 1045.712109
10, 1.884138, 1061.493544
10, 1.861077, 1074.646293
10, 1.885404, 1060.780660
10, 1.872507, 1068.086607
11, 1.584479, 1262.244795
11, 1.592412, 1255.956553
11, 1.572584, 1271.792188
11, 1.595813, 1253.280027
11, 1.578446, 1267.069183
12, 1.437908, 1390.909508
12, 1.433870, 1394.826140
12, 1.445058, 1384.027441
12, 1.445584, 1383.523828
12, 1.439803, 1389.078790
13, 1.440618, 1388.292813
13, 1.439176, 1389.683875
13, 1.439449, 1389.420388
13, 1.437876, 1390.940980
13, 1.448551, 1380.690485
14, 1.232854, 1622.251570
14, 1.244978, 1606.453682
14, 1.255115, 1593.479012
14, 1.266642, 1578.977833
14, 1.239080, 1614.100451
15, 1.158496, 1726.375749
15, 1.169513, 1710.113703
15, 1.162896, 1719.843701
15, 1.167868, 1712.522948
15, 1.166321, 1714.794511
16, 1.176869, 1699.424231
16, 1.169126, 1710.679464
16, 1.168256, 1711.953691
16, 1.165413, 1716.129848
16, 1.167794, 1712.630983
17, 1.161803, 1721.461692
17, 1.167124, 1713.614030
17, 1.166500, 1714.530195
17, 1.166395, 1714.684620
17, 1.165575, 1715.891136
18, 1.084542, 1844.095928
18, 1.087994, 1838.245970
18, 1.084805, 1843.648828
18, 1.084153, 1844.757517
18, 1.087171, 1839.636807
19, 1.081778, 1848.808962
19, 1.106405, 1807.656183
19, 1.082510, 1847.558483
19, 1.080808, 1850.467284
19, 1.095269, 1826.035024
20, 0.954740, 2094.810606
20, 0.957402, 2088.987085
20, 0.955263, 2093.663427
20, 0.955273, 2093.642256
20, 0.954199, 2095.999238
21, 0.874558, 2286.868585
21, 0.872843, 2291.363300
21, 0.873420, 2289.847817
21, 0.877230, 2279.904659
21, 0.875106, 2285.437335
22, 0.893661, 2237.986119
22, 0.892069, 2241.979035
22, 0.891988, 2242.181748
22, 0.893334, 2238.803660
22, 0.895871, 2232.464055
23, 0.889414, 2248.672007
23, 0.893775, 2237.700774
23, 0.894374, 2236.200620
23, 0.890631, 2245.598458
23, 0.894015, 2237.098700
24, 0.878401, 2276.865592
24, 0.876457, 2281.914030
24, 0.878645, 2276.231738
24, 0.876833, 2280.936987
24, 0.877718, 2278.637416
