Cores, Execution Time, GFLOPs
1, 14.987744, 133.442366
1, 15.049901, 132.891242
1, 14.973896, 133.565773
1, 14.983802, 133.477474
1, 15.012432, 133.222921
2, 9.169859, 218.105867
2, 8.969840, 222.969419
2, 9.018474, 221.766998
2, 8.953419, 223.378347
2, 9.067898, 220.558272
3, 5.469710, 365.650083
3, 5.461470, 366.201789
3, 5.468000, 365.764424
3, 5.462363, 366.141932
3, 5.612050, 356.376006
4, 4.130940, 484.151341
4, 4.145355, 482.467726
4, 4.142618, 482.786517
4, 4.144305, 482.589910
4, 4.144711, 482.542730
5, 3.185186, 627.906863
5, 3.183629, 628.213943
5, 3.184022, 628.136293
5, 3.192356, 626.496498
5, 3.194309, 626.113567
6, 2.667640, 749.726321
6, 2.671113, 748.751649
6, 2.661656, 751.411961
6, 2.671799, 748.559421
6, 2.664879, 750.503192
7, 2.276443, 878.563557
7, 2.269628, 881.201793
7, 2.268005, 881.832305
7, 2.270353, 880.920470
7, 2.271053, 880.648835
8, 1.970407, 1015.018551
8, 1.968796, 1015.849317
8, 1.970026, 1015.214890
8, 1.963760, 1018.454443
8, 1.971066, 1014.679591
9, 1.727446, 1157.778510
9, 1.731496, 1155.070696
9, 1.733823, 1153.520175
9, 1.735617, 1152.327671
9, 1.727516, 1157.731946
10, 1.553059, 1287.780757
10, 1.552046, 1288.621766
10, 1.546190, 1293.502091
10, 1.554198, 1286.837311
10, 1.550955, 1289.527913
11, 1.403022, 1425.493960
11, 1.407616, 1420.841915
11, 1.403137, 1425.377747
11, 1.408130, 1420.323667
11, 1.405135, 1423.350729
12, 1.299256, 1539.342723
12, 1.294665, 1544.800586
12, 1.292321, 1547.602616
12, 1.290832, 1549.388744
12, 1.300821, 1537.490844
13, 1.190542, 1679.907053
13, 1.194835, 1673.871672
13, 1.192050, 1677.782554
13, 1.194107, 1674.891109
13, 1.193780, 1675.349870
14, 1.115174, 1793.442383
14, 1.116659, 1791.057216
14, 1.115212, 1793.380203
14, 1.115701, 1792.595402
14, 1.114798, 1794.047751
15, 1.034785, 1932.769018
15, 1.030225, 1941.323226
15, 1.036023, 1930.458616
15, 1.018893, 1962.914619
15, 1.035882, 1930.721259
16, 0.959345, 2084.756258
16, 0.959139, 2085.203511
16, 0.956428, 2091.114619
16, 0.958712, 2086.131442
16, 0.957685, 2088.370387
17, 0.902180, 2216.851790
17, 0.903670, 2213.196845
17, 0.903184, 2214.387738
17, 0.902198, 2216.807549
17, 0.902900, 2215.084759
18, 0.853383, 2343.612578
18, 0.854302, 2341.092398
18, 0.854240, 2341.263154
18, 0.852203, 2346.857341
18, 0.852479, 2346.099448
19, 0.810751, 2466.847807
19, 0.808867, 2472.593159
19, 0.808257, 2474.459134
19, 0.810550, 2467.459079
19, 0.809855, 2469.578177
20, 0.771206, 2593.339575
20, 0.768559, 2602.273584
20, 0.771349, 2592.860354
20, 0.769891, 2597.769598
20, 0.771536, 2592.232168
21, 0.735560, 2719.016962
21, 0.735085, 2720.773633
21, 0.733841, 2725.385482
21, 0.734213, 2724.005285
21, 0.734787, 2721.878406
22, 0.703655, 2842.302356
22, 0.705220, 2835.996239
22, 0.703746, 2841.936314
22, 0.706076, 2832.556193
22, 0.704156, 2840.278476
23, 0.674560, 2964.893785
23, 0.675364, 2961.367975
23, 0.674778, 2963.936649
23, 0.675440, 2961.034115
23, 0.674198, 2966.489222
24, 0.648025, 3086.302936
24, 0.649849, 3077.639263
24, 0.648705, 3083.064513
24, 0.646940, 3091.478093
24, 0.648536, 3083.867572
