Cores, Execution Time, GFLOPs
1, 14.994220, 133.384727
1, 14.992903, 133.396450
1, 14.993915, 133.387447
1, 14.989589, 133.425943
1, 14.995307, 133.375064
2, 7.812534, 255.998888
2, 7.852614, 254.692257
2, 7.835191, 255.258618
2, 7.813504, 255.967112
2, 7.851120, 254.740735
3, 5.123292, 390.374016
3, 5.123443, 390.362533
3, 5.122972, 390.398412
3, 5.123810, 390.334520
3, 5.120862, 390.559258
4, 3.778886, 529.256492
4, 3.778516, 529.308310
4, 3.779263, 529.203700
4, 3.780227, 529.068758
4, 3.778242, 529.346709
5, 3.188282, 627.297168
5, 3.172053, 630.506557
5, 3.190461, 626.868734
5, 3.164277, 632.055945
5, 3.192960, 626.377996
6, 2.493210, 802.178666
6, 2.494994, 801.605157
6, 2.494148, 801.877030
6, 2.494578, 801.738711
6, 2.494059, 801.905747
7, 2.227169, 898.000814
7, 2.221027, 900.484150
7, 2.221977, 900.099337
7, 2.228565, 897.438355
7, 2.225018, 898.868942
8, 1.969096, 1015.694265
8, 1.967394, 1016.573227
8, 1.960954, 1019.911880
8, 1.968450, 1016.027883
8, 1.971449, 1014.482027
9, 1.713297, 1167.340107
9, 1.719507, 1163.124208
9, 1.716521, 1165.147709
9, 1.713193, 1167.411005
9, 1.708937, 1170.318323
10, 1.512163, 1322.608862
10, 1.522494, 1313.633695
10, 1.519442, 1316.272724
10, 1.522792, 1313.376762
10, 1.521612, 1314.395535
11, 1.372127, 1457.591135
11, 1.376005, 1453.483101
11, 1.375028, 1454.515505
11, 1.371913, 1457.817915
11, 1.372323, 1457.383315
12, 1.244035, 1607.671887
12, 1.243962, 1607.766610
12, 1.243677, 1608.134693
12, 1.244487, 1607.088128
12, 1.244023, 1607.687767
13, 1.166547, 1714.461459
13, 1.167561, 1712.972673
13, 1.158601, 1726.219462
13, 1.165182, 1716.469674
13, 1.166483, 1714.555205
14, 1.086372, 1840.989784
14, 1.084913, 1843.465608
14, 1.083416, 1846.013392
14, 1.085833, 1841.903874
14, 1.085298, 1842.812301
15, 1.005122, 1989.807713
15, 1.005507, 1989.045827
15, 1.005159, 1989.735727
15, 1.006337, 1987.404836
15, 1.005933, 1988.203049
16, 0.947431, 2110.970580
16, 0.946733, 2112.527435
16, 0.947342, 2111.170419
16, 0.947048, 2111.826200
16, 0.947573, 2110.655028
17, 0.894622, 2235.581056
17, 0.895558, 2233.243826
17, 0.894846, 2235.021385
17, 0.894620, 2235.586804
17, 0.894050, 2237.011510
18, 0.847546, 2359.753616
18, 0.845624, 2365.117192
18, 0.846282, 2363.279733
18, 0.845795, 2364.640206
18, 0.847116, 2360.951839
19, 0.803982, 2487.618847
19, 0.804964, 2484.582189
19, 0.803366, 2489.523959
19, 0.804060, 2487.376397
19, 0.804977, 2484.542601
20, 0.767836, 2604.722979
20, 0.767142, 2607.078498
20, 0.767303, 2606.533324
20, 0.767443, 2606.057691
20, 0.767383, 2606.259605
21, 0.734214, 2724.002941
21, 0.731409, 2734.446934
21, 0.732434, 2730.623065
21, 0.731094, 2735.625572
21, 0.732054, 2732.038158
22, 0.702243, 2848.016340
22, 0.703939, 2841.154564
22, 0.701585, 2850.687305
22, 0.703172, 2844.253756
22, 0.700995, 2853.089017
23, 0.676664, 2955.678162
23, 0.672009, 2976.152800
23, 0.675387, 2961.265868
23, 0.674538, 2964.991360
23, 0.676117, 2958.067838
24, 0.648020, 3086.326716
24, 0.649557, 3079.023487
24, 0.647869, 3087.044770
24, 0.647350, 3089.518722
24, 0.647683, 3087.930804
