Cores, Execution Time, GFLOPs
1, 14.505025, 137.883246
1, 14.489667, 138.029398
1, 14.516280, 137.776344
1, 14.511032, 137.826175
1, 14.761263, 135.489762
2, 8.589642, 232.838567
2, 8.593728, 232.727869
2, 8.756489, 228.402039
2, 8.739912, 228.835251
2, 8.540622, 234.174969
3, 5.388115, 371.187294
3, 5.596845, 357.344186
3, 5.395913, 370.650882
3, 5.579647, 358.445589
3, 5.548289, 360.471463
4, 4.096068, 488.273123
4, 4.092515, 488.697037
4, 4.100749, 487.715790
4, 4.097260, 488.131100
4, 4.101072, 487.677384
5, 3.260090, 613.479902
5, 3.260524, 613.398310
5, 3.267475, 612.093424
5, 3.257556, 613.957264
5, 3.261208, 613.269731
6, 2.706321, 739.010709
6, 2.703091, 739.893663
6, 2.700840, 740.510268
6, 2.710500, 737.871238
6, 2.696409, 741.727361
7, 2.351871, 850.386850
7, 2.355739, 848.990392
7, 2.351735, 850.435990
7, 2.349431, 851.269814
7, 2.351708, 850.445706
8, 1.930087, 1036.222512
8, 1.934572, 1033.820237
8, 1.928545, 1037.051096
8, 1.932010, 1035.191178
8, 1.936863, 1032.597369
9, 1.737793, 1150.885200
9, 1.739550, 1149.722884
9, 1.745741, 1145.645617
9, 1.736706, 1151.605173
9, 1.738214, 1150.606612
10, 1.550802, 1289.655619
10, 1.538729, 1299.774039
10, 1.539102, 1299.458676
10, 1.540217, 1298.518605
10, 1.544289, 1295.094066
11, 1.408206, 1420.246358
11, 1.410321, 1418.116552
11, 1.413153, 1415.275379
11, 1.403801, 1424.703439
11, 1.407720, 1420.737277
12, 1.310530, 1526.100187
12, 1.327876, 1506.164824
12, 1.296058, 1543.140945
12, 1.311682, 1524.759626
12, 1.312222, 1524.132744
13, 1.184379, 1688.648911
13, 1.186841, 1685.145425
13, 1.183986, 1689.209645
13, 1.184020, 1689.160318
13, 1.184928, 1687.866227
14, 1.138159, 1757.224082
14, 1.107863, 1805.276601
14, 1.119457, 1786.579766
14, 1.115170, 1793.448626
14, 1.119818, 1786.005156
15, 0.999002, 2001.998575
15, 1.002393, 1995.225519
15, 1.000381, 1999.238666
15, 1.023264, 1954.529110
15, 0.999738, 2000.523663
16, 0.945824, 2114.558722
16, 0.944376, 2117.801201
16, 0.946621, 2112.777871
16, 0.944034, 2118.567173
16, 0.943136, 2120.585437
17, 0.897099, 2229.408244
17, 0.894895, 2234.899344
17, 0.900454, 2221.101075
17, 0.899343, 2223.844502
17, 0.897768, 2227.747357
18, 0.848815, 2356.226641
18, 0.848969, 2355.799609
18, 0.859509, 2326.910619
18, 0.859672, 2326.469035
18, 0.849662, 2353.876505
19, 0.800312, 2499.026267
19, 0.799245, 2502.361976
19, 0.796532, 2510.884944
19, 0.799363, 2501.991135
19, 0.798440, 2504.884729
20, 0.800441, 2498.623493
20, 0.794703, 2516.663436
20, 0.801614, 2494.966100
20, 0.794551, 2517.144754
20, 0.795017, 2515.668752
21, 0.737216, 2712.910932
21, 0.735730, 2718.389969
21, 0.737528, 2711.759621
21, 0.738805, 2707.075526
21, 0.738186, 2709.343839
22, 0.740907, 2699.393272
22, 0.732576, 2730.092637
22, 0.743904, 2688.520535
22, 0.734496, 2722.956250
22, 0.731989, 2732.281350
23, 0.691835, 2890.861883
23, 0.689580, 2900.315718
23, 0.688874, 2903.288142
23, 0.689709, 2899.774173
23, 0.689057, 2902.516854
24, 0.659737, 3031.508841
24, 0.658973, 3035.025111
24, 0.659131, 3034.300464
24, 0.659690, 3031.726573
24, 0.660341, 3028.740145
