Cores, Execution Time, GFLOPs
1, 14.579516, 137.178766
1, 14.583968, 137.136886
1, 14.554122, 137.418110
1, 14.536907, 137.580849
1, 14.725988, 135.814318
2, 7.727960, 258.800496
2, 7.735914, 258.534412
2, 7.728379, 258.786478
2, 7.728615, 258.778569
2, 7.748071, 258.128773
3, 5.073451, 394.208970
3, 5.067768, 394.651034
3, 5.121686, 390.496396
3, 5.069117, 394.546021
3, 5.065646, 394.816340
4, 3.711870, 538.812003
4, 3.713658, 538.552556
4, 3.730053, 536.185447
4, 3.713769, 538.536438
4, 3.711098, 538.924121
5, 3.250975, 615.199965
5, 3.256825, 614.095088
5, 3.249869, 615.409338
5, 3.245834, 616.174446
5, 3.258038, 613.866297
6, 2.479648, 806.565959
6, 2.475801, 807.819267
6, 2.477984, 807.107684
6, 2.476342, 807.643009
6, 2.478278, 807.012097
7, 2.278508, 877.767345
7, 2.279228, 877.489960
7, 2.270434, 880.889023
7, 2.275122, 879.073634
7, 2.272278, 880.173995
8, 1.929271, 1036.661263
8, 1.928740, 1036.946215
8, 1.927514, 1037.606139
8, 1.935098, 1033.539227
8, 1.929464, 1036.557105
9, 1.737016, 1151.400076
9, 1.731044, 1155.372166
9, 1.733695, 1153.605295
9, 1.722713, 1160.959734
9, 1.733993, 1153.406864
10, 1.536783, 1301.419501
10, 1.529185, 1307.886018
10, 1.528147, 1308.774581
10, 1.534758, 1303.136993
10, 1.527156, 1309.624321
11, 1.392264, 1436.509595
11, 1.381242, 1447.971717
11, 1.384263, 1444.811646
11, 1.381671, 1447.522886
11, 1.381081, 1448.140861
12, 1.265756, 1580.083560
12, 1.260348, 1586.862983
12, 1.259127, 1588.402625
12, 1.261402, 1585.537731
12, 1.261399, 1585.541132
13, 1.179181, 1696.092998
13, 1.176684, 1699.691413
13, 1.189001, 1682.084475
13, 1.181356, 1692.969057
13, 1.177942, 1697.876544
14, 1.071924, 1865.804600
14, 1.078106, 1855.104704
14, 1.083565, 1845.758955
14, 1.077156, 1856.742088
14, 1.098285, 1821.020632
15, 0.985888, 2028.627840
15, 0.983793, 2032.947019
15, 0.984389, 2031.716909
15, 0.986156, 2028.075737
15, 0.985273, 2029.893573
16, 0.944715, 2117.039648
16, 0.942581, 2121.834180
16, 0.940838, 2125.763769
16, 0.945356, 2115.604106
16, 0.949837, 2105.623898
17, 0.905920, 2207.700286
17, 0.891998, 2242.156649
17, 0.890021, 2247.138873
17, 0.892507, 2240.878969
17, 0.892651, 2240.517865
18, 0.842501, 2373.884569
18, 0.843819, 2370.177936
18, 0.845270, 2366.107154
18, 0.860081, 2325.362795
18, 0.843619, 2370.739054
19, 0.793693, 2519.867514
19, 0.792448, 2523.826156
19, 0.794784, 2516.405530
19, 0.796333, 2511.513371
19, 0.792578, 2523.411391
20, 0.773889, 2584.348503
20, 0.780256, 2563.261210
20, 0.773005, 2587.305828
20, 0.773366, 2586.097653
20, 0.773866, 2584.425689
21, 0.734321, 2723.603741
21, 0.732906, 2728.861797
21, 0.731983, 2732.303276
21, 0.733313, 2727.348803
21, 0.732978, 2728.595559
22, 0.731395, 2734.500936
22, 0.733533, 2726.531486
22, 0.740465, 2701.004406
22, 0.730961, 2736.123613
22, 0.730016, 2739.664651
23, 0.690909, 2894.739050
23, 0.687961, 2907.143368
23, 0.689701, 2899.805386
23, 0.687890, 2907.441508
23, 0.691591, 2891.882534
24, 0.661781, 3022.147897
24, 0.661311, 3024.296219
24, 0.661874, 3021.723661
24, 0.660612, 3027.493819
24, 0.661877, 3021.710362
