Size, Execution Time, GFLOPs
2000, 0.015567, 1027.820400
2000, 0.015525, 1030.613405
2000, 0.015698, 1019.248378
2000, 0.015476, 1033.852866
2000, 0.015522, 1030.782582
2500, 0.026902, 1161.614906
2500, 0.026866, 1163.171136
2500, 0.026671, 1171.685480
2500, 0.026560, 1176.594704
2500, 0.027034, 1155.930898
3000, 0.043370, 1245.092520
3000, 0.043561, 1239.642130
3000, 0.043730, 1234.851968
3000, 0.043548, 1240.006979
3000, 0.043693, 1235.882701
3500, 0.071826, 1193.860037
3500, 0.072638, 1180.518176
3500, 0.072122, 1188.951220
3500, 0.072563, 1181.735385
3500, 0.072468, 1183.280505
4000, 0.102926, 1243.609161
4000, 0.103043, 1242.203885
4000, 0.102564, 1247.998802
4000, 0.102340, 1250.727706
4000, 0.102639, 1247.088548
4500, 0.142145, 1282.142053
4500, 0.141858, 1284.738582
4500, 0.141588, 1287.188600
4500, 0.141729, 1285.902123
4500, 0.141676, 1286.385230
5000, 0.193342, 1293.045076
5000, 0.193153, 1294.307545
5000, 0.193091, 1294.727575
5000, 0.193553, 1291.635195
5000, 0.193374, 1292.829569
5500, 0.251755, 1321.721457
5500, 0.251759, 1321.700578
5500, 0.251507, 1323.022602
5500, 0.251823, 1321.365496
5500, 0.251675, 1322.142838
6000, 0.328328, 1315.759301
6000, 0.328904, 1313.453900
6000, 0.330094, 1308.716271
6000, 0.329241, 1312.109704
6000, 0.328485, 1315.127356
6500, 0.424983, 1292.404789
6500, 0.421997, 1301.548482
6500, 0.423699, 1296.320851
6500, 0.421261, 1303.822793
6500, 0.423650, 1296.472481
7000, 0.524662, 1307.509143
7000, 0.525349, 1305.799807
7000, 0.524353, 1308.278456
7000, 0.524416, 1308.121737
7000, 0.524485, 1307.948987
7500, 0.642233, 1313.776142
7500, 0.640049, 1318.258300
7500, 0.639679, 1319.020633
7500, 0.640896, 1316.516768
7500, 0.640980, 1316.343726
8000, 0.771580, 1327.147304
8000, 0.771412, 1327.435542
8000, 0.771257, 1327.702442
8000, 0.774392, 1322.328555
8000, 0.767645, 1333.950511
8500, 0.915066, 1342.252571
8500, 0.908804, 1351.500848
8500, 0.912019, 1346.736835
8500, 0.913227, 1344.956056
8500, 0.911477, 1347.538659
9000, 1.099552, 1325.994769
9000, 1.098785, 1326.920131
9000, 1.100630, 1324.696269
9000, 1.099703, 1325.812790
9000, 1.101404, 1323.764924
9500, 1.309573, 1309.395876
9500, 1.315290, 1303.705111
9500, 1.304871, 1314.114104
9500, 1.310523, 1308.447126
9500, 1.310550, 1308.420220
10000, 1.534901, 1303.015470
10000, 1.533258, 1304.412082
10000, 1.533946, 1303.826759
10000, 1.535823, 1302.233192
10000, 1.530734, 1306.562928
10500, 1.734296, 1334.979490
10500, 1.734770, 1334.615223
10500, 1.736489, 1333.293787
10500, 1.732382, 1336.455029
10500, 1.734730, 1334.645724
11000, 2.022870, 1315.952350
11000, 2.012297, 1322.866618
11000, 2.019758, 1317.979390
11000, 2.000730, 1330.514215
11000, 2.011509, 1323.384593
11500, 2.282109, 1332.867691
11500, 2.251854, 1350.775938
11500, 2.260333, 1345.708695
11500, 2.265883, 1342.412680
11500, 2.259025, 1346.487893
12000, 2.596604, 1330.969104
12000, 2.609941, 1324.167922
12000, 2.604017, 1327.180118
12000, 2.603913, 1327.233087
12000, 2.647353, 1305.454784
12500, 3.001243, 1301.543946
12500, 2.989879, 1306.491133
12500, 2.999171, 1302.443410
12500, 3.009767, 1297.858143
12500, 2.995466, 1304.054030
13000, 3.392790, 1295.099257
13000, 3.341472, 1314.989210
13000, 3.415686, 1286.417947
13000, 3.389749, 1296.261164
13000, 3.407832, 1289.382923
13500, 3.699494, 1330.114321
13500, 3.703259, 1328.762217
13500, 3.748333, 1312.783415
13500, 3.686828, 1334.684018
13500, 3.716679, 1323.964064
14000, 4.143254, 1324.562758
14000, 4.112100, 1334.597820
14000, 4.095310, 1340.069415
14000, 4.124715, 1330.516082
14000, 4.210509, 1303.405209
14500, 4.590722, 1328.167899
14500, 4.622498, 1319.037790
14500, 4.550062, 1340.036773
14500, 4.589478, 1328.528005
14500, 4.640756, 1313.848310
15000, 5.161755, 1307.694779
15000, 5.195513, 1299.198034
15000, 5.241958, 1287.686667
15000, 5.179177, 1303.295839
15000, 5.152215, 1310.116036
15500, 5.858650, 1271.239863
15500, 5.820801, 1279.506026
15500, 5.781315, 1288.244936
15500, 5.797672, 1284.610344
15500, 5.830910, 1277.287817
16000, 6.422046, 1275.605896
16000, 6.416199, 1276.768290
16000, 6.395285, 1280.943777
16000, 6.389730, 1282.057289
16000, 6.402061, 1279.587868
16500, 6.846429, 1312.253386
16500, 6.766755, 1327.704363
16500, 6.777464, 1325.606390
16500, 6.973637, 1288.316298
16500, 6.967348, 1289.479163
17000, 7.409778, 1326.085535
17000, 7.337189, 1339.204916
17000, 7.311845, 1343.846942
17000, 7.308245, 1344.508840
17000, 7.333419, 1339.893435
17500, 7.930018, 1351.667808
17500, 7.963625, 1345.963702
17500, 8.159564, 1313.642544
17500, 7.926891, 1352.201037
17500, 7.881623, 1359.967324
18000, 8.757038, 1331.957201
18000, 8.780457, 1328.404688
18000, 8.778802, 1328.655074
18000, 8.606017, 1355.330810
18000, 8.643296, 1349.485124
18500, 9.436225, 1341.982681
18500, 9.460428, 1338.549382
18500, 9.453127, 1339.583164
18500, 9.407325, 1346.105225
18500, 9.925672, 1275.807767
19000, 10.322973, 1328.880741
19000, 10.353578, 1324.952597
19000, 10.145089, 1352.181372
19000, 10.182450, 1347.220028
19000, 10.471450, 1310.038289
19500, 11.029230, 1344.586155
19500, 11.020981, 1345.592539
19500, 10.919198, 1358.135412
19500, 11.026389, 1344.932618
19500, 10.899342, 1360.609694
20000, 11.831618, 1352.308736
20000, 11.811415, 1354.621790
20000, 11.896326, 1344.953005
20000, 11.834604, 1351.967557
20000, 11.783307, 1357.853050
