Size, Execution Time, GFLOPs
2000, 0.015411, 1038.231109
2000, 0.015135, 1057.178001
2000, 0.014852, 1077.303821
2000, 0.015213, 1051.756269
2000, 0.014835, 1078.503676
2500, 0.026340, 1186.407693
2500, 0.026813, 1165.460958
2500, 0.026484, 1179.966666
2500, 0.026076, 1198.441236
2500, 0.026739, 1168.713717
3000, 0.043266, 1248.079316
3000, 0.042977, 1256.473339
3000, 0.043572, 1239.326046
3000, 0.043617, 1238.043339
3000, 0.043424, 1243.563207
3500, 0.069496, 1233.888350
3500, 0.069128, 1240.454037
3500, 0.068697, 1248.229134
3500, 0.069203, 1239.110334
3500, 0.070135, 1222.643669
4000, 0.099480, 1286.693017
4000, 0.099832, 1282.154828
4000, 0.099170, 1290.706696
4000, 0.098862, 1294.738055
4000, 0.098796, 1295.601491
4500, 0.137898, 1321.627938
4500, 0.139905, 1302.665162
4500, 0.137338, 1327.013502
4500, 0.137396, 1326.458535
4500, 0.138160, 1319.124885
5000, 0.188446, 1326.638535
5000, 0.188469, 1326.479432
5000, 0.188391, 1327.024306
5000, 0.189825, 1317.000123
5000, 0.188571, 1325.759239
5500, 0.239455, 1389.616753
5500, 0.239682, 1388.296791
5500, 0.238410, 1395.706389
5500, 0.240038, 1386.237384
5500, 0.241762, 1376.352835
6000, 0.317861, 1359.083126
6000, 0.323016, 1337.395114
6000, 0.317614, 1360.142489
6000, 0.315044, 1371.234975
6000, 0.316551, 1364.711151
6500, 0.401661, 1367.446926
6500, 0.399203, 1375.865504
6500, 0.398621, 1377.874814
6500, 0.399091, 1376.252561
6500, 0.397006, 1383.481818
7000, 0.504902, 1358.680402
7000, 0.500488, 1370.661283
7000, 0.500105, 1371.711249
7000, 0.497419, 1379.119814
7000, 0.500959, 1369.373183
7500, 0.613640, 1374.992737
7500, 0.612165, 1378.305256
7500, 0.612550, 1377.438361
7500, 0.607157, 1389.673893
7500, 0.608679, 1386.197828
8000, 0.736026, 1391.254380
8000, 0.738221, 1387.117593
8000, 0.737452, 1388.564150
8000, 0.745750, 1373.113760
8000, 0.736251, 1390.829361
8500, 0.871790, 1408.882291
8500, 0.866254, 1417.886291
8500, 0.879019, 1397.297054
8500, 0.867302, 1416.172935
8500, 0.872744, 1407.342402
9000, 1.034062, 1409.973365
9000, 1.035530, 1407.975106
9000, 1.042095, 1399.104189
9000, 1.043599, 1397.088470
9000, 1.041398, 1400.041363
9500, 1.226973, 1397.545537
9500, 1.227786, 1396.619184
9500, 1.221317, 1404.016978
9500, 1.228237, 1396.106837
9500, 1.228754, 1395.519862
10000, 1.438388, 1390.445383
10000, 1.437005, 1391.783223
10000, 1.434733, 1393.987993
10000, 1.434684, 1394.035136
10000, 1.433218, 1395.461214
10500, 1.633458, 1417.392241
10500, 1.633598, 1417.270522
10500, 1.648039, 1404.851688
10500, 1.624731, 1425.004697
10500, 1.634251, 1416.703634
11000, 1.915032, 1390.055271
11000, 1.887329, 1410.459066
11000, 1.888581, 1409.523603
11000, 1.894357, 1405.226095
11000, 1.905749, 1396.826402
11500, 2.120508, 1434.443841
11500, 2.140730, 1420.893732
11500, 2.134900, 1424.774222
11500, 2.143423, 1419.108416
11500, 2.144842, 1418.169659
12000, 2.430630, 1421.853547
12000, 2.450156, 1410.522515
12000, 2.423446, 1426.068471
12000, 2.440630, 1416.027611
12000, 2.461249, 1404.165304
12500, 2.778334, 1405.968492
12500, 2.757046, 1416.824553
12500, 2.778827, 1405.718885
12500, 2.764789, 1412.856654
12500, 2.782532, 1403.847321
13000, 3.158989, 1390.951529
13000, 3.151152, 1394.410597
13000, 3.148459, 1395.603270
13000, 3.125160, 1406.008166
13000, 3.119956, 1408.353054
13500, 3.474366, 1416.301472
13500, 3.459771, 1422.276252
13500, 3.467354, 1419.165850
13500, 3.473592, 1416.617156
13500, 3.488407, 1410.600781
14000, 3.881400, 1413.922846
14000, 3.849893, 1425.494005
14000, 3.841813, 1428.492077
14000, 3.890244, 1410.708462
14000, 3.867742, 1418.915750
14500, 4.329877, 1408.180855
14500, 4.305209, 1416.249569
14500, 4.328548, 1408.613387
14500, 4.244455, 1436.521189
14500, 4.288414, 1421.796019
15000, 4.788528, 1409.619044
15000, 4.789109, 1409.447862
15000, 4.834211, 1396.298247
15000, 4.829577, 1397.637966
15000, 4.825028, 1398.955615
15500, 5.310064, 1402.572583
15500, 5.311667, 1402.149220
15500, 5.318157, 1400.438146
15500, 5.312239, 1401.998258
15500, 5.252410, 1417.968038
16000, 5.894711, 1389.720350
16000, 5.863403, 1397.140899
16000, 5.886419, 1391.678028
16000, 5.796798, 1413.194061
16000, 5.864121, 1396.969907
16500, 6.353146, 1414.141807
16500, 6.330282, 1419.249506
16500, 6.337199, 1417.700524
16500, 6.350382, 1414.757510
16500, 6.242593, 1439.185671
17000, 6.968344, 1410.091107
17000, 6.935607, 1416.746918
17000, 6.953873, 1413.025459
17000, 6.950037, 1413.805522
17000, 6.878921, 1428.421597
17500, 7.547728, 1420.129248
17500, 7.592265, 1411.798648
17500, 7.590431, 1412.139875
17500, 7.574873, 1415.040313
17500, 7.595605, 1411.177877
18000, 8.170376, 1427.596457
18000, 8.262690, 1411.646755
18000, 8.184526, 1425.128262
18000, 8.159457, 1429.506943
18000, 8.292815, 1406.518854
18500, 9.124033, 1387.900463
18500, 9.019925, 1403.919634
18500, 9.093182, 1392.609375
18500, 9.097431, 1391.958955
18500, 9.111817, 1389.761281
19000, 9.779973, 1402.662344
19000, 9.743013, 1407.983269
19000, 9.788130, 1401.493393
19000, 9.830896, 1395.396674
19000, 9.776885, 1403.105369
19500, 10.594146, 1399.806133
19500, 10.451829, 1418.866548
19500, 10.428909, 1421.984758
19500, 10.365187, 1430.726774
19500, 10.487508, 1414.039468
20000, 11.339343, 1411.016475
20000, 11.203630, 1428.108578
20000, 11.422332, 1400.764750
20000, 11.242542, 1423.165694
20000, 11.288452, 1417.377637
