Size, Execution Time, GFLOPs
2000, 0.078148, 204.738593
2000, 0.016775, 953.807803
2000, 0.016639, 961.600064
2000, 0.016472, 971.356812
2000, 0.016734, 956.132120
2500, 0.027101, 1153.085557
2500, 0.027278, 1145.613066
2500, 0.027054, 1155.106179
2500, 0.027248, 1146.873965
2500, 0.027649, 1130.222173
3000, 0.041680, 1295.584542
3000, 0.041579, 1298.727879
3000, 0.041731, 1294.007642
3000, 0.041798, 1291.943267
3000, 0.041845, 1290.461988
3500, 0.064656, 1326.239722
3500, 0.065048, 1318.265920
3500, 0.064190, 1335.883378
3500, 0.064779, 1323.731252
3500, 0.064533, 1328.767785
4000, 0.089352, 1432.540926
4000, 0.089392, 1431.891547
4000, 0.089290, 1433.523308
4000, 0.089481, 1430.467772
4000, 0.089597, 1428.626660
4500, 0.125736, 1449.463391
4500, 0.126285, 1443.166785
4500, 0.125597, 1451.074209
4500, 0.125662, 1450.322042
4500, 0.125476, 1452.463303
5000, 0.173555, 1440.464231
5000, 0.173017, 1444.945827
5000, 0.174061, 1436.276774
5000, 0.173091, 1444.325771
5000, 0.173167, 1443.695984
5500, 0.223415, 1489.383975
5500, 0.222914, 1492.731445
5500, 0.223813, 1486.731835
5500, 0.222829, 1493.294495
5500, 0.223836, 1486.579467
6000, 0.286494, 1507.882771
6000, 0.286150, 1509.695685
6000, 0.285753, 1511.795919
6000, 0.285543, 1512.908625
6000, 0.286181, 1509.532203
6500, 0.356236, 1541.813808
6500, 0.356033, 1542.694388
6500, 0.354712, 1548.438411
6500, 0.355461, 1545.176115
6500, 0.354433, 1549.660088
7000, 0.441704, 1553.077569
7000, 0.442570, 1550.037846
7000, 0.442167, 1551.448520
7000, 0.441825, 1552.650655
7000, 0.442801, 1549.229860
7500, 0.539309, 1564.502006
7500, 0.539572, 1563.739072
7500, 0.540269, 1561.721745
7500, 0.538593, 1566.582645
7500, 0.538571, 1566.646199
8000, 0.649182, 1577.370505
8000, 0.647116, 1582.406774
8000, 0.648071, 1580.072813
8000, 0.647643, 1581.116994
8000, 0.648618, 1578.740335
8500, 0.782060, 1570.532412
8500, 0.782149, 1570.353178
8500, 0.784904, 1564.840251
8500, 0.783318, 1568.009929
8500, 0.782407, 1569.834467
9000, 0.925546, 1575.286865
9000, 0.926105, 1574.335058
9000, 0.925850, 1574.768405
9000, 0.925118, 1576.015110
9000, 0.926703, 1573.320453
9500, 1.094230, 1567.084384
9500, 1.096777, 1563.444272
9500, 1.094436, 1566.788773
9500, 1.093487, 1568.148665
9500, 1.095128, 1565.799007
10000, 1.288398, 1552.315016
10000, 1.285151, 1556.237417
10000, 1.288310, 1552.420900
10000, 1.284839, 1556.615341
10000, 1.285584, 1555.712751
10500, 1.468603, 1576.497817
10500, 1.466174, 1579.110501
10500, 1.470710, 1574.239128
10500, 1.468178, 1576.954134
10500, 1.471036, 1573.890397
11000, 1.687482, 1577.498010
11000, 1.685243, 1579.594515
11000, 1.682901, 1581.792607
11000, 1.685181, 1579.652117
11000, 1.682314, 1582.344334
11500, 1.923637, 1581.249575
