Size, Execution Time, GFLOPs
2000, 0.016263, 983.821547
2000, 0.015747, 1016.049454
2000, 0.015542, 1029.483308
2000, 0.015793, 1013.096168
2000, 0.015420, 1037.628091
2500, 0.025607, 1220.379629
2500, 0.026061, 1199.117971
2500, 0.026061, 1199.113140
2500, 0.025811, 1210.717824
2500, 0.025679, 1216.938365
3000, 0.040274, 1340.802264
3000, 0.039956, 1351.476860
3000, 0.040560, 1331.368431
3000, 0.040369, 1337.660682
3000, 0.039435, 1369.354838
3500, 0.062314, 1376.100162
3500, 0.061649, 1390.947374
3500, 0.061719, 1389.365175
3500, 0.062017, 1382.691368
3500, 0.062377, 1374.703833
4000, 0.085283, 1500.879973
4000, 0.086179, 1485.283842
4000, 0.085291, 1500.752569
4000, 0.085660, 1494.286601
4000, 0.085570, 1495.847312
4500, 0.121219, 1503.481767
4500, 0.121039, 1505.712587
4500, 0.121598, 1498.795758
4500, 0.120782, 1508.920052
4500, 0.121356, 1501.776385
5000, 0.167322, 1494.123475
5000, 0.166698, 1499.720122
5000, 0.166851, 1498.342878
5000, 0.167103, 1496.082001
5000, 0.166654, 1500.117483
5500, 0.215077, 1547.120629
5500, 0.214850, 1548.754390
5500, 0.214665, 1550.086880
5500, 0.214568, 1550.789601
5500, 0.214681, 1549.974992
6000, 0.277216, 1558.349148
6000, 0.277543, 1556.516795
6000, 0.277750, 1555.356331
6000, 0.278233, 1552.655207
6000, 0.277196, 1558.462102
6500, 0.346212, 1586.456522
6500, 0.345547, 1589.506867
6500, 0.345432, 1590.039569
6500, 0.345292, 1590.680711
6500, 0.346012, 1587.373183
7000, 0.431117, 1591.215119
7000, 0.431624, 1589.347307
7000, 0.430751, 1592.568812
7000, 0.431144, 1591.115807
7000, 0.430637, 1592.988499
7500, 0.525650, 1605.155247
7500, 0.525637, 1605.194387
7500, 0.525657, 1605.132791
7500, 0.526033, 1603.986877
7500, 0.525216, 1606.483376
8000, 0.632756, 1618.316247
8000, 0.632614, 1618.679473
8000, 0.632620, 1618.665172
8000, 0.632772, 1618.275964
8000, 0.632781, 1618.253817
8500, 0.763535, 1608.635289
8500, 0.763020, 1609.722019
8500, 0.763414, 1608.891427
8500, 0.763640, 1608.415847
8500, 0.762138, 1611.584884
9000, 0.903553, 1613.629948
9000, 0.902466, 1615.572516
9000, 0.903458, 1613.799508
9000, 0.903138, 1614.371935
9000, 0.902613, 1615.309500
9500, 1.061601, 1615.248653
9500, 1.061604, 1615.244910
9500, 1.061988, 1614.660247
9500, 1.061497, 1615.406893
9500, 1.061970, 1614.688446
10000, 1.243528, 1608.327546
10000, 1.241972, 1610.342381
10000, 1.244096, 1607.592350
10000, 1.244405, 1607.193901
10000, 1.242642, 1609.473821
10500, 1.426979, 1622.483173
10500, 1.426887, 1622.588667
10500, 1.426250, 1623.312994
10500, 1.427096, 1622.350892
10500, 1.426642, 1622.866397
11000, 1.637772, 1625.378644
11000, 1.636651, 1626.491821
11000, 1.637236, 1625.910887
11000, 1.637221, 1625.925996
11000, 1.636923, 1626.221626
11500, 1.877637, 1619.987971
11500, 1.876971, 1620.563088
11500, 1.877220, 1620.348496
11500, 1.876005, 1621.397575
11500, 1.877798, 1619.849167
12000, 2.142895, 1612.771315
12000, 2.142829, 1612.820994
12000, 2.142888, 1612.776428
12000, 2.143110, 1612.609841
12000, 2.142839, 1612.813831
12500, 2.410599, 1620.447961
12500, 2.409498, 1621.188042
12500, 2.409021, 1621.509282
12500, 2.409597, 1621.121493
12500, 2.408507, 1621.855470
13000, 2.709822, 1621.508456
13000, 2.708441, 1622.335459
13000, 2.710485, 1621.112307
13000, 2.708771, 1622.138102
13000, 2.709897, 1621.463994
13500, 3.032542, 1622.648524
13500, 3.033266, 1622.261087
13500, 3.034820, 1621.430674
13500, 3.034201, 1621.761438
13500, 3.033192, 1622.300603
14000, 3.359047, 1633.796557
14000, 3.358443, 1634.090601
14000, 3.358537, 1634.044852
14000, 3.358897, 1633.869709
14000, 3.358405, 1634.109163
14500, 3.728332, 1635.382630
14500, 3.726885, 1636.017715
14500, 3.736280, 1631.903726
14500, 3.725955, 1636.425898
14500, 3.732981, 1633.346300
15000, 4.188775, 1611.449509
15000, 4.185444, 1612.732015
15000, 4.186432, 1612.351426
15000, 4.179902, 1614.870532
15000, 4.180779, 1614.531457
15500, 4.525725, 1645.648065
15500, 4.510356, 1651.255515
15500, 4.524999, 1645.911795
15500, 4.525105, 1645.873438
15500, 4.526820, 1645.249911
16000, 5.030795, 1628.370886
16000, 5.033183, 1627.598335
16000, 5.030644, 1628.419729
16000, 5.029928, 1628.651682
16000, 5.033509, 1627.492726
16500, 5.545537, 1620.086713
16500, 5.525650, 1625.917269
16500, 5.526067, 1625.794489
16500, 5.545274, 1620.163282
16500, 5.549103, 1619.045590
17000, 6.019612, 1632.331003
17000, 6.020759, 1632.020068
17000, 6.034041, 1628.427758
17000, 6.022113, 1631.653257
17000, 6.031212, 1629.191597
17500, 6.591113, 1626.242802
17500, 6.578894, 1629.263337
17500, 6.588327, 1626.930383
17500, 6.581612, 1628.590325
17500, 6.623388, 1618.318278
18000, 7.183045, 1623.823984
18000, 7.157129, 1629.703801
18000, 7.138221, 1634.020654
18000, 7.186494, 1623.044460
18000, 7.177128, 1625.162699
18500, 7.830791, 1617.109990
18500, 7.828167, 1617.651914
18500, 7.827918, 1617.703388
18500, 7.828152, 1617.655049
18500, 7.833898, 1616.468526
19000, 8.457772, 1621.940162
19000, 8.439634, 1625.425903
19000, 8.440091, 1625.337966
19000, 8.441531, 1625.060590
19000, 8.453377, 1622.783406
19500, 9.068937, 1635.224650
19500, 9.043172, 1639.883616
