Size, Execution Time, GFLOPs
2000, 0.015900, 1006.300700
2000, 0.014724, 1086.663005
2000, 0.015124, 1057.921185
2000, 0.014705, 1088.064766
2000, 0.014984, 1067.790481
2500, 0.025890, 1207.048716
2500, 0.025348, 1232.835430
2500, 0.025285, 1235.896493
2500, 0.025407, 1229.999567
2500, 0.025293, 1235.518537
3000, 0.041613, 1297.659551
3000, 0.041319, 1306.916232
3000, 0.042457, 1271.888944
3000, 0.041727, 1294.135782
3000, 0.041577, 1298.789978
3500, 0.062401, 1374.167711
3500, 0.064131, 1337.097873
3500, 0.062799, 1365.458906
3500, 0.062489, 1372.239362
3500, 0.062575, 1370.355376
4000, 0.088778, 1441.792407
4000, 0.087756, 1458.582330
4000, 0.087827, 1457.411338
4000, 0.087832, 1457.326165
4000, 0.087327, 1465.750685
4500, 0.123897, 1470.983774
4500, 0.124092, 1468.670360
4500, 0.123577, 1474.787769
4500, 0.124097, 1468.604180
4500, 0.124132, 1468.194035
5000, 0.166970, 1497.276134
5000, 0.171637, 1456.560376
5000, 0.166630, 1500.331666
5000, 0.165756, 1508.238436
5000, 0.171365, 1458.873694
5500, 0.225435, 1476.035280
5500, 0.226759, 1467.418955
5500, 0.223687, 1487.566645
5500, 0.224145, 1484.527666
5500, 0.223825, 1486.653163
6000, 0.286747, 1506.557122
6000, 0.286825, 1506.146054
6000, 0.286737, 1506.606616
6000, 0.285931, 1510.854799
6000, 0.285988, 1510.551955
6500, 0.354574, 1549.043268
6500, 0.354194, 1550.702162
6500, 0.355094, 1546.773043
6500, 0.354705, 1548.468768
6500, 0.354240, 1550.503942
7000, 0.442277, 1551.063107
7000, 0.442838, 1549.098450
7000, 0.443087, 1548.227074
7000, 0.450799, 1521.740849
7000, 0.442448, 1550.466173
7500, 0.532047, 1585.856000
7500, 0.531256, 1588.217844
7500, 0.531487, 1587.526870
7500, 0.539539, 1563.836246
7500, 0.532820, 1583.554227
8000, 0.643431, 1591.468191
8000, 0.643033, 1592.452182
8000, 0.643711, 1590.777077
8000, 0.644123, 1589.759611
8000, 0.644035, 1589.975157
8500, 0.776462, 1581.855127
8500, 0.774623, 1585.610302
8500, 0.774308, 1586.255817
8500, 0.775236, 1584.355567
8500, 0.776298, 1582.189092
9000, 0.910906, 1600.603794
9000, 0.909444, 1603.177684
9000, 0.911430, 1599.683548
9000, 0.915102, 1593.265560
9000, 0.909944, 1602.295882
9500, 1.118276, 1533.386976
9500, 1.114200, 1538.997239
9500, 1.124486, 1524.918981
9500, 1.117780, 1534.067845
9500, 1.112873, 1540.831682
10000, 1.291322, 1548.800181
10000, 1.281442, 1560.741919
10000, 1.297820, 1541.046249
10000, 1.291489, 1548.600637
10000, 1.308525, 1528.437948
10500, 1.480537, 1563.790695
10500, 1.481655, 1562.610650
10500, 1.469574, 1575.456269
10500, 1.481021, 1563.279963
10500, 1.476197, 1568.388209
11000, 1.698955, 1566.845334
11000, 1.698311, 1567.439195
11000, 1.700425, 1565.491377
11000, 1.696192, 1569.397620
11000, 1.702295, 1563.771218
11500, 1.901416, 1599.728989
11500, 1.898904, 1601.845247
11500, 1.898121, 1602.505442
11500, 1.897045, 1603.414944
11500, 1.896627, 1603.767915
12000, 2.226705, 1552.068868
12000, 2.219620, 1557.023285
12000, 2.219475, 1557.125243
12000, 2.222153, 1555.248290
12000, 2.215423, 1559.972657
